Name:  Dolomite CaMg(CO3)2
Type:  Mineral
Class:   Carbonates
Subclass:   
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  dolomite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Oberdorf, Styria, Austria via the Smithsonian 
(sample no. NMNH R12596).  
Description:  The sample was a single white crystal, 3 cm x 2 cm x 2 
cm and 29 g, showing good cleavage.  No impurities or alteration 
were visible in hand sample.  Under the microscope it appears very 
pure and unaltered.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: dolomi1a.txt

8.037448078	86.2168
8.025005918	86.0886
8.012602221	85.9961
8.000236807	85.8533
7.9879095	85.698
7.975620124	85.5821
7.963368505	85.4685
7.951154468	85.323
7.938977841	85.1892
7.926838452	85.0418
7.914736131	84.8633
7.902670708	84.6573
7.890642014	84.4746
7.878649883	84.2686
7.866694148	84.076
7.854780812	83.9231
7.842897355	83.7058
7.831049799	83.3972
7.819237984	83.1277
7.807461747	82.8523
7.795720929	82.531
7.784015369	82.262
7.772344909	81.9922
7.760709391	81.6717
7.749108659	81.2998
7.737542556	80.9854
7.726010929	80.6697
7.714513623	80.3262
7.703050485	80.0079
7.691621363	79.6944
7.680226106	79.326
7.668864563	78.9795
7.657536586	78.6727
7.646242025	78.3055
7.634980733	77.9356
7.623752563	77.587
7.61255737	77.1807
7.601395008	76.7129
7.590265333	76.2537
7.579173946	75.7825
7.568109199	75.2469
7.557076711	74.7147
7.546076342	74.179
7.535107952	73.5594
7.524171401	72.9202
7.51326655	72.2833
7.502393263	71.5977
7.491551403	70.9288
7.480740833	70.2596
7.469961418	69.5674
7.459213023	68.8426
7.448495516	68.1094
7.437808762	67.3553
7.42715263	66.5911
7.416526989	65.7489
7.405931707	64.8263
7.395366655	63.8634
7.384831703	62.795
7.374326724	61.6746
7.363851589	60.5096
7.353406171	59.287
7.342990345	58.0204
7.332603984	56.6942
7.322252325	55.2977
7.311924506	53.8517
7.30162578	52.4071
7.291356025	51.0233
7.281115117	49.7482
7.270902937	48.4589
7.260719363	47.0966
7.250564275	45.6434
