Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt

6.986728709	8.8293
6.977325089	8.8662
6.967946748	8.9094
6.958593585	8.9477
6.949265497	8.9726
6.939962385	9.0005
6.930688952	9.0371
6.921435478	9.0896
6.912206681	9.1528
6.903002461	9.2231
6.893822721	9.2964
6.884667364	9.3669
6.875536292	9.4277
6.866429409	9.5044
6.857346618	9.5842
6.848287825	9.6396
6.839252935	9.7024
6.830241852	9.7817
6.821254483	9.8728
6.812290735	9.9511
6.803350514	10.0234
6.794433728	10.1206
6.785540285	10.2236
6.776670093	10.3183
6.767823062	10.4131
6.7589991	10.5268
6.750198118	10.6677
6.741420026	10.8349
6.732664735	11.0395
6.723932156	11.2817
6.715226709	11.5361
6.706539278	11.7812
6.697874296	12.0285
6.689231675	12.2798
6.680611329	12.5171
6.672013173	12.7361
6.663437121	12.9358
6.654883087	13.1167
6.646350987	13.3039
6.637840737	13.5183
6.629352253	13.6931
6.620885451	13.8606
6.612440248	14.0588
6.604016563	14.2749
6.595614312	14.489
6.587233415	14.6984
6.578873789	14.8952
6.570535354	15.0676
6.56221803	15.1994
6.553921736	15.3371
6.545646392	15.4565
6.537391921	15.5556
6.529158241	15.6457
6.520945276	15.7155
6.512757189	15.7356
6.504585407	15.7529
6.496434107	15.792
6.488303211	15.7658
6.480192643	15.6667
6.472102327	15.4838
6.464032186	15.1384
6.455982145	14.5669
6.44795213	13.7656
6.439942066	12.8701
6.431951879	12.0776
6.423981494	11.4699
6.416030838	11.0061
6.408099838	10.593
6.400188422	10.2263
6.392296516	9.9199
6.384424048	9.6201
6.376570948	9.332
6.368737143	9.0593
6.360922563	8.7634
6.353127136	8.4336
6.345350793	8.061
6.337593464	7.5937
6.329855078	7.1306
6.322139564	6.7829
6.314438848	6.4643
