Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: 0-75 micrometers
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: Powder derived from sample: fine-grained to medium-grained 
leucocratic rock composed of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	see file aplite1a.doc
5.9247	9.4130
5.9180	9.5130
5.9112	9.6415
5.9045	9.8275
5.8978	10.022
5.8911	10.190
5.8844	10.359
5.8777	10.537
5.8711	10.681
5.8644	10.820
5.8578	10.979
5.8512	11.143
5.8446	11.262
5.8380	11.372
5.8314	11.498
5.8249	11.613
5.8184	11.690
5.8118	11.746
5.8053	11.796
5.7988	11.845
5.7923	11.936
5.7859	11.996
5.7794	12.023
5.7730	12.094
5.7666	12.156
5.7602	12.180
5.7538	12.188
5.7474	12.211
5.7410	12.265
5.7347	12.292
5.7283	12.315
5.7220	12.349
5.7157	12.336
5.7094	12.326
5.7031	12.296
5.6969	12.223
5.6906	12.144
5.6844	12.050
5.6782	11.917
5.6719	11.759
5.6657	11.567
5.6596	11.350
5.6534	11.130
5.6472	10.906
5.6411	10.690
5.6349	10.506
5.6288	10.350
5.6227	10.266
5.6166	10.217
5.6106	10.156
5.6045	10.124
5.5984	10.097
5.5924	10.088
5.5864	10.093
5.5804	10.085
5.5744	10.127
5.5684	10.191
5.5624	10.273
5.5564	10.392
5.5505	10.574
5.5445	10.793
5.5386	11.046
5.5327	11.343
5.5268	11.670
5.5209	11.990
5.5151	12.291
5.5092	12.597
5.5033	12.901
5.4975	13.188
5.4917	13.462
5.4859	13.721
5.4801	13.964
5.4743	14.192
5.4685	14.395
5.4628	14.568
5.4570	14.706
5.4513	14.805
5.4455	14.866
5.4398	14.877
5.4341	14.834
5.4284	14.731
5.4228	14.570
5.4171	14.337
5.4114	14.064
5.4058	13.704
5.4002	13.241
5.3945	12.788
5.3889	12.376
5.3833	11.969
5.3778	11.586
5.3722	11.304
5.3666	11.083
5.3611	10.908
5.3555	10.816
5.3500	10.785
5.3445	10.784
5.3390	10.827
5.3335	10.921
5.3280	11.024
5.3225	11.122
5.3171	11.212
5.3116	11.322
5.3062	11.463
5.3008	11.594
5.2954	11.748
5.2900	11.947
5.2846	12.146
5.2792	12.396
5.2738	12.712
5.2684	13.035
5.2631	13.361
5.2578	13.722
5.2524	14.101
5.2471	14.546
5.2418	15.009
5.2365	15.507
5.2312	16.049
5.2260	16.584
5.2207	17.081
5.2154	17.535
5.2102	17.908
5.2050	18.220
5.1998	18.500
5.1945	18.681
5.1893	18.821
5.1842	18.937
5.1790	19.020
5.1738	19.109
5.1686	19.184
5.1635	19.263
5.1584	19.356
5.1532	19.426
5.1481	19.484
5.1430	19.544
5.1379	19.607
5.1328	19.687
5.1277	19.782
5.1227	19.927
5.1176	20.074
5.1126	20.186
5.1075	20.287
5.1025	20.376
5.0975	20.348
5.0925	20.266
5.0875	20.177
5.0825	20.092
5.0775	20.008
5.0726	19.935
5.0676	19.893
5.0627	19.890
5.0577	19.921
5.0528	19.945
5.0479	19.976
5.0430	20.032
5.0380	20.102
5.0332	20.146
5.0283	20.158
5.0234	20.186
5.0185	20.230
5.0137	20.285
5.0088	20.366
5.0040	20.504
4.9992	20.662
4.9944	20.847
4.9896	21.090
4.9848	21.401
4.9800	21.784
4.9752	22.252
4.9704	22.801
4.9657	23.406
4.9609	24.017
4.9562	24.510
4.9514	24.899
4.9467	25.203
4.9420	25.430
4.9373	25.640
4.9326	25.851
4.9279	26.097
4.9232	26.423
4.9186	26.874
4.9139	27.428
4.9092	28.084
4.9046	28.818
4.9000	29.623
4.8953	30.482
4.8907	31.292
4.8861	32.005
4.8815	32.646
4.8769	33.199
4.8723	33.703
4.8678	34.150
4.8632	34.544
4.8586	34.903
4.8541	35.202
4.8495	35.475
4.8450	35.718
4.8405	35.926
4.8360	36.112
4.8315	36.284
4.8270	36.459
4.8225	36.610
4.8180	36.711
4.8135	36.783
4.8090	36.849
4.8046	36.896
4.8001	36.935
4.7957	36.977
4.7913	37.043
4.7868	37.065
4.7824	37.117
4.7780	37.195
4.7736	37.252
4.7692	37.332
4.7648	37.452
4.7605	37.595
4.7561	37.728
4.7517	37.880
4.7474	38.045
4.7431	38.228
4.7387	38.385
4.7344	38.470
4.7301	38.569
4.7258	38.621
4.7215	38.642
4.7172	38.652
4.7129	38.653
4.7086	38.666
4.7043	38.628
4.7000	38.534
4.6958	38.441
4.6915	38.374
4.6873	38.298
4.6831	38.271
4.6788	38.367
4.6746	38.535
4.6704	38.766
4.6662	39.029
4.6620	39.267
4.6578	39.521
4.6536	39.791
4.6495	40.031
4.6453	40.305
4.6411	40.604
4.6370	40.919
4.6328	41.192
4.6287	41.469
4.6246	41.764
4.6205	42.043
4.6163	42.319
4.6122	42.578
4.6081	42.820
4.6040	43.077
4.6000	43.289
4.5959	43.522
4.5918	43.738
