[7.076, 44.5] -> 1568
[7.078, 44.5] -> 1649.2
[7.08, 44.5] -> 1710
[7.082, 44.5] -> 1747.4
[7.084, 44.5] -> 1711.8
[7.086, 44.5] -> 1668.4
[7.088, 44.5] -> 1634.4
[7.09, 44.5] -> 1533
[7.092, 44.5] -> 1407
[7.094, 44.5] -> 1295.2
[7.096, 44.5] -> 1192.8
[7.098, 44.5] -> 1062.4
[7.1, 44.5] -> 1067
[7.102, 44.5] -> 1191.2
[7.104, 44.5] -> 1205
[7.106, 44.5] -> 1153.8
[7.108, 44.5] -> 1094.2
[7.11, 44.5] -> 1042
[7.112, 44.5] -> 1032
[7.114, 44.5] -> 995.4
[7.116, 44.5] -> 914.8
[7.118, 44.5] -> 904.4
[7.12, 44.5] -> 930
[7.122, 44.5] -> 989
[7.124, 44.5] -> 980.8
[7.126, 44.5] -> 949
[7.128, 44.5] -> 941.6
[7.13, 44.5] -> 966
[7.132, 44.5] -> 1081.6
[7.134, 44.5] -> 1069.6
[7.136, 44.5] -> 1019.6
[7.138, 44.5] -> 1007.6
[7.14, 44.5] -> 975
[7.142, 44.5] -> 909.2
[7.144, 44.5] -> 875.2
[7.146, 44.5] -> 860.4
[7.148, 44.5] -> 873
[7.15, 44.5] -> 915
[7.152, 44.5] -> 887.4
[7.154, 44.5] -> 905.6
[7.156, 44.5] -> 895
[7.158, 44.5] -> 866.4
[7.16, 44.5] -> 826
[7.162, 44.5] -> 847.8
[7.164, 44.5] -> 858
[7.166, 44.5] -> 856.6
[7.168, 44.5] -> 895.4
[7.17, 44.5] -> 899
[7.172, 44.5] -> 879.6
[7.174, 44.5] -> 834
[7.176, 44.5] -> 818
[7.178, 44.5] -> 818.6
[7.18, 44.5] -> 871
[7.182, 44.5] -> 901.4
[7.184, 44.5] -> 902.2
[7.186, 44.5] -> 890.6
[7.188, 44.5] -> 826.4
[7.19, 44.5] -> 796
[7.192, 44.5] -> 811.8
[7.194, 44.5] -> 890.6
[7.196, 44.5] -> 952.8
[7.198, 44.5] -> 997.8
[7.2, 44.5] -> 1046
[7.202, 44.5] -> 969.8
[7.204, 44.5] -> 930.2
[7.206, 44.5] -> 944.8
[7.208, 44.5] -> 1030.6
[7.21, 44.5] -> 1106
[7.212, 44.5] -> 1176.8
[7.214, 44.5] -> 1197.6
[7.216, 44.5] -> 1152.4
[7.218, 44.5] -> 1059
[7.22, 44.5] -> 1059
[7.222, 44.5] -> 1088.8
[7.224, 44.5] -> 1177.2
[7.226, 44.5] -> 1118.6
[7.228, 44.5] -> 1014.6
[7.23, 44.5] -> 1038
[7.232, 44.5] -> 1123.4
[7.234, 44.5] -> 1146.8
[7.236, 44.5] -> 1136.2
[7.238, 44.5] -> 1107.8
[7.24, 44.5] -> 1038
[7.242, 44.5] -> 963
[7.244, 44.5] -> 890
[7.246, 44.5] -> 834.4
[7.248, 44.5] -> 845
[7.25, 44.5] -> 911
[7.252, 44.5] -> 937.6
[7.254, 44.5] -> 976.2
[7.256, 44.5] -> 1004.4
[7.258, 44.5] -> 1044.4
[7.26, 44.5] -> 1076
[7.262, 44.5] -> 1100.6
[7.264, 44.5] -> 1100.2
[7.266, 44.5] -> 1044.2
[7.268, 44.5] -> 1035.4
[7.27, 44.5] -> 1041
[7.272, 44.5] -> 1038.2
[7.274, 44.5] -> 1072
[7.276, 44.5] -> 1120.2
[7.278, 44.5] -> 1144.4
[7.28, 44.5] -> 1153
[7.282, 44.5] -> 1203.2
[7.284, 44.5] -> 1208.6
[7.286, 44.5] -> 1190.6
[7.288, 44.5] -> 1115.6
[7.29, 44.5] -> 1010
[7.292, 44.5] -> 1025.2
[7.294, 44.5] -> 1046.6
[7.296, 44.5] -> 1109.8
[7.298, 44.5] -> 1140.8
[7.3, 44.5] -> 1192
[7.302, 44.5] -> 1223.8
[7.304, 44.5] -> 1240.4
[7.306, 44.5] -> 1279
[7.308, 44.5] -> 1294.8
[7.31, 44.5] -> 1252
[7.312, 44.5] -> 1209.4
[7.314, 44.5] -> 1172.2
[7.316, 44.5] -> 1151.8
[7.318, 44.5] -> 1090.4
[7.32, 44.5] -> 1030
[7.322, 44.5] -> 1100.4
[7.324, 44.5] -> 1118.4
[7.326, 44.5] -> 1138
[7.328, 44.5] -> 1219.6
[7.33, 44.5] -> 1308
[7.332, 44.5] -> 1289.6
[7.334, 44.5] -> 1248.8
[7.336, 44.5] -> 1191.8
[7.338, 44.5] -> 1123.2
[7.34, 44.5] -> 1090
[7.342, 44.5] -> 1124.8
[7.344, 44.5] -> 1154.6
[7.346, 44.5] -> 1133
[7.348, 44.5] -> 1074.2
[7.35, 44.5] -> 1136
[7.352, 44.5] -> 1198.4
[7.354, 44.5] -> 1215.8
[7.356, 44.5] -> 1214.4
[7.358, 44.5] -> 1223.4
[7.36, 44.5] -> 1203
[7.362, 44.5] -> 1099.4
[7.364, 44.5] -> 1020.6
[7.366, 44.5] -> 952
[7.368, 44.5] -> 923
[7.37, 44.5] -> 956
[7.372, 44.5] -> 959.2
[7.374, 44.5] -> 943.6
[7.376, 44.5] -> 978.4
[7.378, 44.5] -> 1031.4
[7.38, 44.5] -> 1076
[7.382, 44.5] -> 1066.2
[7.384, 44.5] -> 1062
[7.386, 44.5] -> 1081.6
[7.388, 44.5] -> 1085.4
[7.39, 44.5] -> 1062
[7.392, 44.5] -> 1051.4
[7.394, 44.5] -> 1064.6
[7.396, 44.5] -> 1078.6
[7.398, 44.5] -> 1068.8
[7.4, 44.5] -> 1050
[7.402, 44.5] -> 1032.4
[7.404, 44.5] -> 1010.6
[7.406, 44.5] -> 999.2
[7.408, 44.5] -> 973.4
[7.41, 44.5] -> 923
[7.412, 44.5] -> 875.2
[7.414, 44.5] -> 831.8
[7.416, 44.5] -> 800.2
[7.418, 44.5] -> 759.6
[7.42, 44.5] -> 732
[7.422, 44.5] -> 695.4
[7.424, 44.5] -> 661.6
[7.426, 44.5] -> 651.8
[7.428, 44.5] -> 641
[7.43, 44.5] -> 620
[7.432, 44.5] -> 601.6
[7.434, 44.5] -> 617.6
[7.436, 44.5] -> 622.2
[7.438, 44.5] -> 592.4
[7.44, 44.5] -> 538
[7.442, 44.5] -> 532
[7.444, 44.5] -> 532.2
[7.446, 44.5] -> 530.8
[7.448, 44.5] -> 528.8
[7.45, 44.5] -> 527
[7.452, 44.5] -> 524.2
[7.454, 44.5] -> 521.2
[7.456, 44.5] -> 519.8
[7.458, 44.5] -> 519
[7.46, 44.5] -> 516
[7.462, 44.5] -> 512.2
[7.464, 44.5] -> 507.4
[7.466, 44.5] -> 505
[7.468, 44.5] -> 501.4
[7.47, 44.5] -> 504
[7.472, 44.5] -> 503.6
[7.474, 44.5] -> 503.8
[7.476, 44.5] -> 502
[7.478, 44.5] -> 502.6
[7.48, 44.5] -> 501
[7.482, 44.5] -> 499.2
[7.484, 44.5] -> 496.4
[7.486, 44.5] -> 497.8
[7.488, 44.5] -> 495
[7.49, 44.5] -> 495
[7.492, 44.5] -> 491.2
[7.494, 44.5] -> 490
[7.496, 44.5] -> 489.6
[7.498, 44.5] -> 486.8
