Name:  Limestone CaCO3
Type:  Rock
Class: Sedimentary
Subclass: Limestone 
Particle Size:  Whole rock chips
Sample No.:  ro357
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Ronda, Spain

Description:  gray limestone with white calcite veins





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309  
Number of X Values:  2826
Additional Information:  ls357a.txt

2.27155	        .261600
2.27254	        .261300
2.27354	        .259700
2.27453	        .258100
2.27553	        .259200
2.27653	        .258000
2.27753	        .256000
2.27853	        .253800
2.27953	        .253900
2.28054	        .252100
2.28154	        .252700
2.28254	        .252100
2.28355	        .250100
2.28455	        .249600
2.28556	        .250100
2.28657	        .248800
2.28758	        .244300
2.28859	        .243600
2.2896	        .245400
2.29061	        .240900
2.29162	        .236900
2.29263	        .237400
2.29365	        .242200
2.29466	        .242200
2.29568	        .237700
2.29669	        .235200
2.29771	        .237800
2.29873	        .239200
2.29975	        .241400
2.30077	        .240800
2.30179	        .236600
2.30281	        .234400
2.30384	        .234000
2.30486	        .236000
2.30588	        .236300
2.30691	        .233900
2.30794	        .232800
2.30896	        .232000
2.30999	        .230300
2.31102	        .228400
2.31205	        .229900
2.31308	        .230500
2.31412	        .229900
2.31515	        .227800
2.31618	        .228600
2.31722	        .228100
2.31825	        .226500
2.31929	        .224200
2.32033	        .222600
2.32137	        .222700
2.32241	        .223800
2.32345	        .223300
2.32449	        .220800
2.32553	        .219300
2.32657	        .216300
2.32762	        .214200
2.32866	        .215700
2.32971	        .217200
2.33076	        .214400
2.3318	        .210400
2.33285	        .210000
2.3339	        .210400
2.33495	        .211200
2.33601	        .210900
2.33706	        .211000
2.33811	        .210000
2.33917	        .212000
2.34022	        .210800
2.34128	        .210600
2.34234	        .208600
2.34339	        .209400
2.34445	        .212300
2.34551	        .213300
2.34657	        .212700
2.34764	        .216000
2.3487	        .217100
2.34976	        .217600
2.35083	        .220800
2.3519	        .225300
2.35296	        .227300
2.35403	        .227700
2.3551	        .228000
2.35617	        .231200
2.35724	        .232000
2.35831	        .235700
2.35939	        .240000
2.36046	        .243100
2.36153	        .244700
2.36261	        .247500
2.36369	        .249400
2.36476	        .252800
2.36584	        .253900
2.36692	        .252900
2.368	        .253500
2.36909	        .256300
2.37017	        .256800
2.37125	        .256300
2.37234	        .257700
2.37342	        .259600
2.37451	        .260500
2.3756	        .262000
2.37669	        .264500
2.37778	        .266400
2.37887	        .265600
2.37996	        .267400
2.38105	        .266900
2.38214	        .265400
2.38324	        .266600
2.38433	        .268200
2.38543	        .269600
2.38653	        .269700
2.38763	        .267700
2.38873	        .265700
2.38983	        .266700
2.39093	        .269200
2.39203	        .269800
2.39314	        .269700
2.39424	        .267100
2.39535	        .265500
2.39645	        .265100
2.39756	        .266400
2.39867	        .266800
2.39978	        .266700
2.40089	        .265300
2.402	        .264300
2.40312	        .263200
2.40423	        .264200
2.40535	        .264900
2.40646	        .263700
2.40758	        .261800
2.4087	        .263800
2.40982	        .266200
2.41094	        .266200
2.41206	        .263300
2.41318	        .263300
2.4143	        .265000
2.41543	        .266100
2.41655	        .261200
2.41768	        .258700
2.41881	        .259600
2.41994	        .260200
2.42107	        .260200
2.4222	        .259300
2.42333	        .257000
2.42446	        .256800
2.4256	        .256000
2.42673	        .255000
2.42787	        .255200
2.429	        .254700
2.43014	        .252500
2.43128	        .253200
2.43242	        .253600
2.43356	        .253200
2.43471	        .250200
2.43585	        .249600
2.43699	        .248200
2.43814	        .248600
2.43929	        .247900
2.44043	        .246000
2.44158	        .244900
2.44273	        .243500
2.44388	        .240200
2.44504	        .238800
2.44619	        .238800
2.44734	        .239700
2.4485	        .238900
2.44966	        .238700
2.45081	        .239100
2.45197	        .237600
2.45313	        .234000
2.45429	        .232300
2.45545	        .230200
2.45662	        .229000
2.45778	        .226900
2.45895	        .226300
2.46011	        .225600
2.46128	        .223700
2.46245	        .222300
2.46362	        .221700
2.46479	        .219400
2.46596	        .218500
2.46714	        .215400
2.46831	        .211500
2.46949	        .210800
2.47066	        .210900
2.47184	        .208400
2.47302	        .207000
2.4742	        .204300
2.47538	        .202900
2.47656	        .201000
2.47774	        .199800
2.47893	        .199300
2.48011	        .198700
2.4813	        .197100
2.48249	        .194000
2.48368	        .191600
2.48487	        .193000
2.48606	        .194400
2.48725	        .193700
2.48844	        .190700
2.48964	        .189100
2.49083	        .188800
2.49203	        .188500
2.49323	        .186600
2.49443	        .186300
2.49563	        .186000
2.49683	        .187200
2.49803	        .185500
2.49924	        .185200
2.50044	        .184900
2.50165	        .184100
2.50286	        .183700
2.50406	        .183700
