Name:  Pale brown silty loam
Type:  Soils
Class:  Alfisol
Subclass:  Fragiboralf
Particle Size:  see additional information
Sample No.:  86P1994  
Owner:  JHU
Wavelength range:  All
Origin:  Bonner Co., Id. via USDA Soil Conservation service.

Description:  Pale brown silty loam (medial, typic).





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P1994a.txt

4.0281	23.2219
4.0250	23.2333
4.0218	23.2155
4.0187	23.1806
4.0156	23.1747
4.0125	23.1806
4.0094	23.1535
4.0063	23.1266
4.0032	23.1332
4.0001	23.1447
3.9970	23.1494
3.9940	23.1213
3.9909	23.0976
3.9878	23.1008
3.9847	23.0798
3.9817	23.0515
3.9786	23.0414
3.9756	23.0278
3.9725	23.0060
3.9695	23.0158
3.9665	23.0021
3.9634	22.9787
3.9604	22.9665
3.9574	22.9916
3.9544	23.0100
3.9513	22.9850
3.9483	22.9545
3.9453	22.9211
3.9423	22.9140
3.9393	22.9020
3.9363	22.8842
3.9333	22.8754
3.9304	22.8530
3.9274	22.8354
3.9244	22.8305
3.9214	22.8112
3.9185	22.8002
3.9155	22.7978
3.9126	22.7807
3.9096	22.7343
3.9067	22.7329
3.9037	22.7233
3.9008	22.6721
3.8979	22.6276
3.8949	22.6540
3.8920	22.6516
3.8891	22.5944
3.8862	22.5427
3.8833	22.5268
3.8804	22.4953
3.8775	22.4518
3.8746	22.4164
3.8717	22.3928
3.8688	22.3386
3.8659	22.3149
3.8630	22.3017
3.8601	22.2514
3.8573	22.2143
3.8544	22.2055
3.8515	22.1784
3.8487	22.1525
3.8458	22.0795
3.8430	22.0346
3.8401	22.0012
3.8373	21.9611
3.8344	21.9055
3.8316	21.8725
3.8288	21.8518
3.8259	21.8217
3.8231	21.7636
3.8203	21.7292
3.8175	21.6630
3.8147	21.5871
3.8119	21.5725
3.8091	21.5353
3.8063	21.4924
3.8035	21.4404
3.8007	21.3757
3.7979	21.3200
3.7951	21.2348
3.7924	21.1701
3.7896	21.1093
3.7868	21.0581
3.7841	21.0146
3.7813	20.9665
3.7785	20.9033
3.7758	20.8635
3.7730	20.7912
3.7703	20.7141
3.7676	20.6354
3.7648	20.5842
3.7621	20.5537
3.7594	20.5082
3.7566	20.4333
3.7539	20.3417
3.7512	20.2775
3.7485	20.2499
3.7458	20.1603
3.7431	20.0627
3.7404	20.0141
3.7377	19.9567
3.7350	19.8937
3.7323	19.8457
3.7296	19.7529
3.7269	19.6645
3.7242	19.6147
3.7216	19.5810
3.7189	19.5061
3.7162	19.4396
3.7136	19.4206
3.7109	19.3254
3.7083	19.2177
3.7056	19.1535
3.7030	19.0629
3.7003	19.0041
3.6977	18.9414
3.6950	18.8725
3.6924	18.7976
3.6898	18.7592
3.6872	18.7290
3.6845	18.6645
3.6819	18.5542
3.6793	18.4340
3.6767	18.3557
3.6741	18.3024
3.6715	18.2658
3.6689	18.2170
3.6663	18.1086
3.6637	17.9855
3.6611	17.9011
3.6585	17.8459
3.6560	17.8064
3.6534	17.7251
3.6508	17.6511
3.6482	17.5969
3.6457	17.5405
3.6431	17.4526
3.6406	17.3330
3.6380	17.2963
3.6355	17.2370
3.6329	17.1862
3.6304	17.1088
3.6278	17.0070
3.6253	16.9458
3.6227	16.8911
3.6202	16.8193
3.6177	16.7067
3.6152	16.5969
3.6127	16.5368
3.6101	16.4575
3.6076	16.3957
3.6051	16.3137
3.6026	16.2570
3.6001	16.2128
3.5976	16.1103
3.5951	16.0019
3.5926	15.9619
3.5901	15.8781
3.5876	15.8024
3.5852	15.7082
3.5827	15.6027
3.5802	15.5239
3.5777	15.4340
3.5753	15.3261
3.5728	15.2585
3.5704	15.2402
3.5679	15.1862
3.5654	15.0656
3.5630	14.9502
3.5605	14.8593
3.5581	14.7922
3.5557	14.7258
3.5532	14.6460
3.5508	14.5415
3.5484	14.4746
3.5459	14.3874
3.5435	14.3054
3.5411	14.2441
3.5387	14.1775
3.5363	14.0908
3.5338	14.0053
3.5314	13.8833
3.5290	13.7817
3.5266	13.7209
3.5242	13.6037
3.5218	13.4890
3.5195	13.3711
3.5171	13.2700
3.5147	13.1303
3.5123	12.9480
3.5099	12.8191
3.5075	12.7124
3.5052	12.6145
3.5028	12.5283
3.5004	12.4778
3.4981	12.4406
3.4957	12.4148
3.4934	12.3642
3.4910	12.2795
3.4887	12.2402
3.4863	12.2192
3.4840	12.1367
3.4816	12.0644
3.4793	11.9917
3.4770	11.9118
3.4746	11.8445
3.4723	11.7697
3.4700	11.6958
3.4677	11.6367
3.4653	11.6008
3.4630	11.5642
3.4607	11.4594
3.4584	11.3884
3.4561	11.3259
3.4538	11.2724
3.4515	11.1528
3.4492	11.1216
3.4469	11.0820
3.4446	10.9707
3.4423	10.8606
3.4400	10.7754
3.4378	10.6884
3.4355	10.6113
3.4332	10.4951
3.4309	10.3613
3.4287	10.2927
3.4264	10.1921
3.4241	10.0876
3.4219	9.9956
3.4196	9.8672
3.4174	9.7705
3.4151	9.7602
3.4129	9.7766
3.4106	9.7336
3.4084	9.6457
3.4061	9.5906
3.4039	9.6054
3.4017	9.6262
3.3994	9.6106
3.3972	9.5554
3.3950	9.5212
3.3928	9.5244
3.3906	9.5229
3.3883	9.4919
3.3861	9.4319
3.3839	9.3745
3.3817	9.3059
3.3795	9.2673
3.3773	9.2497
3.3751	9.2309
3.3729	9.2109
3.3707	9.1626
3.3685	9.1174
3.3663	9.0940
3.3641	9.0722
3.3620	9.0312
3.3598	8.9873
3.3576	8.9426
3.3554	8.8877
3.3533	8.8777
3.3511	8.8694
3.3489	8.8093
3.3468	8.7527
3.3446	8.7375
3.3425	8.7387
3.3403	8.6916
3.3382	8.6567
3.3360	8.5827
3.3339	8.4873
3.3317	8.4636
3.3296	8.4570
3.3274	8.3843
3.3253	8.3449
3.3232	8.3230
3.3210	8.2873
3.3189	8.2095
3.3168	8.1704
3.3147	8.1665
3.3126	8.0940
3.3104	8.0188
3.3083	7.9770
3.3062	7.9013
3.3041	7.8723
3.3020	7.8557
3.2999	7.8235
3.2978	7.7673
3.2957	7.7090
3.2936	7.6672
