Name:  Pale brown dry silty clay loam
Type:  Soils
Class:  Inceptisol
Subclass:  Ustocrept
Particle Size:  see additional information
Sample No.:  82P2671
Owner:  JHU
Wavelength range:  All
Origin:  Diar Alla Experiment Station.  Jordon, via USDA Soil Conservation 
service
Description:  Parent material is irrigated cropland.  Pale brown dry silty clay loam 
(fine, illitic calcareous hyperthermic fluventic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2671a.txt

3.5876	13.381
3.5852	13.273
3.5827	13.157
3.5802	13.037
3.5777	12.917
3.5753	12.802
3.5728	12.697
3.5704	12.603
3.5679	12.519
3.5654	12.44
3.563	12.36
3.5605	12.274
3.5581	12.179
3.5557	12.076
3.5532	11.967
3.5508	11.854
3.5484	11.738
3.5459	11.621
3.5435	11.501
3.5411	11.376
3.5387	11.241
3.5363	11.095
3.5338	10.933
3.5314	10.751
3.529	10.547
3.5266	10.321
3.5242	10.079
3.5218	9.826
3.5195	9.574
3.5171	9.33
3.5147	9.102
3.5123	8.894
3.5099	8.705
3.5075	8.536
3.5052	8.381
3.5028	8.238
3.5004	8.1
3.4981	7.968
3.4957	7.838
3.4934	7.711
3.491	7.587
3.4887	7.467
3.4863	7.354
3.484	7.251
3.4816	7.16
3.4793	7.088
3.477	7.043
3.4746	7.03
3.4723	7.053
3.47	7.11
3.4677	7.195
3.4653	7.294
3.463	7.394
3.4607	7.482
3.4584	7.551
3.4561	7.595
3.4538	7.614
3.4515	7.608
3.4492	7.583
3.4469	7.541
3.4446	7.489
3.4423	7.434
3.44	7.382
3.4378	7.34
3.4355	7.306
3.4332	7.279
3.4309	7.255
3.4287	7.226
3.4264	7.191
3.4241	7.148
3.4219	7.1
3.4196	7.047
3.4174	6.994
3.4151	6.942
3.4129	6.893
3.4106	6.847
3.4084	6.805
3.4061	6.766
3.4039	6.733
3.4017	6.704
3.3994	6.682
3.3972	6.667
3.395	6.656
3.3928	6.646
3.3906	6.632
3.3883	6.61
3.3861	6.578
3.3839	6.537
3.3817	6.492
3.3795	6.447
3.3773	6.404
3.3751	6.364
3.3729	6.328
3.3707	6.294
3.3685	6.257
3.3663	6.216
3.3641	6.167
3.362	6.107
3.3598	6.038
3.3576	5.961
3.3554	5.886
3.3533	5.821
3.3511	5.777
3.3489	5.759
3.3468	5.772
3.3446	5.81
3.3425	5.868
3.3403	5.935
3.3382	6.002
3.336	6.06
3.3339	6.106
3.3317	6.135
3.3296	6.146
3.3274	6.141
3.3253	6.122
3.3232	6.091
3.321	6.054
3.3189	6.013
3.3168	5.971
3.3147	5.93
3.3126	5.891
3.3104	5.855
3.3083	5.821
3.3062	5.789
3.3041	5.76
3.302	5.732
3.2999	5.706
3.2978	5.677
3.2957	5.645
3.2936	5.608
3.2915	5.567
3.2894	5.523
3.2874	5.479
3.2853	5.438
3.2832	5.399
3.2811	5.362
3.279	5.324
3.277	5.285
3.2749	5.241
3.2728	5.195
3.2708	5.148
3.2687	5.102
3.2666	5.06
3.2646	5.021
3.2625	4.986
3.2605	4.951
3.2584	4.915
3.2564	4.877
3.2543	4.836
3.2523	4.794
3.2503	4.754
3.2482	4.717
3.2462	4.682
3.2442	4.645
3.2421	4.604
3.2401	4.559
3.2381	4.513
3.2361	4.471
3.234	4.438
3.232	4.417
3.23	4.404
3.228	4.393
3.226	4.376
3.224	4.348
3.222	4.307
3.22	4.259
3.218	4.21
3.216	4.165
3.214	4.126
3.212	4.092
3.21	4.061
3.208	4.03
3.206	3.999
3.204	3.967
3.2021	3.936
3.2001	3.906
3.1981	3.876
3.1961	3.846
3.1942	3.816
3.1922	3.7876
3.1902	3.7598
3.1883	3.7327
3.1863	3.7065
3.1844	3.6811
3.1824	3.6565
3.1805	3.6343
3.1785	3.6142
3.1766	3.5952
3.1746	3.573
3.1727	3.5444
3.1707	3.508
3.1688	3.4646
3.1669	3.418
3.1649	3.3733
3.163	3.3352
3.1611	3.3064
3.1591	3.2856
3.1572	3.2698
3.1553	3.2551
3.1534	3.2385
3.1515	3.2175
3.1495	3.1924
3.1476	3.1658
3.1457	3.1401
3.1438	3.1179
3.1419	3.0996
3.14	3.084
3.1381	3.0681
3.1362	3.0503
3.1343	3.0303
3.1324	3.0098
3.1305	2.9907
3.1286	2.9753
3.1268	2.9617
3.1249	2.9463
3.123	2.9255
3.1211	2.8965
3.1192	2.8603
3.1174	2.8208
3.1155	2.7827
3.1136	2.75
3.1117	2.7244
3.1099	2.7056
3.108	2.6931
3.1061	2.6853
3.1043	2.6797
3.1024	2.6755
3.1006	2.6699
3.0987	2.6609
3.0969	2.6467
3.095	2.6284
3.0932	2.6074
3.0913	2.5872
3.0895	2.5708
3.0876	2.5596
3.0858	2.5527
3.084	2.5486
3.0821	2.5456
3.0803	2.5425
3.0785	2.5395
3.0766	2.5378
3.0748	2.5388
3.073	2.5425
3.0712	2.5464
3.0694	2.5478
3.0675	2.5452
3.0657	2.5371
3.0639	2.5259
3.0621	2.5142
3.0603	2.5044
3.0585	2.4973
3.0567	2.4912
3.0549	2.4839
3.0531	2.4744
3.0513	2.4622
3.0495	2.4495
3.0477	2.4382
3.0459	2.4297
3.0441	2.4241
3.0423	2.4202
3.0406	2.4172
3.0388	2.415
3.037	2.4133
3.0352	2.4119
3.0334	2.4104
3.0317	2.4072
3.0299	2.4006
3.0281	2.3906
3.0264	2.3777
3.0246	2.3635
3.0228	2.3508
3.0211	2.3408
3.0193	2.3332
3.0176	2.3274
3.0158	2.321
3.014	2.3135
3.0123	2.3054
3.0105	2.2976
3.0088	2.2935
3.007	2.2935
3.0053	2.2966
3.0036	2.3008
3.0018	2.3035
3.0001	2.3018
2.9984	2.2956
2.9966	2.2854
2.9949	2.2734
2.9932	2.2607
2.9914	2.2485
2.9897	2.2373
2.988	2.229
2.9863	2.2246
2.9845	2.2248
2.9828	2.2292
2.9811	2.2353
2.9794	2.2395
2.9777	2.2385
2.976	2.2312
2.9743	2.2185
2.9726	2.2036
2.9709	2.1899
