Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

7.3743	1.6970
7.3639	1.6953
7.3534	1.7041
7.3430	1.7266
7.3326	1.7434
7.3223	1.7283
7.3119	1.7192
7.3016	1.7248
7.2914	1.7102
7.2811	1.7273
7.2709	1.7446
7.2607	1.7500
7.2506	1.7500
7.2404	1.7815
7.2303	1.8245
7.2203	1.8203
7.2102	1.8274
7.2002	1.8765
7.1902	1.8943
7.1803	1.8723
7.1703	1.8506
7.1604	1.8782
7.1506	1.9163
7.1407	1.9473
7.1309	1.9529
7.1211	1.9675
7.1113	1.9565
7.1016	1.9560
7.0919	1.9697
7.0822	1.9731
7.0725	1.9995
7.0629	1.9976
7.0533	1.9990
7.0437	2.0456
7.0341	2.0442
7.0246	2.0447
7.0151	2.0923
7.0056	2.1340
6.9962	2.1560
6.9867	2.1789
6.9773	2.1975
6.9679	2.2327
6.9586	2.2773
6.9493	2.3252
6.9400	2.3884
6.9307	2.4397
6.9214	2.4570
6.9122	2.4797
6.9030	2.5181
6.8938	2.5461
6.8847	2.5696
6.8755	2.5776
6.8664	2.5754
6.8573	2.6206
6.8483	2.6641
6.8393	2.7107
6.8302	2.7488
6.8213	2.8032
6.8123	2.8559
6.8034	2.8916
6.7944	2.9265
6.7855	2.9985
6.7767	3.0327
6.7678	3.0515
6.7590	3.0903
6.7502	3.1138
6.7414	3.1113
6.7327	3.1345
6.7239	3.1284
6.7152	3.1374
6.7065	3.1521
6.6979	3.1313
6.6892	3.1370
6.6806	3.1623
6.6720	3.1641
6.6634	3.1699
6.6549	3.1855
6.6464	3.1548
6.6378	3.1191
6.6294	3.1279
6.6209	3.1152
6.6124	3.0779
6.6040	3.0605
6.5956	3.0517
6.5872	3.0032
6.5789	2.9470
6.5705	2.9409
6.5622	2.9502
6.5539	2.9263
6.5456	2.9236
6.5374	2.9331
6.5292	2.9607
6.5209	3.0410
6.5128	3.1494
6.5046	3.2034
6.4964	3.2371
6.4883	3.2959
6.4802	3.3323
6.4721	3.3794
6.4640	3.4365
6.4560	3.4531
6.4480	3.4766
6.4399	3.4851
6.4320	3.5105
6.4240	3.5159
6.4160	3.4763
6.4081	3.4309
6.4002	3.4214
6.3923	3.4097
6.3844	3.3826
6.3766	3.3245
6.3687	3.2717
6.3609	3.2109
6.3531	3.1523
6.3454	3.0955
6.3376	3.0552
6.3299	3.0041
6.3221	2.9321
6.3144	2.8711
6.3068	2.8003
6.2991	2.7114
6.2914	2.6399
6.2838	2.5825
6.2762	2.5271
6.2686	2.4912
6.2611	2.4265
6.2535	2.3616
6.2460	2.3315
6.2385	2.2749
6.2310	2.2422
6.2235	2.2197
6.2160	2.1860
6.2086	2.1616
6.2011	2.1509
6.1937	2.1479
6.1863	2.1575
6.1790	2.2004
6.1716	2.2248
6.1643	2.2295
6.1570	2.2764
6.1496	2.3474
6.1424	2.3821
6.1351	2.3997
6.1278	2.4573
6.1206	2.5005
6.1134	2.5312
6.1062	2.5644
6.0990	2.6118
6.0918	2.6626
6.0847	2.6916
6.0776	2.7092
6.0704	2.7559
6.0633	2.7820
6.0563	2.7773
6.0492	2.7930
6.0421	2.8398
6.0351	2.8874
6.0281	2.9241
6.0211	2.9509
6.0141	2.9692
6.0071	3.0000
6.0002	3.0095
5.9932	3.0120
5.9863	3.0442
5.9794	3.0637
5.9725	3.0659
5.9657	3.0693
5.9588	3.0898
5.9520	3.1116
