Name:  Light yellowish brown interior dry gravelly loam
Type:  Soils
Class:  Aridisol
Subclass:  Calciorthid
Particle Size:  see additional information
Sample No.:  79P1536
Owner:  JHU
Wavelength range:  All
Origin:  8 km north of Deir El zor, Syria via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from mixed material; alluvial fine 
material overlayed on gypsum sandy loam, uncultivated from terracettes in lake 
plains.  Light yellowish brown interior dry gravelly loam.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  79P1536a.txt
	
4.6746	18.2010
4.6704	18.2710
4.6662	18.3620
4.6620	18.4710
4.6578	18.5970
4.6536	18.7390
4.6495	18.8950
4.6453	19.0630
4.6411	19.2370
4.6370	19.4100
4.6328	19.5760
4.6287	19.7300
4.6246	19.8700
4.6205	19.9950
4.6163	20.1060
4.6122	20.2080
4.6081	20.3020
4.6040	20.3920
4.6000	20.4790
4.5959	20.5650
4.5918	20.6510
4.5877	20.7350
4.5837	20.8150
4.5796	20.8890
4.5756	20.9570
4.5716	21.0160
4.5675	21.0670
4.5635	21.1110
4.5595	21.1470
4.5555	21.1770
4.5515	21.2030
4.5475	21.2260
4.5435	21.2470
4.5395	21.2670
4.5356	21.2870
4.5316	21.3040
4.5276	21.3170
4.5237	21.3220
4.5197	21.3190
4.5158	21.3100
4.5119	21.2950
4.5080	21.2810
4.5040	21.2700
4.5001	21.2660
4.4962	21.2710
4.4923	21.2860
4.4884	21.3100
4.4846	21.3430
4.4807	21.3820
4.4768	21.4290
4.4730	21.4840
4.4691	21.5460
4.4652	21.6170
4.4614	21.6950
4.4576	21.7780
4.4537	21.8660
4.4499	21.9540
4.4461	22.0400
4.4423	22.1250
4.4385	22.2080
4.4347	22.2890
4.4309	22.3710
4.4271	22.4550
4.4233	22.5410
4.4196	22.6290
4.4158	22.7200
4.4120	22.8120
4.4083	22.9040
4.4045	22.9980
4.4008	23.0930
4.3971	23.1890
4.3934	23.2890
4.3896	23.3910
4.3859	23.4960
4.3822	23.6030
4.3785	23.7070
4.3748	23.8060
4.3711	23.8980
4.3674	23.9810
4.3638	24.0560
4.3601	24.1250
4.3564	24.1910
4.3528	24.2540
4.3491	24.3160
4.3455	24.3760
4.3418	24.4320
4.3382	24.4820
4.3346	24.5270
4.3310	24.5670
4.3273	24.6040
4.3237	24.6390
4.3201	24.6730
4.3165	24.7040
4.3129	24.7320
4.3094	24.7530
4.3058	24.7670
4.3022	24.7710
4.2986	24.7630
4.2951	24.7430
4.2915	24.7120
4.2880	24.6710
4.2844	24.6290
4.2809	24.5950
4.2774	24.5840
4.2738	24.6070
4.2703	24.6730
4.2668	24.7810
4.2633	24.9230
4.2598	25.0810
4.2563	25.2350
4.2528	25.3680
4.2493	25.4690
4.2458	25.5390
4.2424	25.5850
4.2389	25.6210
4.2354	25.6600
4.2320	25.7150
4.2285	25.7910
4.2251	25.8890
4.2216	26.0070
4.2182	26.1370
4.2148	26.2700
4.2113	26.4010
4.2079	26.5190
4.2045	26.6210
4.2011	26.7060
4.1977	26.7750
4.1943	26.8310
4.1909	26.8800
4.1875	26.9240
4.1841	26.9680
4.1808	27.0110
4.1774	27.0550
4.1740	27.0980
4.1707	27.1380
4.1673	27.1750
4.1640	27.2070
4.1606	27.2350
4.1573	27.2570
4.1540	27.2770
4.1506	27.2930
4.1473	27.3090
4.1440	27.3230
4.1407	27.3350
4.1374	27.3440
4.1341	27.3480
4.1308	27.3450
4.1275	27.3340
4.1242	27.3180
4.1209	27.2960
4.1177	27.2710
4.1144	27.2460
4.1111	27.2180
4.1079	27.1880
4.1046	27.1530
4.1014	27.1120
4.0981	27.0610
4.0949	27.0010
4.0917	26.9320
4.0884	26.8550
4.0852	26.7720
4.0820	26.6820
4.0788	26.5880
4.0756	26.4880
4.0724	26.3810
4.0692	26.2640
4.0660	26.1330
4.0628	25.9810
4.0596	25.7990
4.0565	25.5770
4.0533	25.3050
4.0501	24.9780
4.0470	24.5960
4.0438	24.1640
4.0406	23.6920
4.0375	23.1920
4.0344	22.6750
4.0312	22.1500
4.0281	21.6170
4.0250	21.0720
4.0218	20.5070
4.0187	19.9110
4.0156	19.2770
4.0125	18.6040
4.0094	17.8960
4.0063	17.1680
4.0032	16.4400
4.0001	15.7360
3.9970	15.0810
3.9940	14.4980
3.9909	14.0060
3.9878	13.6170
3.9847	13.3350
3.9817	13.1590
3.9786	13.0780
3.9756	13.0820
3.9725	13.1590
3.9695	13.3020
3.9665	13.5100
3.9634	13.7840
3.9604	14.1290
3.9574	14.5490
3.9544	15.0410
3.9513	15.5920
3.9483	16.1790
3.9453	16.7720
3.9423	17.3370
3.9393	17.8430
3.9363	18.2700
3.9333	18.6100
3.9304	18.8690
3.9274	19.0620
3.9244	19.2080
3.9214	19.3260
3.9185	19.4300
3.9155	19.5290
3.9126	19.6230
3.9096	19.7130
3.9067	19.7980
3.9037	19.8740
3.9008	19.9430
3.8979	20.0040
3.8949	20.0570
3.8920	20.1010
3.8891	20.1350
3.8862	20.1620
3.8833	20.1820
3.8804	20.1990
3.8775	20.2160
3.8746	20.2350
3.8717	20.2580
3.8688	20.2840
3.8659	20.3130
3.8630	20.3450
3.8601	20.3790
3.8573	20.4190
3.8544	20.4670
3.8515	20.5280
3.8487	20.6080
3.8458	20.7120
3.8430	20.8440
3.8401	21.0060
3.8373	21.2010
3.8344	21.4260
3.8316	21.6770
3.8288	21.9480
3.8259	22.2320
3.8231	22.5220
3.8203	22.8120
3.8175	23.1030
3.8147	23.3910
3.8119	23.6800
3.8091	23.9700
3.8063	24.2630
3.8035	24.5560
3.8007	24.8450
3.7979	25.1220
3.7951	25.3790
3.7924	25.6070
3.7896	25.8010
3.7868	25.9570
3.7841	26.0780
3.7813	26.1670
3.7785	26.2300
3.7758	26.2710
3.7730	26.2940
3.7703	26.2990
3.7676	26.2900
3.7648	26.2670
3.7621	26.2350
3.7594	26.1970
3.7566	26.1580
3.7539	26.1230
3.7512	26.0930
3.7485	26.0710
3.7458	26.0540
3.7431	26.0380
3.7404	26.0200
3.7377	25.9970
3.7350	25.9650
3.7323	25.9240
3.7296	25.8740
3.7269	25.8160
3.7242	25.7530
3.7216	25.6880
3.7189	25.6220
3.7162	25.5580
3.7136	25.4940
3.7109	25.4320
3.7083	25.3710
3.7056	25.3090
3.7030	25.2480
3.7003	25.1860
3.6977	25.1250
3.6950	25.0630
3.6924	25.0020
3.6898	24.9420
3.6872	24.8820
3.6845	24.8250
3.6819	24.7680
3.6793	24.7100
3.6767	24.6480
3.6741	24.5800
3.6715	24.5040
3.6689	24.4210
3.6663	24.3310
3.6637	24.2390
3.6611	24.1490
3.6585	24.0640
3.6560	23.9860
3.6534	23.9140
3.6508	23.8460
3.6482	23.7780
3.6457	23.7060
3.6431	23.6290
3.6406	23.5460
3.6380	23.4570
3.6355	23.3630
3.6329	23.2660
3.6304	23.1670
3.6278	23.0680
3.6253	22.9700
3.6227	22.8750
3.6202	22.7810
3.6177	22.6910
3.6152	22.6010
3.6127	22.5100
3.6101	22.4150
3.6076	22.3140
3.6051	22.2090
3.6026	22.1010
3.6001	21.9910
3.5976	21.8820
3.5951	21.7740
3.5926	21.6640
3.5901	21.5480
3.5876	21.4230
3.5852	21.2860
3.5827	21.1400
3.5802	20.9900
3.5777	20.8420
3.5753	20.7020
3.5728	20.5730
3.5704	20.4560
3.5679	20.3480
3.5654	20.2420
3.5630	20.1340
3.5605	20.0200
3.5581	19.8980
3.5557	19.7660
3.5532	19.6240
3.5508	19.4740
3.5484	19.3130
3.5459	19.1420
3.5435	18.9590
3.5411	18.7630
3.5387	18.5500
3.5363	18.3170
3.5338	18.0600
3.5314	17.7750
3.5290	17.4600
3.5266	17.1180
3.5242	16.7530
3.5218	16.3760
3.5195	15.9980
3.5171	15.6310
3.5147	15.2860
3.5123	14.9710
3.5099	14.6910
3.5075	14.4470
3.5052	14.2360
3.5028	14.0530
3.5004	13.8910
3.4981	13.7400
3.4957	13.5930
3.4934	13.4450
3.4910	13.2920
3.4887	13.1380
3.4863	12.9880
3.4840	12.8510
3.4816	12.7420
3.4793	12.6720
3.4770	12.6510
3.4746	12.6840
3.4723	12.7670
3.4700	12.8880
3.4677	13.0310
3.4653	13.1750
3.4630	13.3040
3.4607	13.4030
3.4584	13.4680
3.4561	13.4980
3.4538	13.5000
3.4515	13.4770
3.4492	13.4380
3.4469	13.3860
3.4446	13.3230
3.4423	13.2500
3.4400	13.1670
3.4378	13.0730
3.4355	12.9700
3.4332	12.8610
3.4309	12.7480
3.4287	12.6360
3.4264	12.5290
3.4241	12.4320
3.4219	12.3460
3.4196	12.2730
3.4174	12.2120
3.4151	12.1610
3.4129	12.1180
3.4106	12.0820
3.4084	12.0500
3.4061	12.0210
3.4039	11.9930
3.4017	11.9650
3.3994	11.9340
3.3972	11.8970
3.3950	11.8500
3.3928	11.7920
