Name:  Brown loamy fine sand
Type:  Soils
Class:  Alfisol
Subclass:  Haplustalf
Particle size:  see additional information
Sample No.:  87P3468
Owner:  JHU 
Wavelength range:  All
Origin:  Edwards Co., Ks. via USDA Soil Conservation service.

Description:  The parent material is eolian sand from upland slope in 
level or undulating plains.  Brown loamy fine sand (sandy, mixed, thermic 
psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3468a.txt

4.1808	21.9404
4.1774	22.0112
4.1740	22.0775
4.1707	22.1386
4.1673	22.1955
4.1640	22.2492
4.1606	22.3012
4.1573	22.3522
4.1540	22.4023
4.1506	22.4509
4.1473	22.4982
4.1440	22.5444
4.1407	22.5900
4.1374	22.6359
4.1341	22.6830
4.1308	22.7324
4.1275	22.7836
4.1242	22.8364
4.1209	22.8901
4.1177	22.9443
4.1144	22.9985
4.1111	23.0519
4.1079	23.1049
4.1046	23.1574
4.1014	23.2087
4.0981	23.2592
4.0949	23.3090
4.0917	23.3575
4.0884	23.4042
4.0852	23.4470
4.0820	23.4841
4.0788	23.5129
4.0756	23.5326
4.0724	23.5436
4.0692	23.5474
4.0660	23.5456
4.0628	23.5405
4.0596	23.5324
4.0565	23.5222
4.0533	23.5090
4.0501	23.4933
4.0470	23.4738
4.0438	23.4504
4.0406	23.4224
4.0375	23.3915
4.0344	23.3596
4.0312	23.3278
4.0281	23.2985
4.0250	23.2724
4.0218	23.2480
4.0187	23.2238
4.0156	23.1987
4.0125	23.1733
4.0094	23.1481
4.0063	23.1242
4.0032	23.1044
4.0001	23.0888
3.9970	23.0781
3.9940	23.0729
3.9909	23.0734
3.9878	23.0793
3.9847	23.0883
3.9817	23.0986
3.9786	23.1081
3.9756	23.1162
3.9725	23.1237
3.9695	23.1340
3.9665	23.1491
3.9634	23.1713
3.9604	23.1976
3.9574	23.2255
3.9544	23.2502
3.9513	23.2680
3.9483	23.2778
3.9453	23.2805
3.9423	23.2802
3.9393	23.2807
3.9363	23.2834
3.9333	23.2873
3.9304	23.2905
3.9274	23.2883
3.9244	23.2773
3.9214	23.2556
3.9185	23.2248
3.9155	23.1879
3.9126	23.1474
3.9096	23.1061
3.9067	23.0641
3.9037	23.0204
3.9008	22.9731
3.8979	22.9216
3.8949	22.8675
3.8920	22.8137
3.8891	22.7621
3.8862	22.7133
3.8833	22.6652
3.8804	22.6147
3.8775	22.5588
3.8746	22.4970
3.8717	22.4318
3.8688	22.3684
3.8659	22.3110
3.8630	22.2624
3.8601	22.2228
3.8573	22.1887
3.8544	22.1562
3.8515	22.1230
3.8487	22.0873
3.8458	22.0497
3.8430	22.0129
3.8401	21.9797
3.8373	21.9511
3.8344	21.9279
3.8316	21.9091
3.8288	21.8920
3.8259	21.8735
3.8231	21.8505
3.8203	21.8225
3.8175	21.7890
3.8147	21.7507
3.8119	21.7099
3.8091	21.6669
3.8063	21.6232
3.8035	21.5786
