Name:  Dark yellowish brown silty clay 
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  89P1805
Owner:  JHU
Wavelength range:  All
Origin:  San Bernadino Co., Ca.,China Lake via USDA Soil Conservation 
service.
Description: Parent material: alluvium over lacustrine material.  
Physiography: playa.  Dark yellowish brown silty clay  (Clayey over loamy, 
mixed thermic Typic Salorthid).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1805a.txt

4.3822	16.9980
4.3785	17.0540
4.3748	17.1090
4.3711	17.1640
4.3674	17.2190
4.3638	17.2750
4.3601	17.3330
4.3564	17.3890
4.3528	17.4450
4.3491	17.5000
4.3455	17.5520
4.3418	17.6040
4.3382	17.6560
4.3346	17.7080
4.3310	17.7600
4.3273	17.8090
4.3237	17.8560
4.3201	17.9000
4.3165	17.9410
4.3129	17.9830
4.3094	18.0240
4.3058	18.0680
4.3022	18.1120
4.2986	18.1570
4.2951	18.2010
4.2915	18.2430
4.2880	18.2820
4.2844	18.3200
4.2809	18.3550
4.2774	18.3910
4.2738	18.4280
4.2703	18.4670
4.2668	18.5090
4.2633	18.5540
4.2598	18.6000
4.2563	18.6470
4.2528	18.6950
4.2493	18.7410
4.2458	18.7870
4.2424	18.8310
4.2389	18.8730
4.2354	18.9120
4.2320	18.9490
4.2285	18.9840
4.2251	19.0170
4.2216	19.0480
4.2182	19.0780
4.2148	19.1080
4.2113	19.1380
4.2079	19.1680
4.2045	19.1990
4.2011	19.2310
4.1977	19.2630
4.1943	19.2960
4.1909	19.3270
4.1875	19.3560
4.1841	19.3810
4.1808	19.4030
4.1774	19.4230
4.1740	19.4440
4.1707	19.4650
4.1673	19.4880
4.1640	19.5110
4.1606	19.5330
4.1573	19.5500
4.1540	19.5620
4.1506	19.5700
4.1473	19.5760
4.1440	19.5820
4.1407	19.5880
4.1374	19.5960
4.1341	19.6020
4.1308	19.6080
4.1275	19.6110
4.1242	19.6110
4.1209	19.6080
4.1177	19.6010
4.1144	19.5900
4.1111	19.5720
4.1079	19.5490
4.1046	19.5210
4.1014	19.4910
4.0981	19.4620
4.0949	19.4340
4.0917	19.4080
4.0884	19.3810
4.0852	19.3510
4.0820	19.3160
4.0788	19.2750
4.0756	19.2270
4.0724	19.1710
4.0692	19.1090
4.0660	19.0420
4.0628	18.9680
4.0596	18.8890
4.0565	18.8020
4.0533	18.7070
4.0501	18.6020
4.0470	18.4890
4.0438	18.3680
4.0406	18.2400
4.0375	18.1050
4.0344	17.9630
4.0312	17.8130
4.0281	17.6550
4.0250	17.4850
4.0218	17.2980
4.0187	17.0900
