Name:  Grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Haplustall
Particle Size:  see additional information
Sample No.:  85P4569
Owner:  JHU
Wavelength range:  All
Origin:  Cheyenne Co., Nb. via USDA Soil Conservation service.

Description:  Parent material is residuum from mixed-calcareous material.  
Grayish brown loam (loamy-skeletal, mixed, mesic lithic).  
Physiography: upland slope in level or undulating uplands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4569a.txt

5.9451	1.5798
5.9383	1.6254
5.9315	1.6835
5.9247	1.7516
5.9180	1.8220
5.9112	1.8927
5.9045	1.9615
5.8978	2.0297
5.8911	2.1067
5.8844	2.1988
5.8777	2.3097
5.8711	2.4369
5.8644	2.5707
5.8578	2.7012
5.8512	2.8169
5.8446	2.9142
5.8380	2.9986
5.8314	3.0787
5.8249	3.1648
5.8184	3.2674
5.8118	3.3890
5.8053	3.5166
5.7988	3.6332
5.7923	3.7307
5.7859	3.8071
5.7794	3.8663
5.7730	3.9193
5.7666	3.9824
5.7602	4.0671
5.7538	4.1676
5.7474	4.2738
5.7410	4.3823
5.7347	4.4891
5.7283	4.5911
5.7220	4.6916
5.7157	4.7961
5.7094	4.9055
5.7031	5.0157
5.6969	5.1185
5.6906	5.2101
5.6844	5.2882
5.6782	5.3481
5.6719	5.3899
5.6657	5.4137
5.6596	5.4211
5.6534	5.4199
5.6472	5.4153
5.6411	5.4143
5.6349	5.4232
5.6288	5.4371
5.6227	5.4496
5.6166	5.4436
5.6106	5.3981
5.6045	5.2994
5.5984	5.1442
5.5924	4.9414
5.5864	4.7158
5.5804	4.5089
5.5744	4.3719
5.5684	4.3392
5.5624	4.4239
5.5564	4.6234
5.5505	4.9142
5.5445	5.2517
5.5386	5.5863
5.5327	5.8846
5.5268	6.1319
5.5209	6.3255
5.5151	6.4747
5.5092	6.5976
5.5033	6.7098
5.4975	6.8146
5.4917	6.9094
5.4859	6.9944
5.4801	7.0718
5.4743	7.1454
5.4685	7.2181
5.4628	7.2937
5.4570	7.3678
5.4513	7.4265
5.4455	7.4609
5.4398	7.4685
5.4341	7.4509
5.4284	7.4132
5.4228	7.3634
5.4171	7.3116
5.4114	7.2568
5.4058	7.1911
5.4002	7.1144
5.3945	7.0292
5.3889	6.9399
5.3833	6.8512
5.3778	6.7673
5.3722	6.6948
5.3666	6.6366
5.3611	6.5947
5.3555	6.5732
5.3500	6.5757
5.3445	6.6029
5.3390	6.6477
5.3335	6.7014
5.3280	6.7585
5.3225	6.8157
5.3171	6.8710
5.3116	6.9236
5.3062	6.9768
5.3008	7.0346
5.2954	7.0986
5.2900	7.1731
5.2846	7.2612
5.2792	7.3638
5.2738	7.4791
5.2684	7.6030
5.2631	7.7330
5.2578	7.8685
5.2524	8.0129
5.2471	8.1677
5.2418	8.3297
5.2365	8.4968
5.2312	8.6651
5.2260	8.8269
5.2207	8.9780
5.2154	9.1164
5.2102	9.2433
5.2050	9.3552
5.1998	9.4480
5.1945	9.5239
5.1893	9.5837
5.1842	9.6290
5.1790	9.6631
5.1738	9.6883
5.1686	9.7092
5.1635	9.7265
5.1584	9.7403
