Name:  Black loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  85P4663
Owner:  JHU
Wavelength range:  All
Origin:  Gunnison Co., Co. via USDA Soil Conservation service.

Description: Parent material is local colluvium from igneous andesitic 
material.  Black loam, (fine-loamy, mixed pachic).  
Physiography: hillside or mountainside in mountains or deeply dissected plateaus.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4663a.txt
	
5.9112	1.9829
5.9045	2.0155
5.8978	2.0255
5.8911	2.0587
5.8844	2.1038
5.8777	2.1544
5.8711	2.2382
5.8644	2.3291
5.8578	2.4136
5.8512	2.4764
5.8446	2.5155
5.8380	2.5459
5.8314	2.5748
5.8249	2.6140
5.8184	2.6695
5.8118	2.7528
5.8053	2.8478
5.7988	2.9377
5.7923	3.0117
5.7859	3.0521
5.7794	3.0897
5.7730	3.1284
5.7666	3.1787
5.7602	3.2651
5.7538	3.3611
5.7474	3.4725
5.7410	3.5934
5.7347	3.6988
5.7283	3.7977
5.7220	3.9025
5.7157	4.0004
5.7094	4.1011
5.7031	4.2360
5.6969	4.3788
5.6906	4.5163
5.6844	4.6382
5.6782	4.7478
5.6719	4.8695
5.6657	4.9801
5.6596	5.0581
5.6534	5.1444
5.6472	5.2450
5.6411	5.3531
5.6349	5.4643
5.6288	5.5921
5.6227	5.7410
5.6166	5.8866
5.6106	6.0057
5.6045	6.1362
5.5984	6.2618
5.5924	6.3701
5.5864	6.4759
5.5804	6.5968
5.5744	6.7209
5.5684	6.8508
5.5624	6.9973
5.5564	7.1494
5.5505	7.2729
5.5445	7.3849
5.5386	7.5083
5.5327	7.6224
5.5268	7.7333
5.5209	7.8457
5.5151	7.9562
5.5092	8.0627
5.5033	8.1607
5.4975	8.2481
5.4917	8.3335
5.4859	8.4040
5.4801	8.4469
5.4743	8.4991
5.4685	8.5782
5.4628	8.6632
5.4570	8.7623
5.4513	8.8498
5.4455	8.9256
5.4398	8.9553
5.4341	8.9388
5.4284	8.9361
5.4228	8.9420
5.4171	8.9623
5.4114	8.9839
5.4058	8.9972
5.4002	9.0079
5.3945	8.9956
5.3889	8.9645
5.3833	8.9151
5.3778	8.8805
5.3722	8.8623
5.3666	8.8055
5.3611	8.7621
5.3555	8.7567
5.3500	8.7608
5.3445	8.7868
5.3390	8.8546
5.3335	8.9358
5.3280	9.0016
5.3225	9.0434
5.3171	9.0886
5.3116	9.1302
5.3062	9.1719
5.3008	9.2252
5.2954	9.2757
5.2900	9.3236
5.2846	9.3884
5.2792	9.4717
5.2738	9.5678
5.2684	9.6688
5.2631	9.7521
5.2578	9.8401
5.2524	9.9287
5.2471	10.0212
5.2418	10.1150
5.2365	10.2021
5.2312	10.2971
5.2260	10.3818
5.2207	10.4509
5.2154	10.5136
5.2102	10.5832
5.2050	10.6466
5.1998	10.7029
5.1945	10.7617
5.1893	10.7960
5.1842	10.8244
5.1790	10.8562
5.1738	10.8940
5.1686	10.9276
