Name:  Brown to dark brown silt loam
Type:  Soils
Class:  Entisol
Subclass:  Ustifluvent
Particle Size:  see additional information
Sample No.:  82P2230
Owner:  JHU
Wavelength range:  All
Origin:  Near Bait Radam, Yemen via USDA Soil Conservation service.

Description:  Parent material: alluvium.  Brown to dark brown silt 
loam (fine-loamy, mixed-calcareous, isothermic typic ustifluvent).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2230a.txt
	
3.5052	9.323
3.5028	9.253
3.5004	9.184
3.4981	9.119
3.4957	9.057
3.4934	8.998
3.491	8.943
3.4887	8.888
3.4863	8.836
3.484	8.783
3.4816	8.732
3.4793	8.68
3.477	8.628
3.4746	8.576
3.4723	8.524
3.47	8.473
3.4677	8.426
3.4653	8.383
3.463	8.345
3.4607	8.308
3.4584	8.271
3.4561	8.23
3.4538	8.182
3.4515	8.127
3.4492	8.063
3.4469	7.992
3.4446	7.917
3.4423	7.837
3.44	7.757
3.4378	7.678
3.4355	7.601
3.4332	7.53
3.4309	7.464
3.4287	7.404
3.4264	7.346
3.4241	7.289
3.4219	7.232
3.4196	7.171
3.4174	7.109
3.4151	7.048
3.4129	6.99
3.4106	6.938
3.4084	6.892
3.4061	6.853
3.4039	6.819
3.4017	6.791
3.3994	6.764
3.3972	6.736
3.395	6.706
3.3928	6.671
3.3906	6.629
3.3883	6.5827
3.3861	6.5322
3.3839	6.4805
3.3817	6.4299
3.3795	6.3826
3.3773	6.3386
3.3751	6.2973
3.3729	6.2573
3.3707	6.2165
3.3685	6.1728
3.3663	6.1264
3.3641	6.0776
3.362	6.0278
3.3598	5.9783
3.3576	5.9302
3.3554	5.8835
3.3533	5.8379
3.3511	5.792
3.3489	5.7444
3.3468	5.6943
3.3446	5.6426
3.3425	5.5903
3.3403	5.5403
3.3382	5.4941
3.336	5.4526
3.3339	5.4158
3.3317	5.3823
3.3296	5.3508
3.3274	5.3205
3.3253	5.2895
3.3232	5.2576
3.321	5.2231
3.3189	5.1858
3.3168	5.145
3.3147	5.1015
3.3126	5.0564
3.3104	5.0105
3.3083	4.9651
3.3062	4.9211
3.3041	4.8786
3.302	4.8364
3.2999	4.7937
3.2978	4.7495
3.2957	4.7038
3.2936	4.657
3.2915	4.6103
3.2894	4.5649
3.2874	4.522
3.2853	4.4824
3.2832	4.4465
3.2811	4.4141
3.279	4.3838
3.277	4.355
3.2749	4.3266
3.2728	4.2971
3.2708	4.2651
3.2687	4.2297
3.2666	4.1899
3.2646	4.1462
3.2625	4.0996
3.2605	4.0522
3.2584	4.0063
3.2564	3.9646
3.2543	3.9282
3.2523	3.8977
3.2503	3.8716
3.2482	3.8476
3.2462	3.8242
3.2442	3.8
3.2421	3.7742
3.2401	3.7466
3.2381	3.718
3.2361	3.6877
3.234	3.6565
3.232	3.6245
3.23	3.5923
3.228	3.5605
3.226	3.5298
3.224	3.5007
3.222	3.4719
3.22	3.4434
3.218	3.4141
3.216	3.3838
3.214	3.3525
3.212	3.3218
3.21	3.2917
3.208	3.2629
3.206	3.2351
3.2041	3.2082
3.2021	3.1816
3.2001	3.1548
3.1981	3.1279
3.1961	3.1013
3.1942	3.0754
3.1922	3.0513
3.1902	3.0303
3.1883	3.0129
3.1863	2.9995
3.1844	2.9895
3.1824	2.9802
3.1805	2.9702
3.1785	2.9563
3.1766	2.9375
3.1746	2.9136
3.1727	2.8852
3.1707	2.8545
3.1688	2.8227
3.1669	2.7915
3.1649	2.7622
3.163	2.7356
3.1611	2.7124
3.1591	2.6926
3.1572	2.676
3.1553	2.6601
3.1534	2.6435
3.1515	2.623
3.1495	2.5984
3.1476	2.5696
3.1457	2.5378
3.1438	2.5066
3.1419	2.4778
3.14	2.4534
3.1381	2.4336
3.1362	2.418
3.1343	2.405
3.1324	2.3935
3.1305	2.3831
3.1286	2.3733
3.1268	2.3643
3.1249	2.3555
3.123	2.3455
3.1211	2.333
3.1192	2.3171
3.1174	2.2974
3.1155	2.2759
3.1136	2.2551
3.1117	2.2383
3.1099	2.2275
3.108	2.2224
3.1061	2.2209
3.1043	2.2205
3.1024	2.2183
3.1006	2.2131
3.0987	2.2046
3.0969	2.1934
3.095	2.1797
3.0932	2.1636
3.0913	2.1445
3.0895	2.1233
3.0876	2.1018
3.0858	2.0828
3.084	2.0698
3.0821	2.0652
3.0803	2.0686
3.0785	2.0771
3.0766	2.0859
3.0748	2.0898
3.073	2.085
3.0712	2.071
3.0694	2.0508
3.0675	2.0288
3.0657	2.0105
3.0639	1.999
3.0621	1.9954
3.0603	1.9971
3.0585	2.0007
3.0567	2.0034
3.0549	2.0032
3.0531	1.9998
3.0513	1.9946
3.0495	1.9885
3.0477	1.9836
3.0459	1.9797
3.0441	1.977
3.0423	1.9753
3.0406	1.9739
3.0388	1.9727
3.037	1.9707
3.0352	1.9673
3.0334	1.9619
3.0317	1.9553
3.0299	1.9482
3.0281	1.9429
3.0264	1.9409
3.0246	1.9441
3.0228	1.9507
3.0211	1.9592
