Name:  White gypsum dune sand.
Type:  Soils
Class:  Entisol
Subclass:  Torripsamment 
Particle Size:  see additional information
Sample No.:  0015
Owner:  JHU
Wavelength range:  All
Origin:  Dona Ana Co., NM.

Description:  The parent material is eolian from evaporites.  
White gypsum dune sand.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  0015a.txt

4.1573	3.2170
4.1540	3.2724
4.1506	3.3267
4.1473	3.3694
4.1440	3.4294
4.1407	3.5017
4.1374	3.5527
4.1341	3.5891
4.1308	3.6511
4.1275	3.7251
4.1242	3.7826
4.1209	3.8379
4.1177	3.8899
4.1144	3.9529
4.1111	4.0361
4.1079	4.0981
4.1046	4.1584
4.1014	4.2412
4.0981	4.3345
4.0949	4.4145
4.0917	4.4870
4.0884	4.5495
4.0852	4.6072
4.0820	4.6767
4.0788	4.7663
4.0756	4.8533
4.0724	4.9177
4.0692	4.9944
4.0660	5.0796
4.0628	5.1767
4.0596	5.2622
4.0565	5.3288
4.0533	5.3884
4.0501	5.4717
4.0470	5.5571
4.0438	5.6291
4.0406	5.7168
4.0375	5.7981
4.0344	5.8523
4.0312	5.9148
4.0281	5.9968
4.0250	6.0478
4.0218	6.1089
4.0187	6.1916
4.0156	6.2292
4.0125	6.2761
4.0094	6.3230
4.0063	6.3515
4.0032	6.3713
4.0001	6.4194
3.9970	6.4451
3.9940	6.4172
3.9909	6.3782
3.9878	6.3110
3.9847	6.2207
3.9817	6.1555
3.9786	6.1116
3.9756	6.0759
3.9725	6.1045
3.9695	6.2112
3.9665	6.3606
3.9634	6.5349
3.9604	6.7366
3.9574	6.9438
3.9544	7.1264
3.9513	7.3074
3.9483	7.4678
3.9453	7.6094
3.9423	7.7610
3.9393	7.9140
3.9363	8.0278
3.9333	8.1206
3.9304	8.2136
3.9274	8.3008
3.9244	8.3801
3.9214	8.4731
3.9185	8.5620
3.9155	8.6242
3.9126	8.7077
3.9096	8.7656
3.9067	8.7993
3.9037	8.8305
3.9008	8.8420
3.8979	8.8664
3.8949	8.8991
3.8920	8.9013
3.8891	8.8581
3.8862	8.7419
3.8833	8.5947
3.8804	8.4387
3.8775	8.2737
3.8746	8.1413
3.8717	8.1089
3.8688	8.2063
3.8659	8.4225
3.8630	8.6745
3.8601	8.8882
3.8573	9.0786
3.8544	9.2566
3.8515	9.4067
3.8487	9.5027
3.8458	9.5447
3.8430	9.5649
3.8401	9.6238
3.8373	9.6914
3.8344	9.7312
3.8316	9.7614
3.8288	9.7771
3.8259	9.8257
3.8231	9.8672
3.8203	9.8869
3.8175	9.8977
3.8147	9.9106
3.8119	9.9040
3.8091	9.8894
3.8063	9.8845
3.8035	9.9060
3.8007	9.9323
3.7979	9.9199
3.7951	9.9148
3.7924	9.9118
3.7896	9.9331
3.7868	9.9521
3.7841	9.9458
3.7813	9.9563
3.7785	9.9565
3.7758	9.9497
3.7730	9.9465
3.7703	9.9472
3.7676	9.9382
3.7648	9.9270
3.7621	9.9240
3.7594	9.9353
3.7566	9.9236
3.7539	9.8977
3.7512	9.8816
3.7485	9.8623
3.7458	9.8266
3.7431	9.8015
3.7404	9.8027
3.7377	9.8022
3.7350	9.7688
3.7323	9.7212
3.7296	9.6777
3.7269	9.6667
3.7242	9.6443
3.7216	9.6467
3.7189	9.6606
3.7162	9.6662
3.7136	9.6721
3.7109	9.6623
3.7083	9.6421
3.7056	9.6379
3.7030	9.6125
3.7003	9.5573
3.6977	9.5537
3.6950	9.5320
3.6924	9.4983
3.6898	9.4482
3.6872	9.3850
3.6845	9.3579
3.6819	9.3149
3.6793	9.2402
3.6767	9.2031
3.6741	9.1628
3.6715	9.0923
3.6689	9.0351
3.6663	8.9797
3.6637	8.9194
3.6611	8.8535
3.6585	8.7795
3.6560	8.7261
3.6534	8.6924
3.6508	8.6328
3.6482	8.5398
3.6457	8.4597
3.6431	8.3916
3.6406	8.3161
3.6380	8.2558
3.6355	8.1865
3.6329	8.0932
3.6304	8.0478
3.6278	8.0149
3.6253	7.9424
3.6227	7.8435
3.6202	7.7732
3.6177	7.7077
3.6152	7.6335
3.6127	7.5664
3.6101	7.5232
3.6076	7.4525
3.6051	7.3554
3.6026	7.2561
3.6001	7.1780
3.5976	7.1264
3.5951	7.0449
3.5926	6.9668
3.5901	6.9123
3.5876	6.8396
3.5852	6.7707
3.5827	6.6953
3.5802	6.6272
3.5777	6.5818
3.5753	6.5405
3.5728	6.5041
3.5704	6.4414
3.5679	6.3591
3.5654	6.2810
3.5630	6.2544
3.5605	6.2253
3.5581	6.1836
3.5557	6.1369
3.5532	6.0827
3.5508	6.0110
3.5484	5.9676
3.5459	5.9543
3.5435	5.9050
3.5411	5.8613
3.5387	5.8413
3.5363	5.8164
3.5338	5.7461
3.5314	5.6965
3.5290	5.6601
3.5266	5.6296
3.5242	5.6167
3.5218	5.6023
3.5195	5.5784
3.5171	5.5417
3.5147	5.4980
3.5123	5.4541
3.5099	5.4084
3.5075	5.3674
3.5052	5.3398
3.5028	5.2988
3.5004	5.2512
3.4981	5.2112
3.4957	5.1804
3.4934	5.1267
3.4910	5.0840
3.4887	5.0422
3.4863	4.9980
3.4840	4.9692
3.4816	4.9140
3.4793	4.8574
3.4770	4.8191
3.4746	4.7800
3.4723	4.7497
3.4700	4.7173
3.4677	4.6990
3.4653	4.6877
3.4630	4.6626
3.4607	4.6272
3.4584	4.5896
3.4561	4.5539
3.4538	4.5102
3.4515	4.4924
3.4492	4.4736
3.4469	4.4255
3.4446	4.3642
3.4423	4.3198
3.4400	4.2829
3.4378	4.2515
3.4355	4.2097
3.4332	4.1711
3.4309	4.1619
3.4287	4.1316
3.4264	4.0889
3.4241	4.0508
3.4219	4.0271
3.4196	3.9873
3.4174	3.9170
3.4151	3.8791
3.4129	3.8806
3.4106	3.8662
3.4084	3.8147
3.4061	3.7778
3.4039	3.7427
3.4017	3.6843
3.3994	3.6406
3.3972	3.6196
3.3950	3.5847
3.3928	3.5349
3.3906	3.5142
3.3883	3.4773
3.3861	3.4412
3.3839	3.4209
3.3817	3.3735
3.3795	3.3279
3.3773	3.2883
3.3751	3.2724
3.3729	3.2559
3.3707	3.2153
3.3685	3.1636
3.3663	3.1260
3.3641	3.0642
3.3620	3.0381
3.3598	3.0137
3.3576	2.9831
3.3554	2.9543
3.3533	2.9370
3.3511	2.9246
3.3489	2.8911
3.3468	2.8650
3.3446	2.8647
3.3425	2.8523
3.3403	2.8406
3.3382	2.8132
3.3360	2.7812
3.3339	2.7598
3.3317	2.7468
3.3296	2.7202
3.3274	2.6802
3.3253	2.6421
3.3232	2.6064
3.3210	2.6030
3.3189	2.5759
3.3168	2.5513
3.3147	2.5432
3.3126	2.5261
3.3104	2.4997
3.3083	2.4914
3.3062	2.4878
3.3041	2.4626
3.3020	2.4228
3.2999	2.3884
3.2978	2.4016
3.2957	2.3828
3.2936	2.3369
3.2915	2.3245
3.2894	2.3124
3.2874	2.2949
3.2853	2.2744
3.2832	2.2446
3.2811	2.2229
3.2790	2.1907
3.2770	2.1841
3.2749	2.1738
3.2728	2.1606
3.2708	2.1636
3.2687	2.1550
3.2666	2.1572
3.2646	2.1692
3.2625	2.1626
3.2605	2.1411
3.2584	2.1177
3.2564	2.0923
3.2543	2.0723
3.2523	2.0950
3.2503	2.1018
3.2482	2.0813
3.2462	2.0447
3.2442	2.0315
3.2421	2.0249
3.2401	2.0254
3.2381	2.0327
3.2361	2.0469
3.2340	2.0498
3.2320	2.0178
3.2300	1.9949
3.2280	1.9873
3.2260	1.9851
3.2240	1.9951
3.2220	1.9856
3.2200	1.9705
3.2180	1.9944
3.2160	2.0122
3.2140	1.9956
3.2120	1.9692
3.2100	1.9851
3.2080	1.9939
3.2060	1.9856
3.2040	1.9700
3.2021	1.9644
3.2001	1.9678
3.1981	1.9685
3.1961	1.9729
3.1942	1.9626
3.1922	1.9573
3.1902	1.9526
3.1883	1.9446
3.1863	1.9155
3.1844	1.9092
3.1824	1.9311
3.1805	1.9492
3.1785	1.9653
3.1766	1.9473
3.1746	1.9570
3.1727	1.9727
3.1707	1.9590
3.1688	1.9431
3.1669	1.9409
3.1649	1.9709
3.1630	1.9863
3.1611	1.9531
3.1591	1.9145
3.1572	1.9123
3.1553	1.9133
3.1534	1.9082
3.1515	1.9031
3.1495	1.9031
3.1476	1.9214
3.1457	1.9316
3.1438	1.9309
3.1419	1.9529
3.1400	1.9748
3.1381	1.9580
3.1362	1.9353
3.1343	1.9302
3.1324	1.9109
3.1305	1.9114
3.1286	1.9529
3.1268	1.9770
3.1249	1.9648
3.1230	1.9524
3.1211	1.9604
3.1192	1.9504
3.1174	1.9497
3.1155	1.9668
3.1136	1.9709
