Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

5.231233603	99.1074
5.225960061	99.1377
5.220697141	99.1289
5.21544481	99.1377
5.210203036	99.1423
5.204974498	99.1345
5.19975374	99.1443
5.194543444	99.1706
5.189343579	99.1648
5.184154115	99.1728
5.178975019	99.1758
5.173806261	99.2002
5.168647809	99.1855
5.163499634	99.1894
5.158361704	99.1882
5.153233989	99.1877
5.148116459	99.1814
5.143009082	99.209
5.137911829	99.2148
5.13282467	99.1894
5.127747575	99.1865
5.122680514	99.2029
5.117623458	99.207
5.112576376	99.2148
5.107539239	99.2156
5.102512018	99.2021
5.097494683	99.1882
5.092487206	99.2126
5.087489558	99.2146
5.082504292	99.2178
5.077526209	99.2283
5.072557868	99.2295
5.06759924	99.2048
5.062650297	99.2117
5.057711011	99.217
5.052781354	99.2278
5.047861297	99.2322
5.042950812	99.2263
5.038049872	99.2287
5.033158448	99.2458
5.028276513	99.2414
5.023404039	99.2444
5.018541	99.2644
5.013687367	99.2483
5.008843113	99.2424
5.004010715	99.2424
4.999185133	99.2649
4.994368849	99.2961
4.989561837	99.2766
4.984764069	99.2698
4.979975518	99.2751
4.97519616	99.2893
4.970425966	99.2854
4.96566491	99.2795
4.960912967	99.2786
4.95617011	99.2761
4.951436313	99.2927
4.94671155	99.2878
4.941995795	99.262
4.937289023	99.2971
4.932591209	99.2917
4.927902325	99.2634
4.923222347	99.2678
4.918551251	99.2825
4.913889009	99.2956
4.909235598	99.3147
4.904590991	99.3279
4.899955165	99.2932
4.895328095	99.3
4.890712146	99.2961
4.886102507	99.2888
4.88150155	99.2912
4.876909249	99.281
4.87232558	99.3142
4.86775052	99.324
4.863184043	99.3039
4.858626126	99.2971
4.854076745	99.3181
4.849535875	99.324
4.845003493	99.3269
4.840479575	99.3567
4.835964098	99.3606
4.831457037	99.364
4.826958369	99.3454
4.822468072	99.3367
4.81798612	99.3269
4.813512492	99.3454
4.809047164	99.3586
4.804590113	99.3479
4.800141316	99.3503
4.79570075	99.385
4.791268392	99.3923
4.78684422	99.3953
4.782430498	99.4099
4.778022625	99.3957
4.773622869	99.3855
4.769231209	99.3787
4.764847623	99.383
4.760472086	99.4177
4.756104579	99.3923
4.751745078	99.3948
4.747393562	99.4001
4.743050009	99.4162
4.738714396	99.4436
4.734386703	99.4319
4.730066907	99.4045
4.725754987	99.3747
4.721450921	99.3962
4.717154688	99.3855
4.712866266	99.3977
4.708585635	99.4084
4.704312773	99.387
4.700047658	99.3909
4.695790271	99.3977
4.691540589	99.4153
4.687298593	99.3791
4.68306426	99.3811
4.67883976	99.4153
4.67462069	99.4114
4.670409221	99.3743
4.666205334	99.3674
4.662009009	99.3923
4.657820224	99.3679
4.65363896	99.3537
4.649465195	99.3752
4.645298911	99.3972
4.641140087	99.4001
4.636988702	99.4143
4.632844738	99.405
4.628708174	99.4045
4.62457899	99.4206
4.620457167	99.4202
4.616342684	99.4138
4.612235523	99.4065
