Name:  Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Coarse  (74-250 Micrometers)
Sample No.:  augite.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rozier, near Gorges du Tarn, Tarn, France via 
the Smithsonian (sample no. NMNH 120049). 
Description:  The sample was a single 22.31 g portion of a single 
black crystal, displaying some veining with dolomite, which was 
completely removed by a warm acid bath.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  augite2a.txt

6.884667364	3.8599
6.875536292	3.8789
6.866429409	3.8865
6.857346618	3.9004
6.848287825	3.9165
6.839252935	3.9248
6.830241852	3.9297
6.821254483	3.9436
6.812290735	3.9573
6.803350514	3.9604
6.794433728	3.9624
6.785540285	3.9719
6.776670093	3.9785
6.767823062	3.9763
6.7589991	3.9778
6.750198118	3.9702
6.741420026	3.959
6.732664735	3.9558
6.723932156	3.9426
6.715226709	3.9248
6.706539278	3.9055
6.697874296	3.8979
6.689231675	3.8857
6.680611329	3.8613
6.672013173	3.8447
6.663437121	3.8337
6.654883087	3.8164
6.646350987	3.7886
6.637840737	3.7698
6.629352253	3.7541
6.620885451	3.7378
6.612440248	3.7305
6.604016563	3.7158
6.595614312	3.688
6.587233415	3.6689
6.578873789	3.655
6.570535354	3.6372
6.56221803	3.6243
6.553921736	3.6113
6.545646392	3.5972
6.537391921	3.5749
6.529158241	3.5576
6.520945276	3.5476
6.512757189	3.5281
6.504585407	3.508
6.496434107	3.4831
6.488303211	3.4651
6.480192643	3.4619
6.472102327	3.4565
6.464032186	3.4458
6.455982145	3.4326
6.44795213	3.4267
6.439942066	3.4255
6.431951879	3.4197
6.423981494	3.4126
6.416030838	3.4021
6.408099838	3.4101
6.400188422	3.4253
6.392296516	3.4272
6.384424048	3.4294
6.376570948	3.4348
6.368737143	3.4358
6.360922563	3.4465
6.353127136	3.4575
6.345350793	3.4609
6.337593464	3.4709
6.329855078	3.4758
6.322139564	3.4817
6.314438848	3.5005
6.30675687	3.5168
6.29909356	3.5242
6.291448851	3.529
6.283822676	3.5349
6.276214965	3.5417
6.268625654	3.5554
6.261054675	3.5649
6.253501961	3.5757
6.245967447	3.593
6.238451067	3.6023
6.230952756	3.6025
6.223472449	3.6081
6.21601008	3.6174
6.208565585	3.6213
6.201142747	3.6291
6.1937338	3.6394
6.186342535	3.646
6.178968891	3.6536
6.171612803	3.6579
6.164274209	3.665
6.156953047	3.6699
6.149649255	3.6753
6.14236277	3.686
6.135093533	3.6924
6.12784148	3.6946
6.120606552	3.6985
6.113388688	3.7012
6.106187828	3.708
6.099003911	3.7226
6.091836878	3.7339
6.084686669	3.7309
6.077553226	3.729
6.070436489	3.7454
6.063336399	3.7649
6.056252899	3.7598
6.049185931	3.7624
6.042135436	3.7886
6.035101357	3.7991
6.02808727	3.8074
6.021085843	3.8201
6.01410066	3.8223
6.007131667	3.8313
6.000178805	3.8523
5.99324202	3.8667
5.986321256	3.8757
5.979416457	3.8877
5.972527568	3.907
5.965654534	3.927
5.9587973	3.9465
5.951955813	3.9707
5.945130017	3.9878
5.938319859	4.0024
5.931525286	4.0332
5.924746243	4.0652
5.917982678	4.0884
5.911234538	4.113
5.904501769	4.133
5.89778432	4.1528
5.891082139	4.1863
5.884395172	4.2185
5.87772337	4.2388
5.871066679	4.2737
5.864428488	4.3081
5.85780186	4.3306
5.851190191	4.3496
5.84459343	4.3767
5.838011527	4.4033
5.831444431	4.4272
5.824892094	4.4475
5.818354465	4.4775
5.811831494	4.5071
5.805323133	4.5276
5.798829332	4.564
5.792350043	4.5962
5.785885217	4.624
5.779434806	4.667
5.772998761	4.707
5.766577035	4.7385
5.760169579	4.7881
5.753776347	4.8362
5.747397291	4.8769
5.741032364	4.9241
5.734681519	4.9744
5.728344709	5.0215
5.722021888	5.0581
5.715713009	5.1025
5.709421287	5.1494
5.703140149	5.1899
5.696872816	5.2231
5.690619242	5.2583
5.684379382	5.2954
5.678153192	5.3264
5.671940626	5.3608
5.66574164	5.3984
