Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (0-74  micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

6.3144	7.3821
6.3068	7.3738
6.2991	7.3591
6.2914	7.3589
6.2838	7.3616
6.2762	7.3530
6.2686	7.3450
6.2611	7.3410
6.2535	7.3352
6.2460	7.3381
6.2385	7.3432
6.2310	7.3481
6.2235	7.3572
6.2160	7.3611
6.2086	7.3669
6.2011	7.3664
6.1937	7.3740
6.1863	7.3816
6.1790	7.3808
6.1716	7.3774
6.1643	7.3879
6.1570	7.4040
6.1496	7.4143
6.1424	7.4324
6.1351	7.4485
6.1278	7.4629
6.1206	7.4758
6.1134	7.4936
6.1062	7.5132
6.0990	7.5273
6.0918	7.5449
6.0847	7.5586
6.0776	7.5744
6.0704	7.6006
6.0633	7.6230
6.0563	7.6333
6.0492	7.6526
6.0421	7.6772
6.0351	7.6853
6.0281	7.6880
6.0211	7.7002
6.0141	7.7251
6.0071	7.7441
6.0002	7.7649
5.9932	7.7898
5.9863	7.8020
5.9794	7.8169
5.9725	7.8484
5.9657	7.8782
5.9588	7.8999
5.9520	7.9302
5.9451	7.9638
5.9383	7.9919
5.9315	8.0232
5.9247	8.0566
5.9180	8.0881
5.9112	8.1225
5.9045	8.1477
5.8978	8.1714
5.8911	8.1987
5.8844	8.2253
5.8777	8.2475
5.8711	8.2580
5.8644	8.2795
5.8578	8.2991
5.8512	8.3037
5.8446	8.3144
5.8380	8.3354
5.8314	8.3484
5.8249	8.3598
5.8184	8.3786
5.8118	8.3923
5.8053	8.4053
5.7988	8.4280
5.7923	8.4565
5.7859	8.4778
5.7794	8.5036
5.7730	8.5271
5.7666	8.5449
5.7602	8.5708
5.7538	8.6147
5.7474	8.6545
5.7410	8.6719
5.7347	8.6960
5.7283	8.7395
5.7220	8.7722
5.7157	8.8049
5.7094	8.8345
5.7031	8.8642
5.6969	8.9006
5.6906	8.9472
5.6844	8.9778
5.6782	9.0039
5.6719	9.0566
5.6657	9.1050
5.6596	9.1467
5.6534	9.1914
5.6472	9.2390
5.6411	9.2922
5.6349	9.3430
5.6288	9.3969
5.6227	9.4448
5.6166	9.4809
5.6106	9.5278
5.6045	9.5710
5.5984	9.6081
5.5924	9.6474
5.5864	9.6714
5.5804	9.6914
5.5744	9.7229
5.5684	9.7549
5.5624	9.7883
5.5564	9.8242
5.5505	9.8679
5.5445	9.9048
5.5386	9.9284
5.5327	9.9499
5.5268	9.9636
5.5209	9.9739
5.5151	9.9875
5.5092	10.004
5.5033	10.009
5.4975	10.014
5.4917	10.027
5.4859	10.042
5.4801	10.054
5.4743	10.059
5.4685	10.076
5.4628	10.093
5.4570	10.102
5.4513	10.116
5.4455	10.125
5.4398	10.127
5.4341	10.136
5.4284	10.141
5.4228	10.144
5.4171	10.156
5.4114	10.165
5.4058	10.165
5.4002	10.167
5.3945	10.180
5.3889	10.176
5.3833	10.165
5.3778	10.178
5.3722	10.181
5.3666	10.177
5.3611	10.179
5.3555	10.178
5.3500	10.175
5.3445	10.182
5.3390	10.196
5.3335	10.205
5.3280	10.203
5.3225	10.211
5.3171	10.226
5.3116	10.230
5.3062	10.234
5.3008	10.245
5.2954	10.247
5.2900	10.248
5.2846	10.263
5.2792	10.274
5.2738	10.277
5.2684	10.292
5.2631	10.298
5.2578	10.307
5.2524	10.330
5.2471	10.344
5.2418	10.349
5.2365	10.349
5.2312	10.360
5.2260	10.367
5.2207	10.362
5.2154	10.364
5.2102	10.371
5.2050	10.375
5.1998	10.378
5.1945	10.384
