Name:  Diopside CaMgSi2O6
Type:  Mineral
Class:   Silicates 
Subclass:   Inosilicates (Chain Silicates) (Pyroxene Group)
Particle Size:  Fine (less than 2   Micrometers)
Sample No.:  diopside.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from DeKalb, New York via the Smithsonian (sample 
no. NMNH R18685). 
Description:  Most of the 13 mm x 10 mm x 6 mm sample was clean, 
fresh and green.  One area was eroded and weathered and probably 
impure.  The crushed sample was hand-picked to avoid impurities.  
A moderate amount of weathering and alteration can be seen under 
the microscope.  The alteration is brown in color (limonite?).

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: diopsi2a.txt

6.0704	98.195
6.0633	98.238
6.0563	98.149
6.0492	97.945
6.0421	98.028
6.0351	98.210
6.0281	98.285
6.0211	98.218
6.0141	98.057
6.0071	97.966
6.0002	97.927
5.9932	97.875
5.9863	97.868
5.9794	97.914
5.9725	97.996
5.9657	98.091
5.9588	98.193
5.9520	98.312
5.9451	98.437
5.9383	98.443
5.9315	98.560
5.9247	98.801
5.9180	98.917
5.9112	98.966
5.9045	98.979
5.8978	98.932
5.8911	98.981
5.8844	99.044
5.8777	99.066
5.8711	99.217
5.8644	99.264
5.8578	99.318
5.8512	99.341
5.8446	99.326
5.8380	99.273
5.8314	99.248
5.8249	99.142
5.8184	99.108
5.8118	99.195
5.8053	99.249
5.7988	99.262
5.7923	99.285
5.7859	99.283
5.7794	99.270
5.7730	99.240
5.7666	99.175
5.7602	99.256
5.7538	99.343
5.7474	99.365
5.7410	99.426
5.7347	99.452
5.7283	99.467
5.7220	99.491
5.7157	99.479
5.7094	99.480
5.7031	99.540
5.6969	99.586
5.6906	99.595
5.6844	99.646
5.6782	99.670
5.6719	99.712
5.6657	99.750
5.6596	99.725
5.6534	99.744
5.6472	99.716
5.6411	99.680
5.6349	99.694
5.6288	99.755
5.6227	99.771
5.6166	99.775
5.6106	99.770
5.6045	99.782
5.5984	99.758
5.5924	99.748
5.5864	99.738
5.5804	99.724
5.5744	99.728
5.5684	99.758
5.5624	99.784
5.5564	99.772
5.5505	99.763
5.5445	99.785
5.5386	99.812
5.5327	99.798
5.5268	99.793
5.5209	99.767
5.5151	99.777
5.5092	99.768
5.5033	99.778
5.4975	99.749
5.4917	99.776
5.4859	99.773
5.4801	99.730
5.4743	99.727
5.4685	99.745
5.4628	99.762
5.4570	99.763
5.4513	99.784
5.4455	99.777
5.4398	99.766
5.4341	99.743
5.4284	99.725
5.4228	99.663
5.4171	99.658
5.4114	99.659
5.4058	99.667
5.4002	99.655
5.3945	99.644
5.3889	99.619
5.3833	99.585
5.3778	99.595
5.3722	99.604
5.3666	99.621
5.3611	99.602
5.3555	99.604
5.3500	99.581
5.3445	99.626
5.3390	99.614
5.3335	99.643
5.3280	99.650
5.3225	99.636
5.3171	99.643
5.3116	99.644
5.3062	99.661
5.3008	99.647
5.2954	99.627
5.2900	99.602
5.2846	99.612
5.2792	99.616
5.2738	99.597
5.2684	99.599
5.2631	99.634
5.2578	99.635
5.2524	99.629
5.2471	99.608
5.2418	99.633
5.2365	99.633
5.2312	99.656
5.2260	99.650
5.2207	99.645
5.2154	99.625
5.2102	99.626
5.2050	99.638
5.1998	99.632
5.1945	99.659
5.1893	99.656
5.1842	99.652
5.1790	99.630
5.1738	99.649
5.1686	99.623
5.1635	99.642
5.1584	99.621
5.1532	99.610
5.1481	99.573
5.1430	99.550
5.1379	99.561
5.1328	99.567
5.1277	99.555
5.1227	99.520
5.1176	99.502
5.1126	99.474
5.1075	99.446
5.1025	99.412
5.0975	99.374
5.0925	99.343
5.0875	99.342
5.0825	99.329
5.0775	99.322
5.0726	99.272
5.0676	99.266
5.0627	99.261
5.0577	99.278
5.0528	99.299
5.0479	99.328
5.0430	99.338
5.0380	99.348
5.0332	99.390
5.0283	99.399
5.0234	99.421
5.0185	99.446
5.0137	99.462
5.0088	99.459
5.0040	99.496
4.9992	99.512
4.9944	99.511
4.9896	99.505
4.9848	99.533
4.9800	99.535
4.9752	99.547
4.9704	99.551
4.9657	99.553
4.9609	99.538
4.9562	99.513
4.9514	99.527
4.9467	99.517
4.9420	99.493
4.9373	99.505
4.9326	99.551
4.9279	99.528
4.9232	99.544
4.9186	99.569
4.9139	99.574
4.9092	99.566
4.9046	99.607
4.9000	99.581
4.8953	99.571
4.8907	99.573
4.8861	99.571
4.8815	99.577
4.8769	99.584
4.8723	99.604
4.8678	99.590
4.8632	99.608
4.8586	99.582
4.8541	99.562
4.8495	99.563
4.8450	99.605
4.8405	99.617
4.8360	99.635
4.8315	99.630
4.8270	99.640
4.8225	99.651
4.8180	99.636
4.8135	99.635
4.8090	99.627
4.8046	99.620
4.8001	99.625
4.7957	99.694
4.7913	99.701
4.7868	99.718
4.7824	99.716
4.7780	99.691
4.7736	99.656
4.7692	99.639
4.7648	99.619
4.7605	99.651
4.7561	99.664
4.7517	99.668
4.7474	99.675
4.7431	99.688
4.7387	99.691
4.7344	99.665
4.7301	99.635
4.7258	99.621
4.7215	99.668
4.7172	99.661
4.7129	99.693
4.7086	99.701
4.7043	99.700
4.7000	99.688
4.6958	99.708
4.6915	99.677
4.6873	99.644
4.6831	99.632
4.6788	99.651
4.6746	99.658
4.6704	99.667
4.6662	99.651
4.6620	99.623
4.6578	99.611
4.6536	99.620
4.6495	99.640
4.6453	99.615
4.6411	99.645
4.6370	99.630
4.6328	99.608
4.6287	99.602
4.6246	99.605
4.6205	99.589
4.6163	99.597
4.6122	99.578
4.6081	99.555
4.6040	99.581
4.6000	99.651
4.5959	99.656
4.5918	99.636
4.5877	99.625
4.5837	99.584
4.5796	99.551
4.5756	99.571
4.5716	99.591
4.5675	99.548
4.5635	99.573
4.5595	99.589
4.5555	99.568
4.5515	99.550
4.5475	99.561
4.5435	99.561
4.5395	99.542
4.5356	99.547
4.5316	99.527
4.5276	99.523
4.5237	99.535
4.5197	99.573
4.5158	99.514
4.5119	99.479
4.5080	99.463
4.5040	99.477
4.5001	99.453
4.4962	99.468
4.4923	99.466
4.4884	99.514
4.4846	99.530
4.4807	99.471
4.4768	99.427
4.4730	99.428
4.4691	99.399
4.4652	99.366
4.4614	99.353
4.4576	99.367
4.4537	99.354
4.4499	99.363
4.4461	99.341
4.4423	99.335
4.4385	99.314
4.4347	99.295
4.4309	99.332
4.4271	99.356
4.4233	99.346
4.4196	99.322
4.4158	99.311
4.4120	99.291
4.4083	99.304
4.4045	99.271
4.4008	99.292
4.3971	99.307
4.3934	99.296
4.3896	99.272
4.3859	99.255
4.3822	99.254
4.3785	99.276
4.3748	99.325
4.3711	99.317
4.3674	99.291
4.3638	99.273
4.3601	99.252
4.3564	99.215
4.3528	99.182
4.3491	99.165
4.3455	99.158
4.3418	99.162
4.3382	99.189
4.3346	99.199
4.3310	99.188
4.3273	99.168
4.3237	99.159
4.3201	99.180
4.3165	99.184
4.3129	99.123
4.3094	99.121
4.3058	99.147
4.3022	99.157
4.2986	99.157
4.2951	99.158
4.2915	99.103
4.2880	99.091
4.2844	99.108
4.2809	99.113
4.2774	99.108
4.2738	99.123
4.2703	99.117
4.2668	99.074
4.2633	99.047
4.2598	99.086
4.2563	99.092
4.2528	99.059
4.2493	99.071
4.2458	99.091
4.2424	99.107
4.2389	99.067
4.2354	99.035
4.2320	99.038
4.2285	99.017
4.2251	99.047
4.2216	99.057
4.2182	99.011
4.2148	98.980
4.2113	98.974
4.2079	98.952
4.2045	98.977
4.2011	98.995
4.1977	99.025
4.1943	99.005
4.1909	99.004
4.1875	98.993
4.1841	98.963
4.1808	98.909
4.1774	98.877
4.1740	98.862
4.1707	98.903
4.1673	98.914
4.1640	98.910
4.1606	98.893
4.1573	98.893
4.1540	98.870
4.1506	98.785
4.1473	98.784
4.1440	98.825
4.1407	98.823
4.1374	98.797
4.1341	98.830
4.1308	98.809
4.1275	98.795
4.1242	98.768
4.1209	98.727
4.1177	98.756
4.1144	98.801
4.1111	98.803
4.1079	98.749
4.1046	98.782
4.1014	98.801
4.0981	98.826
4.0949	98.801
4.0917	98.789
4.0884	98.783
4.0852	98.765
4.0820	98.724
4.0788	98.707
4.0756	98.702
4.0724	98.697
4.0692	98.686
4.0660	98.709
4.0628	98.727
4.0596	98.686
4.0565	98.675
4.0533	98.651
4.0501	98.640
4.0470	98.652
4.0438	98.711
4.0406	98.663
4.0375	98.635
4.0344	98.681
4.0312	98.684
4.0281	98.626
4.0250	98.600
4.0218	98.598
4.0187	98.619
4.0156	98.614
4.0125	98.606
4.0094	98.615
4.0063	98.618
4.0032	98.619
4.0001	98.590
3.9970	98.558
3.9940	98.568
3.9909	98.512
3.9878	98.493
3.9847	98.526
3.9817	98.487
3.9786	98.513
3.9756	98.483
3.9725	98.467
3.9695	98.434
3.9665	98.436
3.9634	98.408
3.9604	98.415
3.9574	98.436
3.9544	98.465
3.9513	98.444
3.9483	98.406
3.9453	98.437
3.9423	98.461
3.9393	98.442
3.9363	98.464
3.9333	98.506
3.9304	98.467
3.9274	98.440
3.9244	98.407
3.9214	98.420
3.9185	98.396
3.9155	98.335
3.9126	98.312
3.9096	98.317
3.9067	98.316
3.9037	98.306
3.9008	98.313
3.8979	98.285
3.8949	98.266
3.8920	98.230
3.8891	98.216
3.8862	98.250
3.8833	98.274
3.8804	98.254
3.8775	98.230
3.8746	98.199
3.8717	98.200
3.8688	98.169
3.8659	98.133
3.8630	98.137
3.8601	98.132
3.8573	98.168
3.8544	98.189
3.8515	98.166
3.8487	98.159
3.8458	98.123
3.8430	98.076
3.8401	98.066
3.8373	98.077
3.8344	98.076
3.8316	98.077
3.8288	98.104
3.8259	98.085
3.8231	98.043
3.8203	98.030
3.8175	98.024
3.8147	97.993
3.8119	97.996
3.8091	97.973
