Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt

10.1849796	3.2222
10.16500858	3.1870
10.14511574	3.1782
10.12530059	3.1580
10.10556271	3.1240
10.08590162	3.0945
10.0663169	3.0730
10.04680808	3.0344
10.02737473	2.9939
10.00801642	2.9736
9.98873271	2.9570
9.969523168	2.9343
9.950387369	2.9050
9.931324888	2.8884
9.912335307	2.9004
9.893427994	2.9055
9.874582922	2.9097
9.855809507	2.9434
9.83710734	2.9863
9.818476015	3.0237
9.799915133	3.0535
9.781424293	3.0754
9.7630031	3.0906
9.744651161	3.0911
9.726368087	3.0879
9.70815349	3.0911
9.690006986	3.0903
9.671928196	3.0679
9.653916739	3.0308
9.635972241	2.9888
9.618094328	2.9519
9.600282632	2.9060
9.582536785	2.8667
9.564856422	2.8181
9.547241181	2.7522
9.529690704	2.6960
9.512204634	2.6489
9.494782617	2.5923
9.477424301	2.5486
9.460138288	2.4976
9.4429063	2.4587
9.425736975	2.4231
9.408629972	2.3855
9.391584952	2.3672
9.374601579	2.3545
9.35767952	2.3393
9.340818443	2.3188
9.324018018	2.3096
9.307277919	2.3215
9.290597822	2.3325
9.273977405	2.3386
9.257416348	2.3445
9.240914333	2.3479
9.224471046	2.3530
9.208086173	2.3601
9.191759404	2.3640
9.17549043	2.3806
9.159278945	2.4045
9.143124645	2.4204
9.127027227	2.4448
9.110986392	2.4763
9.095001842	2.4924
9.079073281	2.4932
9.06320863	2.5098
9.04739114	2.5391
9.031628764	2.5369
9.015921215	2.5347
9.000268208	2.5459
8.984669459	2.5542
