Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

4.523693523	15.4077
4.519749497	15.468
4.515814382	15.5351
4.511884077	15.5969
4.507960608	15.6572
4.504043956	15.7216
4.500134104	15.7822
4.496231034	15.8374
4.492334729	15.9079
4.488445171	15.9802
4.484562343	16.0324
4.480686226	16.0859
4.476816804	16.1457
4.47295406	16.1945
4.469097975	16.2363
4.465248534	16.2802
4.461405718	16.3222
4.45756951	16.3537
4.453739894	16.3818
4.449916853	16.4082
4.44610037	16.4292
4.442290427	16.4465
4.438487009	16.4711
4.434690097	16.4814
4.430899676	16.4895
4.42711573	16.5151
4.423340197	16.5412
4.419569145	16.5564
4.415804518	16.5771
4.412046298	16.6084
4.408294471	16.6311
4.404549018	16.6503
4.400809925	16.6789
4.397077175	16.697
4.393350752	16.7304
4.389630639	16.7705
4.385916821	16.7993
4.382209282	16.8147
4.378508006	16.8469
4.374812977	16.8894
4.371124179	16.9187
4.367441596	16.9433
4.363765214	16.9682
4.360095015	16.9843
4.356430985	17.0068
4.352773108	17.0339
4.349121369	17.0612
4.345475751	17.0881
4.341836241	17.1301
4.338202821	17.1682
4.334577357	17.195
4.330956072	17.2292
4.327340832	17.2651
4.323731623	17.3002
4.320128429	17.3439
4.316531235	17.3803
4.312940028	17.4123
4.30935479	17.4436
4.305775509	17.4853
4.302202168	17.5234
4.298634754	17.5571
4.29507325	17.5959
4.291517644	17.6333
4.287967919	17.6535
4.284424062	17.6806
4.280886058	17.7189
4.277353892	17.7522
4.27382755	17.7692
4.270307018	17.7868
4.266792281	17.8254
4.263283325	17.8564
4.259780136	17.8708
4.256282699	17.8908
4.252791	17.9135
4.249306832	17.9372
4.245826565	17.968
4.242351994	17.9909
4.238883105	18.0068
4.235419885	18.0344
4.231962319	18.0666
4.228510393	18.09
4.225064094	18.1135
4.221623408	18.145
4.218188322	18.1679
4.214758821	18.1831
4.211334892	18.2065
4.207916522	18.2263
4.204503696	18.2434
4.201096402	18.2673
4.197694626	18.2863
4.194300114	18.2893
4.190909331	18.301
4.187524026	18.3103
4.184144186	18.3132
4.180769797	18.3313
4.177400846	18.3566
4.174037321	18.3708
4.170679208	18.3737
4.167326493	18.3776
4.163979165	18.3859
4.16063721	18.3891
4.157300615	18.3969
4.153969367	18.4135
4.150643454	18.4167
4.147322862	18.4106
4.144007579	18.4218
4.140697592	18.4228
4.137392888	18.4233
4.134093455	18.4335
4.130799281	18.4409
4.127510352	18.4394
4.124226656	18.4453
4.120948181	18.4582
4.117674914	18.4602
4.114408535	18.4602
4.111145645	18.4704
4.107887925	18.4819
4.104635365	18.4792
4.101387951	18.479
4.098145671	18.4853
4.094908514	18.4902
4.091676466	18.4917
4.088449517	18.4965
4.085227653	18.5009
4.082010864	18.5004
4.078799136	18.5053
4.075592459	18.5026
4.072390819	18.5043
4.069194206	18.5092
4.066002607	18.5256
4.062816011	18.5332
4.059634406	18.5317
4.056457779	18.5283
4.053286121	18.5234
4.050119418	18.5224
4.046957659	18.5324
4.043800833	18.5422
4.040648928	18.5434
4.037503563	18.5432
4.034361463	18.5429
4.031224251	18.5397
4.028091913	18.5429
4.024964439	18.5466
4.021841819	18.538
4.018724039	18.5246
4.01561109	18.5246
4.012502959	18.5344
4.009399637	18.5336
4.00630111	18.5271
4.00320737	18.5361
4.000118404	18.528
3.997034201	18.5146
3.99395475	18.5202
3.990880041	18.5263
3.987810062	18.5185
3.984744803	18.5161
3.981684252	18.5202
3.9786284	18.5258
3.975577234	18.5249
3.972530744	18.52
3.96948892	18.5192
3.966451751	18.5312
3.963420797	18.538
3.960392903	18.5473
3.957369631	18.552
3.954350972	18.551
3.951336915	18.5556
3.948327449	18.5661
3.945322564	18.5725
3.942322249	18.5715
3.939326493	18.571
3.936335288	18.5751
3.933348621	18.5905
3.930366483	18.6022
3.927388864	18.5983
3.924415753	18.6037
3.921447139	18.6208
3.918483014	18.6325
3.915523366	18.6413
3.912568186	18.6428
3.909617463	18.6418
3.906671188	18.6381
3.90372935	18.645
3.900791939	18.6481
3.897858945	18.6477
3.894930359	18.6499
3.892007684	18.6699
3.889087881	18.6726
3.886172454	18.6633
3.883261396	18.6621
3.880354695	18.6616
3.877452343	18.6494
3.874554329	18.6462
3.871660644	18.6508
3.868771278	18.645
3.865886222	18.6394
3.863005465	18.6481
3.860128998	18.6501
3.857256812	18.6506
3.854388896	18.6428
3.851525243	18.6508
3.848665841	18.6481
3.845812161	18.6435
3.842961232	18.6396
3.840114528	18.6367
