Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color Ñ a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

7.807461747	1.2312
7.795720929	1.0779
7.784015369	0.9319
7.772344909	0.792
7.760709391	0.6775
7.749108659	0.5803
7.737542556	0.5
7.726010929	0.4382
7.714513623	0.3896
7.703050485	0.3542
7.691621363	0.3364
7.680226106	0.3281
7.668864563	0.3269
7.657536586	0.3274
7.646242025	0.3413
7.634980733	0.353
7.623752563	0.3633
7.61255737	0.3809
7.601395008	0.4011
7.590265333	0.4175
7.579173946	0.4409
7.568109199	0.4617
7.557076711	0.4836
7.546076342	0.5088
7.535107952	0.5259
7.524171401	0.5469
7.51326655	0.571
7.502393263	0.582
7.491551403	0.5928
7.480740833	0.6121
7.469961418	0.6277
7.459213023	0.6377
7.448495516	0.6504
7.437808762	0.6653
7.42715263	0.6728
7.416526989	0.6831
7.405931707	0.6973
7.395366655	0.7097
7.384831703	0.7205
7.374326724	0.7266
7.363851589	0.7422
7.353406171	0.7559
7.342990345	0.7659
7.332603984	0.7832
7.322252325	0.7996
7.311924506	0.8137
7.30162578	0.8259
7.291356025	0.8337
7.281115117	0.844
7.270902937	0.8574
7.260719363	0.8696
7.250564275	0.8772
7.240437554	0.8838
7.230339081	0.8933
7.220268738	0.907
7.210226408	0.9153
7.200211974	0.9243
7.19022532	0.9375
7.18026633	0.957
7.17033489	0.9734
7.160436013	0.9949
7.150559317	1.0144
7.140709829	1.0332
7.130887439	1.054
7.121092034	1.0749
7.111323503	1.0898
7.101581735	1.1025
7.091866622	1.1167
7.082178053	1.1331
7.07251592	1.1382
7.062880115	1.1421
7.053270531	1.1523
7.04368706	1.1606
7.034129597	1.1707
7.024598035	1.1841
7.01509227	1.1914
7.005612196	1.1885
6.99615771	1.1843
6.986728709	1.1855
6.977325089	1.1919
6.967946748	1.1968
6.958593585	1.1995
6.949265497	1.2092
6.939962385	1.2251
6.930688952	1.2393
6.921435478	1.2493
6.912206681	1.2593
6.903002461	1.2722
6.893822721	1.2842
6.884667364	1.2949
6.875536292	1.3054
6.866429409	1.3096
6.857346618	1.3142
6.848287825	1.3213
6.839252935	1.3293
6.830241852	1.3347
6.821254483	1.3415
6.812290735	1.3413
6.803350514	1.332
6.794433728	1.3289
6.785540285	1.333
6.776670093	1.3345
6.767823062	1.3301
6.7589991	1.3306
6.750198118	1.3357
6.741420026	1.3406
6.732664735	1.3384
6.723932156	1.3496
6.715226709	1.3594
6.706539278	1.3599
6.697874296	1.363
6.689231675	1.3647
6.680611329	1.373
6.672013173	1.3784
6.663437121	1.3735
6.654883087	1.366
6.646350987	1.3569
6.637840737	1.355
6.629352253	1.3635
6.620885451	1.3723
6.612440248	1.3767
6.604016563	1.3833
6.595614312	1.397
6.587233415	1.4048
6.578873789	1.4177
6.570535354	1.4236
6.56221803	1.4321
6.553921736	1.4465
6.545646392	1.4546
6.537391921	1.4565
6.529158241	1.4595
6.520945276	1.4663
6.512757189	1.4763
6.504585407	1.4829
6.496434107	1.4868
6.488303211	1.4944
6.480192643	1.5088
6.472102327	1.5312
6.464032186	1.5437
6.455982145	1.553
6.44795213	1.5706
6.439942066	1.5884
6.431951879	1.5979
6.423981494	1.5967
6.416030838	1.5915
6.408099838	1.5974
6.400188422	1.5964
6.392296516	1.5854
6.384424048	1.5828
6.376570948	1.5771
6.368737143	1.5657
6.360922563	1.5571
6.353127136	1.5476
6.345350793	1.5383
6.337593464	1.531
6.329855078	1.5195
6.322139564	1.5066
6.314438848	1.4995
6.30675687	1.4985
6.29909356	1.4897
6.291448851	1.4795
6.283822676	1.48
6.276214965	1.48
6.268625654	1.4724
6.261054675	1.469
6.253501961	1.4604
6.245967447	1.4468
6.238451067	1.4434
6.230952756	1.4448
6.223472449	1.4387
6.21601008	1.4382
6.208565585	1.4416
6.201142747	1.4348
6.1937338	1.4311
6.186342535	1.436
6.178968891	1.4451
6.171612803	1.4561
6.164274209	1.4722
6.156953047	1.4861
6.149649255	1.5002
6.14236277	1.5222
6.135093533	1.5383
6.12784148	1.5527
6.120606552	1.5681
6.113388688	1.5798
6.106187828	1.5923
6.099003911	1.603
6.091836878	1.6125
6.084686669	1.6186
6.077553226	1.6135
6.070436489	1.6184
6.063336399	1.6269
6.056252899	1.6208
6.049185931	1.6143
6.042135436	1.6248
6.035101357	1.6321
6.02808727	1.6299
6.021085843	1.6362
6.01410066	1.644
6.007131667	1.6445
6.000178805	1.6455
5.99324202	1.6421
5.986321256	1.6494
5.979416457	1.6619
5.972527568	1.6665
5.965654534	1.6658
5.9587973	1.6533
5.951955813	1.6389
5.945130017	1.6333
5.938319859	1.6284
5.931525286	1.6262
5.924746243	1.6184
5.917982678	1.6125
5.911234538	1.6094
5.904501769	1.6011
5.89778432	1.5955
5.891082139	1.5952
5.884395172	1.5955
5.87772337	1.5989
5.871066679	1.6055
5.864428488	1.6106
5.85780186	1.6189
5.851190191	1.6186
5.84459343	1.6094
5.838011527	1.6082
5.831444431	1.6072
5.824892094	1.5994
5.818354465	1.5959
5.811831494	1.5928
5.805323133	1.5859
5.798829332	1.5749
5.792350043	1.5637
5.785885217	1.5557
5.779434806	1.551
5.772998761	1.5478
5.766577035	1.5403
5.760169579	1.5366
5.753776347	1.533
5.747397291	1.522
5.741032364	1.5161
5.734681519	1.5149
5.728344709	1.5037
5.722021888	1.491
5.715713009	1.4968
5.709421287	1.5056
5.703140149	1.5115
5.696872816	1.5176
5.690619242	1.5234
5.684379382	1.5183
5.678153192	1.5159
5.671940626	1.5288
5.66574164	1.5371
5.659556189	1.5457
5.653384229	1.5583
5.647225716	1.5593
5.641080605	1.5618
5.634948854	1.5769
5.628830419	1.5923
5.622725256	1.6084
5.616633323	1.613
5.610557723	1.6147
5.604492113	1.6155
5.598439603	1.6067
5.592400152	1.5959
5.586373717	1.5869
5.580360257	1.5767
5.574359729	1.5713
5.568372092	1.573
5.562397304	1.5771
5.556435324	1.5876
5.550486112	1.604
5.544549625	1.6269
5.538625823	1.6531
5.532714665	1.6799
5.526816112	1.7056
5.520930122	1.7327
5.515056656	1.76
5.509195674	1.7905
5.503347136	1.8162
5.497511002	1.8364
5.491687233	1.8535
5.48587579	1.8694
5.480076633	1.8826
5.474289725	1.8894
5.468518015	1.905
5.462755479	1.9202
5.457005076	1.9331
5.451266765	1.9534
5.445540511	1.978
5.439826274	2.0102
5.434124016	2.0393
5.428433701	2.0608
5.422755291	2.0915
5.417088748	2.125
5.411434035	2.1655
5.405791116	2.2202
5.400159953	2.2749
5.394540509	2.3267
5.388932749	2.3757
5.383336635	2.4131
5.377752132	2.4553
5.372179203	2.5017
5.366617813	2.53
5.361067925	2.5505
5.355529504	2.5688
5.350002515	2.5867
5.344486921	2.594
5.338982689	2.595
5.333492627	2.5864
5.328011006	2.5759
5.32254064	2.5674
5.317081497	2.5544
5.31163354	2.5373
5.306196736	2.5203
5.30077105	2.5054
5.295356449	2.4917
5.289952898	2.4875
5.284560364	2.4885
5.279178813	2.4785
5.273808212	2.4661
5.268448526	2.459
5.263099724	2.4543
5.257761771	2.4387
5.252434635	2.417
5.247118283	2.4009
5.241812682	2.3923
5.236517799	2.3887
5.231233603	2.3884
5.225960061	2.3975
5.220697141	2.417
5.21544481	2.4331
5.210203036	2.4463
5.204974498	2.4668
5.19975374	2.4753
5.194543444	2.4783
5.189343579	2.4978
5.184154115	2.5215
5.178975019	2.5452
5.173806261	2.573
5.168647809	2.6028
5.163499634	2.6309
5.158361704	2.6567
5.153233989	2.6797
5.148116459	2.7078
5.143009082	2.7395
5.137911829	2.7617
5.13282467	2.7842
5.127747575	2.8125
5.122680514	2.8391
5.117623458	2.8672
5.112576376	2.9058
5.107539239	2.9431
5.102512018	2.9792
5.097494683	3.0264
5.092487206	3.0801
5.087489558	3.1387
5.082504292	3.1912
5.077526209	3.2373
5.072557868	3.2805
5.06759924	3.3135
5.062650297	3.3381
5.057711011	3.3535
5.052781354	3.3704
5.047861297	3.3889
5.042950812	3.4065
5.038049872	3.4199
5.033158448	3.4326
5.028276513	3.4553
5.023404039	3.4729
5.018541	3.48
5.013687367	3.4905
5.008843113	3.4975
5.004010715	3.4939
4.999185133	3.4941
4.994368849	3.5122
4.989561837	3.5513
4.984764069	3.602
4.979975518	3.6711
4.97519616	3.7656
4.970425966	3.8682
4.96566491	3.9736
4.960912967	4.0842
4.95617011	4.185
4.951436313	4.2659
4.94671155	4.3298
4.941995795	4.3628
4.937289023	4.3642
4.932591209	4.3454
4.927902325	4.2878
4.923222347	4.1929
4.918551251	4.0969
4.913889009	4.0105
4.909235598	3.9372
4.904590991	3.897
4.899955165	3.8872
4.895328095	3.8967
4.890712146	3.9294
4.886102507	3.9748
4.88150155	4.0161
4.876909249	4.0613
4.87232558	4.1094
4.86775052	4.1514
4.863184043	4.1943
4.858626126	4.2517
4.854076745	4.3257
4.849535875	4.3979
4.845003493	4.468
4.840479575	4.5371
4.835964098	4.5857
4.831457037	4.6172
4.826958369	4.6233
4.822468072	4.6057
4.81798612	4.5742
4.813512492	4.5303
4.809047164	4.4758
4.804590113	4.4119
4.800141316	4.332
4.79570075	4.2458
4.791268392	4.1702
4.78684422	4.1042
4.782430498	4.0615
4.778022625	4.0466
4.773622869	4.0515
4.769231209	4.084
4.764847623	4.1357
4.760472086	4.198
4.756104579	4.2637
4.751745078	4.323
4.747393562	4.3674
4.743050009	4.4219
4.738714396	4.4773
4.734386703	4.522
4.730066907	4.5713
4.725754987	4.6255
4.721450921	4.6767
4.717154688	4.7256
4.712866266	4.7705
4.708585635	4.8164
4.704312773	4.8599
4.700047658	4.8923
4.695790271	4.928
4.691540589	4.9651
4.687298593	4.9975
4.68306426	5.0273
4.67883976	5.0586
4.67462069	5.0869
4.670409221	5.1077
4.666205334	5.1279
4.662009009	5.1423
4.657820224	5.1518
4.65363896	5.1638
4.649465195	5.1943
4.645298911	5.2334
4.641140087	5.2886
4.636988702	5.3559
4.632844738	5.4255
4.628708174	5.4997
4.62457899	5.5871
4.620457167	5.6782
4.616342684	5.7527
4.612235523	5.8159
4.608135664	5.8777
4.604043086	5.9419
4.599957772	5.999
4.595879702	6.0486
4.591808856	6.0976
4.587745215	6.1416
4.58368876	6.1755
4.57964157	6.2163
4.575599426	6.2558
4.571564412	6.3052
4.567536508	6.3591
4.563515696	6.4021
4.559501956	6.4482
4.555495271	6.4936
4.551495621	6.5349
4.547502989	6.5803
4.543517355	6.6316
4.539538701	6.677
4.535567009	6.7107
4.531602261	6.7663
4.527644439	6.8254
4.523693523	6.8745
4.519749497	6.9346
4.515814382	7.0036
4.511884077	7.0747
4.507960608	7.1494
4.504043956	7.2253
4.500134104	7.2934
4.496231034	7.363
4.492334729	7.4385
4.488445171	7.5112
4.484562343	7.5727
4.480686226	7.6394
4.476816804	7.7119
4.47295406	7.7739
4.469097975	7.8196
4.465248534	7.8684
4.461405718	7.914
4.45756951	7.9524
4.453739894	7.9912
4.449916853	8.0261
4.44610037	8.0478
4.442290427	8.0657
4.438487009	8.0903
4.434690097	8.1033
4.430899676	8.1123
4.42711573	8.1318
4.423340197	8.1604
4.419569145	8.1819
4.415804518	8.2068
4.412046298	8.2358
4.408294471	8.2566
4.404549018	8.2805
4.400809925	8.3249
4.397077175	8.3655
4.393350752	8.3989
4.389630639	8.4338
4.385916821	8.4746
4.382209282	8.5124
4.378508006	8.5464
4.374812977	8.5898
4.371124179	8.6277
4.367441596	8.6521
4.363765214	8.6867
4.360095015	8.7229
4.356430985	8.7505
4.352773108	8.7776
4.349121369	8.8095
4.345475751	8.8489
4.341836241	8.896
4.338202821	8.9443
4.334577357	8.9829
4.330956072	9.0317
4.327340832	9.083
4.323731623	9.1301
4.320128429	9.1843
4.316531235	9.2422
4.312940028	9.3008
4.30935479	9.3506
4.305775509	9.3955
4.302202168	9.4485
4.298634754	9.5036
4.29507325	9.5456
4.291517644	9.5881
4.287967919	9.6316
4.284424062	9.6721
4.280886058	9.7204
4.277353892	9.7619
4.27382755	9.7961
4.270307018	9.8325
4.266792281	9.8669
4.263283325	9.9009
4.259780136	9.9321
4.256282699	9.9729
4.252791	10.0044
4.249306832	10.0354
4.245826565	10.072
4.242351994	10.1108
4.238883105	10.1374
4.235419885	10.1726
4.231962319	10.2148
4.228510393	10.2468
4.225064094	10.2773
4.221623408	10.3254
4.218188322	10.3615
4.214758821	10.3862
4.211334892	10.4231
4.207916522	10.4582
4.204503696	10.49
4.201096402	10.5139
4.197694626	10.5356
4.194300114	10.5598
4.190909331	10.5764
4.187524026	10.593
4.184144186	10.612
4.180769797	10.6274
4.177400846	10.6452
4.174037321	10.6635
4.170679208	10.6789
4.167326493	10.6894
4.163979165	10.6987
4.16063721	10.709
4.157300615	10.718
4.153969367	10.7287
4.150643454	10.7361
4.147322862	10.74
4.144007579	10.7483
4.140697592	10.7563
4.137392888	10.771
4.134093455	10.781
4.130799281	10.7856
4.127510352	10.7934
4.124226656	10.8047
4.120948181	10.811
4.117674914	10.8159
4.114408535	10.8174
4.111145645	10.8276
4.107887925	10.8379
4.104635365	10.8423
4.101387951	10.8449
4.098145671	10.8484
4.094908514	10.8571
4.091676466	10.8672
4.088449517	10.8691
4.085227653	10.8708
4.082010864	10.8706
4.078799136	10.883
4.075592459	10.8923
4.072390819	10.8877
4.069194206	10.8884
4.066002607	10.8994
4.062816011	10.9065
4.059634406	10.9084
4.056457779	10.9092
4.053286121	10.9067
4.050119418	10.905
4.046957659	10.915
4.043800833	10.9248
4.040648928	10.9206
4.037503563	10.9087
4.034361463	10.9148
4.031224251	10.9262
4.028091913	10.925
4.024964439	10.9216
4.021841819	10.9238
4.018724039	10.917
4.01561109	10.9196
