Name:  Natrolite Na2Al2Si3O10.2H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (ZeoliteGroup)
Particle Size:  Solid
Sample No.: natrol.1
Owner:  JHU
Wavelength Range:  IR
Origin: Poonah, India via Hunt and Salisbury Collection #169B

Description: The sample appeared to be pure natrolite, although most 
grains were permeated with what appeared to be fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  natrol1a.txt

7.04368706	6.039
7.034129597	6.0698
7.024598035	6.0959
7.01509227	6.1199
7.005612196	6.1448
6.99615771	6.167
6.986728709	6.1889
6.977325089	6.2087
6.967946748	6.2229
6.958593585	6.2402
6.949265497	6.2685
6.939962385	6.2883
6.930688952	6.3008
6.921435478	6.3125
6.912206681	6.3288
6.903002461	6.3508
6.893822721	6.3757
6.884667364	6.3974
6.875536292	6.4143
6.866429409	6.4231
6.857346618	6.4455
6.848287825	6.477
6.839252935	6.5
6.830241852	6.5139
6.821254483	6.531
6.812290735	6.5503
6.803350514	6.5637
6.794433728	6.5718
6.785540285	6.5879
6.776670093	6.6094
6.767823062	6.6282
6.7589991	6.6467
6.750198118	6.6628
6.741420026	6.6794
6.732664735	6.6933
6.723932156	6.7051
6.715226709	6.7178
6.706539278	6.7351
6.697874296	6.7532
6.689231675	6.76
6.680611329	6.7695
6.672013173	6.789
6.663437121	6.8096
6.654883087	6.8232
6.646350987	6.8232
6.637840737	6.8252
6.629352253	6.8506
6.620885451	6.8779
6.612440248	6.897
6.604016563	6.9126
6.595614312	6.9238
6.587233415	6.9372
6.578873789	6.9448
6.570535354	6.9573
6.56221803	6.9829
6.553921736	7.0034
6.545646392	7.0232
6.537391921	7.042
6.529158241	7.0578
6.520945276	7.0722
6.512757189	7.095
6.504585407	7.1037
6.496434107	7.102
6.488303211	7.1191
6.480192643	7.1462
6.472102327	7.1699
6.464032186	7.1904
6.455982145	7.2055
6.44795213	7.2226
6.439942066	7.2366
6.431951879	7.2488
6.423981494	7.2549
6.416030838	7.2536
6.408099838	7.2803
6.400188422	7.3186
6.392296516	7.3398
6.384424048	7.3557
6.376570948	7.3679
6.368737143	7.3818
6.360922563	7.4053
6.353127136	7.4167
6.345350793	7.4214
6.337593464	7.4429
6.329855078	7.4665
6.322139564	7.4807
6.314438848	7.4946
6.30675687	7.5083
6.29909356	7.5246
6.291448851	7.5398
6.283822676	7.5552
6.276214965	7.5722
6.268625654	7.5901
6.261054675	7.6094
6.253501961	7.6279
6.245967447	7.6467
6.238451067	7.6672
6.230952756	7.6894
6.223472449	7.7114
6.21601008	7.7356
6.208565585	7.7617
6.201142747	7.791
6.1937338	7.812
6.186342535	7.8288
6.178968891	7.8628
6.171612803	7.8933
6.164274209	7.9026
