Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Solid (Fractured Surface)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt

8.075007126	5.1462
8.062448501	4.6724
8.049928879	4.2139
8.037448078	3.7761
8.025005918	3.354
8.012602221	2.9651
8.000236807	2.6169
7.9879095	2.3184
7.975620124	2.0828
7.963368505	1.9226
7.951154468	1.8291
7.938977841	1.7886
7.926838452	1.7954
7.914736131	1.8415
7.902670708	1.9106
7.890642014	1.9844
7.878649883	2.0767
7.866694148	2.1672
7.854780812	2.2395
7.842897355	2.3064
7.831049799	2.374
7.819237984	2.4443
7.807461747	2.5146
7.795720929	2.5864
7.784015369	2.6575
7.772344909	2.7288
7.760709391	2.7895
7.749108659	2.8423
7.737542556	2.8967
7.726010929	2.9578
7.714513623	3.0139
7.703050485	3.0547
7.691621363	3.0955
7.680226106	3.1457
7.668864563	3.1833
7.657536586	3.2146
7.646242025	3.2446
7.634980733	3.2739
7.623752563	3.3044
7.61255737	3.3332
7.601395008	3.3706
7.590265333	3.4155
7.579173946	3.4558
7.568109199	3.501
7.557076711	3.5369
7.546076342	3.5657
7.535107952	3.6055
7.524171401	3.6367
7.51326655	3.6548
7.502393263	3.6765
7.491551403	3.7053
7.480740833	3.7349
7.469961418	3.7639
7.459213023	3.7981
7.448495516	3.832
7.437808762	3.8508
7.42715263	3.876
7.416526989	3.9099
7.405931707	3.9355
7.395366655	3.9551
7.384831703	3.9729
7.374326724	3.9888
7.363851589	4.0129
7.353406171	4.0329
7.342990345	4.0439
7.332603984	4.0642
7.322252325	4.0869
7.311924506	4.1008
7.30162578	4.1106
7.291356025	4.1308
7.281115117	4.1584
7.270902937	4.1829
7.260719363	4.2124
7.250564275	4.2402
7.240437554	4.262
7.230339081	4.2925
7.220268738	4.3257
7.210226408	4.3349
7.200211974	4.3496
7.19022532	4.3787
7.18026633	4.3965
7.17033489	4.3982
7.160436013	4.4123
7.150559317	4.4292
7.140709829	4.4458
7.130887439	4.4631
7.121092034	4.4739
7.111323503	4.4924
7.101581735	4.5051
7.091866622	4.5173
7.082178053	4.532
7.07251592	4.5371
7.062880115	4.5415
7.053270531	4.543
7.04368706	4.542
7.034129597	4.5547
7.024598035	4.5652
7.01509227	4.5727
7.005612196	4.5876
6.99615771	4.6042
6.986728709	4.6201
6.977325089	4.6318
6.967946748	4.6413
6.958593585	4.6587
6.949265497	4.6875
6.939962385	4.7053
6.930688952	4.7219
6.921435478	4.7314
6.912206681	4.7392
6.903002461	4.7515
6.893822721	4.7712
6.884667364	4.7839
6.875536292	4.7912
6.866429409	4.7854
6.857346618	4.7993
6.848287825	4.8313
6.839252935	4.8547
6.830241852	4.8608
6.821254483	4.8686
6.812290735	4.886
6.803350514	4.8879
6.794433728	4.874
6.785540285	4.8799
6.776670093	4.9023
6.767823062	4.9158
6.7589991	4.9302
6.750198118	4.9502
6.741420026	4.9707
6.732664735	4.9841
6.723932156	4.9973
6.715226709	5.021
6.706539278	5.042
6.697874296	5.0586
6.689231675	5.0603
6.680611329	5.0637
6.672013173	5.0852
6.663437121	5.1042
6.654883087	5.1145
6.646350987	5.0986
6.637840737	5.0889
6.629352253	5.1196
6.620885451	5.1472
6.612440248	5.1538
6.604016563	5.1589
6.595614312	5.164
6.587233415	5.1726
6.578873789	5.1731
6.570535354	5.1745
6.56221803	5.1929
6.553921736	5.2021
6.545646392	5.2124
6.537391921	5.2287
6.529158241	5.2346
6.520945276	5.2351
6.512757189	5.2461
6.504585407	5.2368
6.496434107	5.2124
6.488303211	5.2202
6.480192643	5.2446
6.472102327	5.2644
6.464032186	5.2803
6.455982145	5.2883
6.44795213	5.2917
6.439942066	5.2873
6.431951879	5.2815
6.423981494	5.2693
6.416030838	5.2441
6.408099838	5.2612
6.400188422	5.2995
6.392296516	5.3127
6.384424048	5.3176
6.376570948	5.313
6.368737143	5.3179
6.360922563	5.3396
6.353127136	5.3293
6.345350793	5.3081
6.337593464	5.3335
6.329855078	5.3491
6.322139564	5.3479
6.314438848	5.3628
6.30675687	5.3677
6.29909356	5.3647
6.291448851	5.3696
6.283822676	5.3808
6.276214965	5.3945
6.268625654	5.3996
6.261054675	5.3982
6.253501961	5.396
6.245967447	5.3952
6.238451067	5.3974
6.230952756	5.4018
6.223472449	5.4038
6.21601008	5.4104
6.208565585	5.4202
6.201142747	5.4216
6.1937338	5.4145
6.186342535	5.4011
6.178968891	5.4172
6.171612803	5.4282
6.164274209	5.4302
6.156953047	5.436
6.149649255	5.4397
6.14236277	5.4433
6.135093533	5.4521
6.12784148	5.4585
6.120606552	5.4436
