Name:  Spessartine Mn3Al2 (SiO4)3
Type:  Mineral
Class:  Silicates 
Subclass:   Nesosilicates (Framework silicates); GarnetGroup
Particle Size:  Solid (dodecahedral crystal face)
Sample No.:  spessart.2
Owner:  JHU
Wavelength Range:  IR
Origin: Rutherford #2 mine, Amelia, Amelia Co., Virginia, USA via the 
Smithsonian (sample no. NMNH 114143)
Description: The sample consisted of a group of 3 mm and smaller 
diameter reddish crystals.  A few clear crystals adhering to the 
grains were picked off and microscopic examination showed the 
remaining sample to be quite pure.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  spessa2a.txt

4.523693523	16.4101
4.519749497	16.4043
4.515814382	16.4135
4.511884077	16.4179
4.507960608	16.4155
4.504043956	16.4106
4.500134104	16.416
4.496231034	16.4238
4.492334729	16.4182
4.488445171	16.416
4.484562343	16.4292
4.480686226	16.4345
4.476816804	16.435
4.47295406	16.4304
4.469097975	16.4389
4.465248534	16.4477
4.461405718	16.4575
4.45756951	16.4502
4.453739894	16.4462
4.449916853	16.4487
4.44610037	16.4477
4.442290427	16.445
4.438487009	16.455
4.434690097	16.4484
4.430899676	16.4467
4.42711573	16.4531
4.423340197	16.4585
4.419569145	16.458
4.415804518	16.4585
4.412046298	16.4599
4.408294471	16.4658
4.404549018	16.4677
4.400809925	16.4633
4.397077175	16.4545
4.393350752	16.4499
4.389630639	16.4594
4.385916821	16.4672
4.382209282	16.4609
4.378508006	16.4614
4.374812977	16.4577
4.371124179	16.4555
4.367441596	16.4526
4.363765214	16.445
4.360095015	16.4272
4.356430985	16.4116
4.352773108	16.4135
4.349121369	16.4111
4.345475751	16.3847
4.341836241	16.3759
4.338202821	16.3786
4.334577357	16.343
4.330956072	16.312
4.327340832	16.3027
4.323731623	16.2878
4.320128429	16.2783
4.316531235	16.2563
4.312940028	16.2295
4.30935479	16.1945
4.305775509	16.1779
4.302202168	16.1601
4.298634754	16.1494
4.29507325	16.1313
4.291517644	16.1045
4.287967919	16.104
4.284424062	16.1113
4.280886058	16.1064
4.277353892	16.0922
4.27382755	16.0507
4.270307018	16.0337
4.266792281	16.0634
4.263283325	16.1254
4.259780136	16.1828
4.256282699	16.1767
4.252791	16.0998
4.249306832	16.0376
4.245826565	16.0239
4.242351994	15.9961
4.238883105	15.9843
4.235419885	16.0068
4.231962319	16.0117
4.228510393	16.0395
4.225064094	16.0859
4.221623408	16.1552
4.218188322	16.1845
4.214758821	16.2319
4.211334892	16.2658
4.207916522	16.2863
4.204503696	16.3322
4.201096402	16.3925
4.197694626	16.4336
4.194300114	16.4711
4.190909331	16.4878
4.187524026	16.5063
4.184144186	16.5117
4.180769797	16.5063
4.177400846	16.5097
4.174037321	16.5144
4.170679208	16.5117
4.167326493	16.5149
4.163979165	16.5244
4.16063721	16.5312
4.157300615	16.5361
4.153969367	16.539
4.150643454	16.5341
4.147322862	16.5415
4.144007579	16.5429
4.140697592	16.5527
4.137392888	16.5571
4.134093455	16.5578
4.130799281	16.5639
4.127510352	16.5537
4.124226656	16.5527
4.120948181	16.5669
4.117674914	16.5586
4.114408535	16.5473
4.111145645	16.5561
4.107887925	16.5734
4.104635365	16.5727
4.101387951	16.5603
4.098145671	16.5634
4.094908514	16.5791
4.091676466	16.5847
4.088449517	16.5983
4.085227653	16.5878
4.082010864	16.5864
4.078799136	16.5893
4.075592459	16.5908
4.072390819	16.5937
4.069194206	16.6084
4.066002607	16.6137
4.062816011	16.6035
4.059634406	16.601
4.056457779	16.6147
4.053286121	16.6147
4.050119418	16.6157
4.046957659	16.6098
4.043800833	16.603
4.040648928	16.6054
4.037503563	16.614
4.034361463	16.6147
4.031224251	16.6171
4.028091913	16.6225
4.024964439	16.6394
4.021841819	16.6494
4.018724039	16.6455
4.01561109	16.6484
4.012502959	16.6528
4.009399637	16.6572
4.00630111	16.6669
4.00320737	16.6674
4.000118404	16.664
3.997034201	16.6621
3.99395475	16.6545
3.990880041	16.6523
3.987810062	16.6645
3.984744803	16.6796
3.981684252	16.6826
3.9786284	16.6782
3.975577234	16.6879
3.972530744	16.6992
3.96948892	16.6923
3.966451751	16.6914
3.963420797	16.6906
3.960392903	16.6884
3.957369631	16.6992
3.954350972	16.708
3.951336915	16.7202
3.948327449	16.7226
3.945322564	16.7148
3.942322249	16.7063
3.939326493	16.7148
3.936335288	16.7211
3.933348621	16.7187
3.930366483	16.705
3.927388864	16.7041
3.924415753	16.7119
3.921447139	16.7158
3.918483014	16.7131
3.915523366	16.7104
3.912568186	16.7114
3.909617463	16.7085
3.906671188	16.7065
3.90372935	16.7187
3.900791939	16.7226
3.897858945	16.728
3.894930359	16.7334
3.892007684	16.7407
3.889087881	16.7353
3.886172454	16.7412
3.883261396	16.7392
3.880354695	16.7304
3.877452343	16.726
3.874554329	16.7343
3.871660644	16.7299
3.868771278	16.7324
3.865886222	16.7343
3.863005465	16.7387
3.860128998	16.728
3.857256812	16.7307
3.854388896	16.727
3.851525243	16.7182
3.848665841	16.7177
3.845812161	16.7343
3.842961232	16.736
3.840114528	16.7292
