Name:  Olivine (Fo41) (Fe+2,Mg)2SiO4
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated tetrahedra); (Olivine Group)
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.:  olivine.4
Owner:  JHU
Wavelength Range:  IR
Origin: Kiglapait Intrusion, Labrador via Trude King #KI4143 
(obtained from S.A. Morse, Univ. of Mass.)
Description: Initially, the specimen was contaminated with pyroxene, 
spinel (?) and ilmenite.  Heavy liquid separation, followed by 
magnetic separation and hand picking, allowed olivines of different 
iron content to be solated.  The sample was ground to <60 
micrometers and wet sieved.  Fine particles are missing from the 
sample; average particle size is close to 60 micrometers.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  olivin4a.txt

4.284424062	87.5349
4.280886058	87.5237
4.277353892	87.5183
4.27382755	87.4695
4.270307018	87.4539
4.266792281	87.4158
4.263283325	87.4075
4.259780136	87.3899
4.256282699	87.3523
4.252791	87.3679
4.249306832	87.344
4.245826565	87.3401
4.242351994	87.2835
4.238883105	87.2581
4.235419885	87.2322
4.231962319	87.2215
4.228510393	87.1922
4.225064094	87.1878
4.221623408	87.1594
4.218188322	87.1394
4.214758821	87.1272
4.211334892	87.1013
4.207916522	87.0789
4.204503696	87.0198
4.201096402	86.989
4.197694626	86.9573
4.194300114	86.9358
4.190909331	86.9436
4.187524026	86.9114
4.184144186	86.908
4.180769797	86.8836
4.177400846	86.8699
4.174037321	86.8465
4.170679208	86.824
4.167326493	86.8025
4.163979165	86.7962
4.16063721	86.783
4.157300615	86.7512
4.153969367	86.7117
4.150643454	86.6594
4.147322862	86.6677
4.144007579	86.6428
4.140697592	86.635
4.137392888	86.5979
4.134093455	86.5799
4.130799281	86.5408
4.127510352	86.5496
4.124226656	86.5135
4.120948181	86.4607
4.117674914	86.4285
4.114408535	86.4094
4.111145645	86.4182
4.107887925	86.3821
4.104635365	86.3709
4.101387951	86.3465
4.098145671	86.3284
4.094908514	86.2967
