Name:  Bholghati
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Howardite
Particle Size:  0-75 micrometers
Sample No.:  Bholghati
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in India in 1905.  Smithsonian sample No. USNM 
1250(?).
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.1062	3.5654
6.0990	3.5876
6.0918	3.6086
6.0847	3.6277
6.0776	3.6445
6.0704	3.6599
6.0633	3.6748
6.0563	3.6897
6.0492	3.7053
6.0421	3.7224
6.0351	3.7410
6.0281	3.7598
6.0211	3.7788
6.0141	3.7976
6.0071	3.8164
6.0002	3.8350
5.9932	3.8547
5.9863	3.8777
5.9794	3.9038
5.9725	3.9329
5.9657	3.9643
5.9588	3.9978
5.9520	4.0329
5.9451	4.0696
5.9383	4.1079
5.9315	4.1492
5.9247	4.1914
5.9180	4.2322
5.9112	4.2705
5.9045	4.3059
5.8978	4.3386
5.8911	4.3704
5.8844	4.4014
5.8777	4.4326
5.8711	4.4634
5.8644	4.4919
5.8578	4.5176
5.8512	4.5391
5.8446	4.5571
5.8380	4.5718
5.8314	4.5845
5.8249	4.5967
5.8184	4.6099
5.8118	4.6238
5.8053	4.6382
5.7988	4.6518
5.7923	4.6641
5.7859	4.6743
5.7794	4.6833
5.7730	4.6912
5.7666	4.6997
5.7602	4.7099
5.7538	4.7222
5.7474	4.7351
5.7410	4.7485
5.7347	4.7610
5.7283	4.7717
5.7220	4.7798
5.7157	4.7869
5.7094	4.7934
5.7031	4.7995
5.6969	4.8054
5.6906	4.8110
5.6844	4.8164
5.6782	4.8210
5.6719	4.8252
5.6657	4.8298
5.6596	4.8347
5.6534	4.8403
5.6472	4.8472
5.6411	4.8559
5.6349	4.8667
5.6288	4.8786
5.6227	4.8911
5.6166	4.9043
5.6106	4.9170
5.6045	4.9292
5.5984	4.9414
5.5924	4.9548
5.5864	4.9695
5.5804	4.9846
5.5744	5.0007
5.5684	5.0173
5.5624	5.0334
5.5564	5.0478
5.5505	5.0603
5.5445	5.0715
5.5386	5.0798
5.5327	5.0847
5.5268	5.0871
5.5209	5.0874
5.5151	5.0857
5.5092	5.0832
5.5033	5.0801
5.4975	5.0769
5.4917	5.0727
5.4859	5.0676
5.4801	5.0615
5.4743	5.0549
5.4685	5.0478
5.4628	5.0408
5.4570	5.0337
5.4513	5.0266
5.4455	5.0198
5.4398	5.0139
5.4341	5.0095
5.4284	5.0066
5.4228	5.0051
5.4171	5.0044
5.4114	5.0044
5.4058	5.0049
5.4002	5.0056
5.3945	5.0066
5.3889	5.0071
5.3833	5.0073
5.3778	5.0068
5.3722	5.0051
5.3666	5.0029
5.3611	5.0005
5.3555	4.9973
5.3500	4.9929
5.3445	4.9866
5.3390	4.9780
5.3335	4.9678
5.3280	4.9560
5.3225	4.9438
5.3171	4.9311
5.3116	4.9182
5.3062	4.9045
5.3008	4.8906
5.2954	4.8767
5.2900	4.8635
5.2846	4.8523
5.2792	4.8430
5.2738	4.8352
5.2684	4.8284
5.2631	4.8215
5.2578	4.8140
5.2524	4.8059
5.2471	4.7981
5.2418	4.7910
5.2365	4.7856
5.2312	4.7822
5.2260	4.7800
5.2207	4.7781
5.2154	4.7756
5.2102	4.7724
5.2050	4.7693
5.1998	4.7666
5.1945	4.7651
5.1893	4.7656
5.1842	4.7676
5.1790	4.7715
5.1738	4.7771
5.1686	4.7849
5.1635	4.7944
5.1584	4.8054
5.1532	4.8174
5.1481	4.8301
5.1430	4.8428
5.1379	4.8552
5.1328	4.8667
5.1277	4.8782
5.1227	4.8901
5.1176	4.9028
5.1126	4.9160
5.1075	4.9299
5.1025	4.9441
5.0975	4.9580
5.0925	4.9714
5.0875	4.9853
5.0825	4.9993
5.0775	5.0129
5.0726	5.0266
5.0676	5.0393
5.0627	5.0515
5.0577	5.0635
5.0528	5.0752
5.0479	5.0864
5.0430	5.0974
5.0380	5.1079
5.0332	5.1177
5.0283	5.1267
5.0234	5.1350
5.0185	5.1428
5.0137	5.1499
5.0088	5.1565
5.0040	5.1628
4.9992	5.1694
4.9944	5.1772
4.9896	5.1865
4.9848	5.1970
4.9800	5.2075
4.9752	5.2180
4.9704	5.2280
4.9657	5.2373
4.9609	5.2458
4.9562	5.2544
4.9514	5.2637
4.9467	5.2734
4.9420	5.2834
4.9373	5.2932
4.9326	5.3025
4.9279	5.3110
4.9232	5.3181
4.9186	5.3247
4.9139	5.3310
4.9092	5.3376
4.9046	5.3447
4.9000	5.3523
4.8953	5.3603
4.8907	5.3689
4.8861	5.3774
4.8815	5.3862
4.8769	5.3952
4.8723	5.4043
4.8678	5.4136
4.8632	5.4233
4.8586	5.4336
4.8541	5.4433
4.8495	5.4529
4.8450	5.4621
4.8405	5.4719
4.8360	5.4831
4.8315	5.4956
4.8270	5.5093
4.8225	5.5232
4.8180	5.5359
4.8135	5.5473
4.8090	5.5576
4.8046	5.5676
4.8001	5.5774
4.7957	5.5874
4.7913	5.5979
4.7868	5.6079
4.7824	5.6174
4.7780	5.6267
4.7736	5.6360
4.7692	5.6445
4.7648	5.6526
4.7605	5.6604
4.7561	5.6684
4.7517	5.6767
4.7474	5.6863
4.7431	5.6973
4.7387	5.7090
4.7344	5.7202
4.7301	5.7305
4.7258	5.7395
4.7215	5.7480
4.7172	5.7566
4.7129	5.7656
4.7086	5.7754
4.7043	5.7854
4.7000	5.7952
4.6958	5.8044
4.6915	5.8137
4.6873	5.8230
4.6831	5.8330
4.6788	5.8435
4.6746	5.8542
4.6704	5.8647
4.6662	5.8745
4.6620	5.8830
4.6578	5.8906
4.6536	5.8979
4.6495	5.9060
4.6453	5.9150
4.6411	5.9245
4.6370	5.9343
4.6328	5.9438
4.6287	5.9526
4.6246	5.9604
4.6205	5.9680
4.6163	5.9756
4.6122	5.9824
4.6081	5.9883
4.6040	5.9931
4.6000	5.9975
4.5959	6.0017
4.5918	6.0063
4.5877	6.0110
4.5837	6.0156
4.5796	6.0200
4.5756	6.0237
4.5716	6.0271
4.5675	6.0310
4.5635	6.0351
4.5595	6.0395
4.5555	6.0425
4.5515	6.0439
4.5475	6.0447
4.5435	6.0449
4.5395	6.0456
4.5356	6.0481
4.5316	6.0517
4.5276	6.0556
4.5237	6.0583
4.5197	6.0598
4.5158	6.0600
4.5119	6.0598
4.5080	6.0598
4.5040	6.0608
4.5001	6.0622
4.4962	6.0637
4.4923	6.0647
4.4884	6.0652
4.4846	6.0649
4.4807	6.0644
4.4768	6.0637
4.4730	6.0627
4.4691	6.0618
4.4652	6.0613
4.4614	6.0618
4.4576	6.0632
4.4537	6.0649
4.4499	6.0664
4.4461	6.0679
4.4423	6.0688
4.4385	6.0696
4.4347	6.0701
4.4309	6.0710
4.4271	6.0720
4.4233	6.0718
4.4196	6.0713
4.4158	6.0708
4.4120	6.0701
4.4083	6.0691
4.4045	6.0679
4.4008	6.0666
4.3971	6.0652
4.3934	6.0639
4.3896	6.0639
4.3859	6.0642
4.3822	6.0647
4.3785	6.0647
4.3748	6.0637
4.3711	6.0627
4.3674	6.0620
4.3638	6.0620
4.3601	6.0630
4.3564	6.0642
4.3528	6.0649
4.3491	6.0647
4.3455	6.0639
4.3418	6.0632
4.3382	6.0632
4.3346	6.0639
4.3310	6.0649
4.3273	6.0652
4.3237	6.0647
4.3201	6.0635
4.3165	6.0625
4.3129	6.0618
4.3094	6.0620
4.3058	6.0632
4.3022	6.0649
4.2986	6.0657
4.2951	6.0657
4.2915	6.0654
4.2880	6.0644
4.2844	6.0632
4.2809	6.0625
4.2774	6.0627
4.2738	6.0639
4.2703	6.0652
4.2668	6.0661
4.2633	6.0669
4.2598	6.0671
4.2563	6.0669
4.2528	6.0674
4.2493	6.0691
4.2458	6.0713
4.2424	6.0735
4.2389	6.0757
4.2354	6.0779
4.2320	6.0796
4.2285	6.0808
4.2251	6.0818
4.2216	6.0823
4.2182	6.0820
4.2148	6.0810
4.2113	6.0808
4.2079	6.0810
4.2045	6.0818
4.2011	6.0830
4.1977	6.0845
4.1943	6.0854
4.1909	6.0862
4.1875	6.0862
4.1841	6.0854
4.1808	6.0849
4.1774	6.0847
4.1740	6.0849
4.1707	6.0852
4.1673	6.0852
4.1640	6.0852
4.1606	6.0847
4.1573	6.0842
4.1540	6.0842
4.1506	6.0842
4.1473	6.0840
4.1440	6.0835
4.1407	6.0827
4.1374	6.0820
4.1341	6.0820
4.1308	6.0830
4.1275	6.0847
4.1242	6.0859
4.1209	6.0869
4.1177	6.0874
4.1144	6.0876
4.1111	6.0876
4.1079	6.0881
4.1046	6.0886
4.1014	6.0891
4.0981	6.0889
4.0949	6.0881
4.0917	6.0879
4.0884	6.0881
4.0852	6.0891
4.0820	6.0903
4.0788	6.0915
4.0756	6.0923
4.0724	6.0920
4.0692	6.0913
4.0660	6.0913
4.0628	6.0918
4.0596	6.0930
4.0565	6.0937
4.0533	6.0940
4.0501	6.0940
4.0470	6.0935
4.0438	6.0928
4.0406	6.0925
4.0375	6.0925
4.0344	6.0928
4.0312	6.0935
4.0281	6.0945
4.0250	6.0957
4.0218	6.0964
4.0187	6.0959
4.0156	6.0945
4.0125	6.0915
4.0094	6.0884
4.0063	6.0862
4.0032	6.0859
4.0001	6.0871
3.9970	6.0891
3.9940	6.0906
3.9909	6.0910
3.9878	6.0898
3.9847	6.0869
3.9817	6.0837
3.9786	6.0813
3.9756	6.0801
3.9725	6.0803
3.9695	6.0813
3.9665	6.0823
3.9634	6.0823
3.9604	6.0813
3.9574	6.0791
3.9544	6.0769
3.9513	6.0749
3.9483	6.0740
3.9453	6.0737
3.9423	6.0740
3.9393	6.0742
3.9363	6.0744
3.9333	6.0747
3.9304	6.0744
3.9274	6.0730
3.9244	6.0710
3.9214	6.0693
3.9185	6.0679
3.9155	6.0664
3.9126	6.0657
3.9096	6.0652
3.9067	6.0644
3.9037	6.0630
3.9008	6.0618
3.8979	6.0610
3.8949	6.0605
3.8920	6.0600
3.8891	6.0588
3.8862	6.0578
3.8833	6.0566
3.8804	6.0554
3.8775	6.0542
3.8746	6.0535
3.8717	6.0530
3.8688	6.0522
3.8659	6.0517
3.8630	6.0517
3.8601	6.0522
3.8573	6.0520
3.8544	6.0508
3.8515	6.0486
3.8487	6.0459
3.8458	6.0427
3.8430	6.0398
3.8401	6.0378
3.8373	6.0371
3.8344	6.0364
3.8316	6.0351
3.8288	6.0334
3.8259	6.0310
3.8231	6.0283
3.8203	6.0254
3.8175	6.0232
3.8147	6.0217
3.8119	6.0210
3.8091	6.0198
3.8063	6.0185
3.8035	6.0171
3.8007	6.0161
3.7979	6.0149
3.7951	6.0137
3.7924	6.0132
3.7896	6.0127
3.7868	6.0117
3.7841	6.0100
3.7813	6.0085
3.7785	6.0068
3.7758	6.0046
3.7730	6.0027
3.7703	6.0007
3.7676	5.9990
3.7648	5.9971
3.7621	5.9946
3.7594	5.9917
3.7566	5.9890
3.7539	5.9866
3.7512	5.9841
3.7485	5.9819
3.7458	5.9802
3.7431	5.9780
3.7404	5.9753
3.7377	5.9726
3.7350	5.9702
3.7323	5.9678
3.7296	5.9653
3.7269	5.9634
3.7242	5.9614
3.7216	5.9585
3.7189	5.9560
3.7162	5.9543
3.7136	5.9516
3.7109	5.9485
3.7083	5.9451
3.7056	5.9416
3.7030	5.9377
3.7003	5.9346
3.6977	5.9326
3.6950	5.9319
3.6924	5.9306
3.6898	5.9285
3.6872	5.9260
3.6845	5.9231
3.6819	5.9192
3.6793	5.9158
3.6767	5.9133
3.6741	5.9116
3.6715	5.9101
3.6689	5.9084
3.6663	5.9070
3.6637	5.9060
3.6611	5.9050
3.6585	5.9040
3.6560	5.9031
3.6534	5.9016
3.6508	5.8987
3.6482	5.8950
3.6457	5.8911
3.6431	5.8879
3.6406	5.8848
3.6380	5.8818
3.6355	5.8791
3.6329	5.8762
3.6304	5.8730
3.6278	5.8701
3.6253	5.8681
3.6227	5.8664
3.6202	5.8650
3.6177	5.8633
3.6152	5.8613
3.6127	5.8594
3.6101	5.8574
3.6076	5.8559
3.6051	5.8545
3.6026	5.8525
3.6001	5.8501
3.5976	5.8467
3.5951	5.8423
3.5926	5.8371
3.5901	5.8320
3.5876	5.8279
3.5852	5.8240
3.5827	5.8198
3.5802	5.8159
3.5777	5.8122
3.5753	5.8083
3.5728	5.8044
3.5704	5.8010
3.5679	5.7978
3.5654	5.7944
3.5630	5.7905
3.5605	5.7861
3.5581	5.7815
3.5557	5.7768
3.5532	5.7722
3.5508	5.7671
3.5484	5.7612
3.5459	5.7549
3.5435	5.7488
3.5411	5.7424
3.5387	5.7366
3.5363	5.7312
3.5338	5.7263
3.5314	5.7207
3.5290	5.7141
3.5266	5.7058
3.5242	5.6958
3.5218	5.6833
3.5195	5.6667
3.5171	5.6467
3.5147	5.6230
3.5123	5.5967
3.5099	5.5693
3.5075	5.5439
3.5052	5.5242
3.5028	5.5115
3.5004	5.5063
3.4981	5.5085
3.4957	5.5166
3.4934	5.5273
3.4910	5.5383
3.4887	5.5486
3.4863	5.5569
3.4840	5.5625
3.4816	5.5657
3.4793	5.5676
3.4770	5.5688
3.4746	5.5688
3.4723	5.5679
3.4700	5.5661
3.4677	5.5635
3.4653	5.5596
3.4630	5.5549
3.4607	5.5493
3.4584	5.5425
3.4561	5.5342
3.4538	5.5239
3.4515	5.5117
3.4492	5.4983
3.4469	5.4853
3.4446	5.4731
3.4423	5.4614
3.4400	5.4494
3.4378	5.4358
3.4355	5.4187
3.4332	5.3970
3.4309	5.3708
3.4287	5.3420
3.4264	5.3120
3.4241	5.2834
3.4219	5.2593
3.4196	5.2422
3.4174	5.2334
3.4151	5.2339
3.4129	5.2429
3.4106	5.2585
3.4084	5.2776
3.4061	5.2978
3.4039	5.3179
3.4017	5.3367
3.3994	5.3537
3.3972	5.3689
3.3950	5.3811
3.3928	5.3899
3.3906	5.3945
3.3883	5.3955
3.3861	5.3938
3.3839	5.3906
3.3817	5.3872
3.3795	5.3850
3.3773	5.3848
3.3751	5.3865
