Name:  Winona
Type:  Stony Meteorites
Class:  Anomalous
Subclass:  
Particle Size:  0-75 micrometers
Sample No.:  Winona
Owner:  JHU
Wavelength range:  IR
Origin:  A prehistoric meteorite find.  Smithsonian sample No. 
USNM 854.
Description:  Weathered.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.5327	2.8559
5.5268	2.8601
5.5209	2.8625
5.5151	2.8633
5.5092	2.8633
5.5033	2.8625
5.4975	2.8613
5.4917	2.8599
5.4859	2.8586
5.4801	2.8577
5.4743	2.8572
5.4685	2.8574
5.4628	2.8584
5.4570	2.8606
5.4513	2.8638
5.4455	2.8679
5.4398	2.8730
5.4341	2.8794
5.4284	2.8867
5.4228	2.8953
5.4171	2.9055
5.4114	2.9167
5.4058	2.9287
5.4002	2.9409
5.3945	2.9524
5.3889	2.9629
5.3833	2.9722
5.3778	2.9800
5.3722	2.9871
5.3666	2.9936
5.3611	3.0000
5.3555	3.0061
5.3500	3.0122
5.3445	3.0181
5.3390	3.0232
5.3335	3.0276
5.3280	3.0312
5.3225	3.0337
5.3171	3.0354
5.3116	3.0361
5.3062	3.0356
5.3008	3.0344
5.2954	3.0325
5.2900	3.0300
5.2846	3.0271
5.2792	3.0242
5.2738	3.0207
5.2684	3.0176
5.2631	3.0144
5.2578	3.0122
5.2524	3.0102
5.2471	3.0088
5.2418	3.0073
5.2365	3.0051
5.2312	3.0015
5.2260	2.9963
5.2207	2.9897
5.2154	2.9822
5.2102	2.9744
5.2050	2.9665
5.1998	2.9592
5.1945	2.9524
5.1893	2.9458
5.1842	2.9390
5.1790	2.9321
5.1738	2.9253
5.1686	2.9184
5.1635	2.9121
5.1584	2.9072
5.1532	2.9038
5.1481	2.9026
5.1430	2.9036
5.1379	2.9065
5.1328	2.9114
5.1277	2.9177
5.1227	2.9250
5.1176	2.9329
5.1126	2.9407
5.1075	2.9485
5.1025	2.9560
5.0975	2.9636
5.0925	2.9712
5.0875	2.9788
5.0825	2.9863
5.0775	2.9936
5.0726	3.0007
5.0676	3.0078
5.0627	3.0151
5.0577	3.0227
5.0528	3.0310
5.0479	3.0400
5.0430	3.0493
5.0380	3.0583
5.0332	3.0664
5.0283	3.0735
5.0234	3.0788
5.0185	3.0830
5.0137	3.0867
5.0088	3.0898
5.0040	3.0928
4.9992	3.0955
4.9944	3.0984
4.9896	3.1013
4.9848	3.1040
4.9800	3.1064
4.9752	3.1089
4.9704	3.1106
4.9657	3.1118
4.9609	3.1125
4.9562	3.1123
4.9514	3.1118
4.9467	3.1108
4.9420	3.1099
4.9373	3.1094
4.9326	3.1096
4.9279	3.1106
4.9232	3.1121
4.9186	3.1140
4.9139	3.1160
4.9092	3.1186
4.9046	3.1216
4.9000	3.1252
4.8953	3.1294
4.8907	3.1343
4.8861	3.1392
4.8815	3.1435
4.8769	3.1472
4.8723	3.1499
4.8678	3.1521
4.8632	3.1536
4.8586	3.1550
4.8541	3.1567
4.8495	3.1592
4.8450	3.1628
4.8405	3.1672
4.8360	3.1726
4.8315	3.1782
4.8270	3.1843
4.8225	3.1902
4.8180	3.1960
4.8135	3.2019
4.8090	3.2080
4.8046	3.2146
4.8001	3.2214
4.7957	3.2288
4.7913	3.2356
4.7868	3.2422
4.7824	3.2480
4.7780	3.2534
4.7736	3.2585
4.7692	3.2639
4.7648	3.2695
4.7605	3.2759
4.7561	3.2830
4.7517	3.2903
4.7474	3.2976
4.7431	3.3049
4.7387	3.3120
4.7344	3.3184
4.7301	3.3242
4.7258	3.3291
4.7215	3.3332
