Name:  Lance2
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  Lance2
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1872.  Museum National d'Histoire 
Naturelle sample No. 1481 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

3.7136	2.9695
3.7109	2.9695
3.7083	2.9690
3.7056	2.9675
3.7030	2.9651
3.7003	2.9624
3.6977	2.9597
3.6950	2.9573
3.6924	2.9558
3.6898	2.9546
3.6872	2.9536
3.6845	2.9524
3.6819	2.9509
3.6793	2.9495
3.6767	2.9475
3.6741	2.9458
3.6715	2.9438
3.6689	2.9416
3.6663	2.9392
3.6637	2.9365
3.6611	2.9341
3.6585	2.9321
3.6560	2.9307
3.6534	2.9297
3.6508	2.9292
3.6482	2.9285
3.6457	2.9272
3.6431	2.9255
3.6406	2.9236
3.6380	2.9216
3.6355	2.9199
3.6329	2.9187
3.6304	2.9177
3.6278	2.9167
3.6253	2.9160
3.6227	2.9150
3.6202	2.9138
3.6177	2.9126
3.6152	2.9114
3.6127	2.9097
3.6101	2.9077
3.6076	2.9055
3.6051	2.9031
3.6026	2.9006
3.6001	2.8982
3.5976	2.8960
3.5951	2.8943
3.5926	2.8928
3.5901	2.8916
3.5876	2.8904
3.5852	2.8887
3.5827	2.8867
3.5802	2.8843
3.5777	2.8813
3.5753	2.8784
3.5728	2.8757
3.5704	2.8733
3.5679	2.8713
3.5654	2.8699
3.5630	2.8686
3.5605	2.8674
3.5581	2.8660
3.5557	2.8640
3.5532	2.8618
3.5508	2.8594
3.5484	2.8567
3.5459	2.8540
3.5435	2.8516
3.5411	2.8491
3.5387	2.8467
3.5363	2.8440
3.5338	2.8413
3.5314	2.8384
3.5290	2.8352
3.5266	2.8318
3.5242	2.8281
3.5218	2.8242
3.5195	2.8198
3.5171	2.8149
3.5147	2.8098
3.5123	2.8042
3.5099	2.7983
3.5075	2.7927
3.5052	2.7873
3.5028	2.7825
3.5004	2.7783
3.4981	2.7754
3.4957	2.7734
3.4934	2.7727
3.4910	2.7725
3.4887	2.7725
3.4863	2.7722
3.4840	2.7715
3.4816	2.7700
3.4793	2.7683
3.4770	2.7666
3.4746	2.7659
3.4723	2.7656
3.4700	2.7656
3.4677	2.7659
3.4653	2.7654
3.4630	2.7644
3.4607	2.7624
3.4584	2.7600
3.4561	2.7571
3.4538	2.7541
3.4515	2.7510
3.4492	2.7478
3.4469	2.7444
