Name:  Allende1
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CV3
Particle Size:  0-75 micrometers
Sample No.:  Allende1
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Mexico in 1969.  Smithsonian sample No. USNM 
3529.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.7913	1.7642
4.7868	1.7646
4.7824	1.7650
4.7780	1.7654
4.7736	1.7657
4.7692	1.7664
4.7648	1.7671
4.7605	1.7681
4.7561	1.7692
4.7517	1.7701
4.7474	1.7711
4.7431	1.7717
4.7387	1.7721
4.7344	1.7721
4.7301	1.7721
4.7258	1.7720
4.7215	1.7718
4.7172	1.7720
4.7129	1.7721
4.7086	1.7725
4.7043	1.7728
4.7000	1.7734
4.6958	1.7740
4.6915	1.7749
4.6873	1.7758
4.6831	1.7769
4.6788	1.7777
4.6746	1.7786
4.6704	1.7790
4.6662	1.7794
4.6620	1.7797
4.6578	1.7797
4.6536	1.7799
4.6495	1.7803
4.6453	1.7809
4.6411	1.7817
4.6370	1.7830
4.6328	1.7842
4.6287	1.7854
4.6246	1.7865
4.6205	1.7876
4.6163	1.7884
4.6122	1.7894
4.6081	1.7902
4.6040	1.7908
4.6000	1.7913
4.5959	1.7915
4.5918	1.7915
4.5877	1.7915
4.5837	1.7915
4.5796	1.7917
4.5756	1.7925
4.5716	1.7936
4.5675	1.7949
4.5635	1.7965
4.5595	1.7980
4.5555	1.7992
4.5515	1.8000
4.5475	1.8005
4.5435	1.8008
4.5395	1.8007
4.5356	1.8004
4.5316	1.8002
4.5276	1.7999
4.5237	1.7998
4.5197	1.8000
4.5158	1.8004
4.5119	1.8010
4.5080	1.8019
4.5040	1.8026
4.5001	1.8033
4.4962	1.8038
4.4923	1.8043
4.4884	1.8048
4.4846	1.8052
4.4807	1.8055
4.4768	1.8059
4.4730	1.8063
4.4691	1.8066
4.4652	1.8069
4.4614	1.8070
4.4576	1.8071
4.4537	1.8072
4.4499	1.8074
4.4461	1.8074
4.4423	1.8076
4.4385	1.8079
4.4347	1.8080
4.4309	1.8082
4.4271	1.8086
4.4233	1.8088
4.4196	1.8092
4.4158	1.8096
4.4120	1.8099
4.4083	1.8103
4.4045	1.8105
4.4008	1.8108
4.3971	1.8110
4.3934	1.8113
4.3896	1.8113
4.3859	1.8112
4.3822	1.8105
4.3785	1.8097
4.3748	1.8085
4.3711	1.8071
4.3674	1.8059
4.3638	1.8052
4.3601	1.8047
4.3564	1.8047
4.3528	1.8050
4.3491	1.8057
4.3455	1.8063
4.3418	1.8069
4.3382	1.8075
4.3346	1.8079
4.3310	1.8082
4.3273	1.8083
4.3237	1.8082
4.3201	1.8079
4.3165	1.8074
4.3129	1.8066
4.3094	1.8058
4.3058	1.8048
4.3022	1.8040
4.2986	1.8032
4.2951	1.8027
4.2915	1.8024
4.2880	1.8024
4.2844	1.8026
4.2809	1.8031
4.2774	1.8036
4.2738	1.8042
4.2703	1.8048
4.2668	1.8052
4.2633	1.8055
4.2598	1.8058
4.2563	1.8060
4.2528	1.8060
4.2493	1.8060
4.2458	1.8060
4.2424	1.8060
4.2389	1.8060
4.2354	1.8063
4.2320	1.8064
4.2285	1.8068
4.2251	1.8070
4.2216	1.8072
4.2182	1.8074
4.2148	1.8075
4.2113	1.8076
4.2079	1.8076
4.2045	1.8079
4.2011	1.8081
4.1977	1.8085
4.1943	1.8087
4.1909	1.8091
4.1875	1.8094
4.1841	1.8097
4.1808	1.8097
4.1774	1.8096
4.1740	1.8091
4.1707	1.8083
4.1673	1.8075
4.1640	1.8068
4.1606	1.8063
4.1573	1.8060
4.1540	1.8063
4.1506	1.8068
4.1473	1.8076
4.1440	1.8085
4.1407	1.8094
4.1374	1.8104
4.1341	1.8113
4.1308	1.8119
4.1275	1.8123
4.1242	1.8124
4.1209	1.8123
4.1177	1.8119
4.1144	1.8113
4.1111	1.8107
4.1079	1.8101
4.1046	1.8096
4.1014	1.8093
4.0981	1.8092
4.0949	1.8094
4.0917	1.8098
4.0884	1.8102
4.0852	1.8105
4.0820	1.8109
4.0788	1.8113
4.0756	1.8116
4.0724	1.8120
4.0692	1.8124
4.0660	1.8129
4.0628	1.8131
4.0596	1.8132
4.0565	1.8132
4.0533	1.8132
4.0501	1.8131
4.0470	1.8132
4.0438	1.8136
4.0406	1.8141
4.0375	1.8148
4.0344	1.8157
4.0312	1.8163
4.0281	1.8165
4.0250	1.8164
4.0218	1.8160
4.0187	1.8153
4.0156	1.8144
4.0125	1.8138
4.0094	1.8136
4.0063	1.8137
4.0032	1.8141
4.0001	1.8146
3.9970	1.8151
3.9940	1.8152
3.9909	1.8152
3.9878	1.8149
3.9847	1.8146
3.9817	1.8144
3.9786	1.8146
3.9756	1.8152
3.9725	1.8159
3.9695	1.8168
3.9665	1.8176
3.9634	1.8181
3.9604	1.8181
3.9574	1.8177
3.9544	1.8170
3.9513	1.8160
3.9483	1.8151
3.9453	1.8142
3.9423	1.8137
3.9393	1.8135
3.9363	1.8135
3.9333	1.8136
3.9304	1.8137
3.9274	1.8138
3.9244	1.8138
3.9214	1.8138
3.9185	1.8138
3.9155	1.8140
3.9126	1.8141
3.9096	1.8143
3.9067	1.8146
3.9037	1.8144
