Name:  Happy Canyon
Type:  Stony Meteorites
Class:  Enstatite Chondrite
Subclass:  E6
Particle Size:  0-75 micrometers
Sample No.:  Happy Canyon
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1971.  Smithsonian sample No. USNM 5820.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.4964	3.2085
6.4883	3.2065
6.4802	3.2065
6.4721	3.2075
6.4640	3.2078
6.4560	3.2056
6.4480	3.2002
6.4399	3.1912
6.4320	3.1799
6.4240	3.1682
6.4160	3.1565
6.4081	3.1462
6.4002	3.1365
6.3923	3.1255
6.3844	3.1123
6.3766	3.0972
6.3687	3.0801
6.3609	3.0625
6.3531	3.0454
6.3454	3.0312
6.3376	3.0205
6.3299	3.0132
6.3221	3.0090
6.3144	3.0078
6.3068	3.0085
6.2991	3.0098
6.2914	3.0100
6.2838	3.0093
6.2762	3.0073
6.2686	3.0044
6.2611	3.0007
6.2535	2.9961
6.2460	2.9900
6.2385	2.9822
6.2310	2.9724
6.2235	2.9612
6.2160	2.9497
6.2086	2.9380
6.2011	2.9275
6.1937	2.9180
6.1863	2.9104
6.1790	2.9045
6.1716	2.9004
6.1643	2.8977
6.1570	2.8960
6.1496	2.8933
6.1424	2.8894
6.1351	2.8843
6.1278	2.8782
6.1206	2.8716
6.1134	2.8650
6.1062	2.8594
6.0990	2.8547
6.0918	2.8503
6.0847	2.8464
6.0776	2.8435
6.0704	2.8428
6.0633	2.8442
6.0563	2.8484
6.0492	2.8559
6.0421	2.8674
6.0351	2.8823
6.0281	2.9009
6.0211	2.9226
6.0141	2.9480
6.0071	2.9761
6.0002	3.0066
5.9932	3.0391
5.9863	3.0742
5.9794	3.1111
5.9725	3.1482
5.9657	3.1851
5.9588	3.2209
5.9520	3.2551
5.9451	3.2886
5.9383	3.3208
5.9315	3.3525
5.9247	3.3826
5.9180	3.4092
5.9112	3.4314
5.9045	3.4497
5.8978	3.4646
5.8911	3.4790
5.8844	3.4932
5.8777	3.5078
5.8711	3.5225
5.8644	3.5361
5.8578	3.5474
5.8512	3.5559
5.8446	3.5632
5.8380	3.5705
5.8314	3.5796
5.8249	3.5913
5.8184	3.6067
5.8118	3.6238
5.8053	3.6396
5.7988	3.6518
5.7923	3.6601
5.7859	3.6643
5.7794	3.6653
5.7730	3.6641
5.7666	3.6631
5.7602	3.6633
5.7538	3.6645
5.7474	3.6660
5.7410	3.6680
5.7347	3.6697
5.7283	3.6704
5.7220	3.6702
5.7157	3.6704
5.7094	3.6721
5.7031	3.6753
5.6969	3.6799
5.6906	3.6855
5.6844	3.6914
5.6782	3.6975
5.6719	3.7036
5.6657	3.7107
5.6596	3.7178
5.6534	3.7251
5.6472	3.7324
5.6411	3.7395
5.6349	3.7463
5.6288	3.7534
5.6227	3.7612
5.6166	3.7693
