Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.1227	5.9602
5.1176	5.9707
5.1126	5.9800
5.1075	5.9888
5.1025	5.9985
5.0975	6.0093
5.0925	6.0195
5.0875	6.0271
5.0825	6.0320
5.0775	6.0373
5.0726	6.0432
5.0676	6.0486
5.0627	6.0561
5.0577	6.0664
5.0528	6.0771
5.0479	6.0867
5.0430	6.0952
5.0380	6.1035
5.0332	6.1101
5.0283	6.1157
5.0234	6.1221
5.0185	6.1284
5.0137	6.1340
5.0088	6.1396
5.0040	6.1462
4.9992	6.1545
4.9944	6.1648
4.9896	6.1767
4.9848	6.1889
4.9800	6.2016
4.9752	6.2156
4.9704	6.2307
4.9657	6.2478
4.9609	6.2666
4.9562	6.2883
4.9514	6.3108
4.9467	6.3332
4.9420	6.3559
4.9373	6.3782
4.9326	6.4004
4.9279	6.4221
4.9232	6.4429
4.9186	6.4643
4.9139	6.4846
4.9092	6.5041
4.9046	6.5227
4.9000	6.5400
4.8953	6.5576
4.8907	6.5737
4.8861	6.5867
4.8815	6.5984
4.8769	6.6111
4.8723	6.6245
4.8678	6.6377
4.8632	6.6521
4.8586	6.6665
4.8541	6.6787
4.8495	6.6887
4.8450	6.6992
4.8405	6.7119
4.8360	6.7243
4.8315	6.7366
4.8270	6.7500
4.8225	6.7629
4.8180	6.7759
4.8135	6.7883
4.8090	6.8000
4.8046	6.8108
4.8001	6.8208
4.7957	6.8323
4.7913	6.8457
4.7868	6.8601
4.7824	6.8750
4.7780	6.8884
4.7736	6.9004
4.7692	6.9087
4.7648	6.9153
4.7605	6.9228
4.7561	6.9304
4.7517	6.9377
4.7474	6.9465
4.7431	6.9568
4.7387	6.9670
4.7344	6.9748
4.7301	6.9829
4.7258	6.9934
4.7215	7.0022
4.7172	7.0102
4.7129	7.0207
4.7086	7.0322
4.7043	7.0412
4.7000	7.0500
4.6958	7.0610
4.6915	7.0732
4.6873	7.0835
4.6831	7.0915
4.6788	7.1003
4.6746	7.1101
4.6704	7.1191
4.6662	7.1299
4.6620	7.1423
4.6578	7.1545
4.6536	7.1660
4.6495	7.1760
4.6453	7.1853
4.6411	7.1958
4.6370	7.2060
4.6328	7.2148
4.6287	7.2241
4.6246	7.2334
4.6205	7.2434
4.6163	7.2536
4.6122	7.2634
4.6081	7.2739
4.6040	7.2837
4.6000	7.2925
4.5959	7.3010
4.5918	7.3078
4.5877	7.3120
4.5837	7.3159
4.5796	7.3205
4.5756	7.3259
