Name:  Millen2
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  H4
Particle Size:  0-75 micrometers
Sample No.:  Millen 5823
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1975.  Smithsonian sample No USNM 5823.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.4499	3.7468
4.4461	3.7466
4.4423	3.7461
4.4385	3.7451
4.4347	3.7436
4.4309	3.7422
4.4271	3.7414
4.4233	3.7414
4.4196	3.7414
4.4158	3.7414
4.4120	3.7412
4.4083	3.7407
4.4045	3.7400
4.4008	3.7395
4.3971	3.7395
4.3934	3.7392
4.3896	3.7388
4.3859	3.7378
4.3822	3.7371
4.3785	3.7361
4.3748	3.7346
4.3711	3.7334
4.3674	3.7319
4.3638	3.7300
4.3601	3.7285
4.3564	3.7270
4.3528	3.7256
4.3491	3.7236
4.3455	3.7214
4.3418	3.7195
4.3382	3.7178
4.3346	3.7165
4.3310	3.7161
4.3273	3.7156
4.3237	3.7146
4.3201	3.7129
4.3165	3.7112
4.3129	3.7095
4.3094	3.7082
4.3058	3.7078
4.3022	3.7078
4.2986	3.7075
4.2951	3.7060
4.2915	3.7038
4.2880	3.7017
4.2844	3.6999
4.2809	3.6987
4.2774	3.6985
4.2738	3.6987
4.2703	3.6985
4.2668	3.6977
4.2633	3.6973
4.2598	3.6970
4.2563	3.6977
4.2528	3.6987
4.2493	3.6997
4.2458	3.7002
4.2424	3.6997
4.2389	3.6990
4.2354	3.6980
4.2320	3.6973
4.2285	3.6973
4.2251	3.6975
4.2216	3.6977
4.2182	3.6977
4.2148	3.6973
4.2113	3.6968
4.2079	3.6965
4.2045	3.6965
4.2011	3.6965
4.1977	3.6965
4.1943	3.6960
4.1909	3.6948
4.1875	3.6933
4.1841	3.6916
4.1808	3.6902
4.1774	3.6890
4.1740	3.6877
4.1707	3.6868
4.1673	3.6855
4.1640	3.6843
4.1606	3.6829
4.1573	3.6816
4.1540	3.6802
4.1506	3.6787
4.1473	3.6775
4.1440	3.6763
4.1407	3.6753
4.1374	3.6741
4.1341	3.6719
4.1308	3.6697
4.1275	3.6675
4.1242	3.6653
4.1209	3.6638
4.1177	3.6628
4.1144	3.6623
4.1111	3.6616
4.1079	3.6606
4.1046	3.6597
4.1014	3.6592
4.0981	3.6589
4.0949	3.6587
4.0917	3.6587
4.0884	3.6584
4.0852	3.6572
4.0820	3.6553
4.0788	3.6528
4.0756	3.6514
4.0724	3.6499
4.0692	3.6487
4.0660	3.6477
4.0628	3.6462
4.0596	3.6440
4.0565	3.6416
4.0533	3.6396
4.0501	3.6389
4.0470	3.6392
4.0438	3.6404
4.0406	3.6409
4.0375	3.6399
4.0344	3.6374
4.0312	3.6343
4.0281	3.6311
4.0250	3.6291
4.0218	3.6287
4.0187	3.6291
4.0156	3.6287
4.0125	3.6269
4.0094	3.6243
4.0063	3.6206
4.0032	3.6172
4.0001	3.6145
3.9970	3.6128
3.9940	3.6113
3.9909	3.6096
3.9878	3.6074
3.9847	3.6047
3.9817	3.6020
3.9786	3.5998
3.9756	3.5981
3.9725	3.5964
3.9695	3.5945
3.9665	3.5918
3.9634	3.5886
3.9604	3.5854
3.9574	3.5825
3.9544	3.5806
3.9513	3.5796
3.9483	3.5796
3.9453	3.5796
3.9423	3.5786
3.9393	3.5769
3.9363	3.5740
3.9333	3.5703
3.9304	3.5666
3.9274	3.5637
3.9244	3.5613
3.9214	3.5591
3.9185	3.5561
3.9155	3.5532
3.9126	3.5498
3.9096	3.5461
3.9067	3.5432
3.9037	3.5410
3.9008	3.5388
3.8979	3.5369
3.8949	3.5347
3.8920	3.5320
3.8891	3.5286
3.8862	3.5249
3.8833	3.5220
3.8804	3.5198
3.8775	3.5181
3.8746	3.5168
3.8717	3.5154
3.8688	3.5129
3.8659	3.5090
3.8630	3.5044
3.8601	3.5002
3.8573	3.4968
3.8544	3.4941
3.8515	3.4919
3.8487	3.4900
3.8458	3.4878
3.8430	3.4851
3.8401	3.4819
3.8373	3.4788
3.8344	3.4756
3.8316	3.4722
3.8288	3.4685
3.8259	3.4651
3.8231	3.4612
3.8203	3.4575
3.8175	3.4536
3.8147	3.4492
3.8119	3.4446
3.8091	3.4394
3.8063	3.4348
3.8035	3.4309
3.8007	3.4277
3.7979	3.4258
3.7951	3.4243
3.7924	3.4226
3.7896	3.4206
3.7868	3.4180
3.7841	3.4150
3.7813	3.4111
3.7785	3.4065
3.7758	3.4011
3.7730	3.3962
3.7703	3.3921
3.7676	3.3887
3.7648	3.3865
3.7621	3.3848
3.7594	3.3821
3.7566	3.3774
3.7539	3.3713
3.7512	3.3655
3.7485	3.3606
3.7458	3.3572
3.7431	3.3559
3.7404	3.3562
3.7377	3.3557
3.7350	3.3535
3.7323	3.3496
3.7296	3.3442
3.7269	3.3379
3.7242	3.3313
3.7216	3.3254
3.7189	3.3210
3.7162	3.3174
3.7136	3.3144
3.7109	3.3118
3.7083	3.3093
3.7056	3.3069
3.7030	3.3042
3.7003	3.3013
3.6977	3.2978
3.6950	3.2934
3.6924	3.2883
3.6898	3.2822
3.6872	3.2766
3.6845	3.2715
3.6819	3.2671
3.6793	3.2627
3.6767	3.2585
3.6741	3.2544
3.6715	3.2505
3.6689	3.2468
3.6663	3.2434
3.6637	3.2400
3.6611	3.2356
3.6585	3.2305
3.6560	3.2251
3.6534	3.2200
3.6508	3.2156
3.6482	3.2117
3.6457	3.2085
3.6431	3.2051
3.6406	3.2012
3.6380	3.1965
3.6355	3.1919
3.6329	3.1882
3.6304	3.1853
3.6278	3.1831
3.6253	3.1809
3.6227	3.1780
3.6202	3.1736
3.6177	3.1670
3.6152	3.1599
3.6127	3.1538
3.6101	3.1489
3.6076	3.1453
3.6051	3.1416
3.6026	3.1382
3.6001	3.1340
3.5976	3.1289
3.5951	3.1238
3.5926	3.1191
3.5901	3.1147
3.5876	3.1106
3.5852	3.1062
3.5827	3.1016
3.5802	3.0969
3.5777	3.0920
3.5753	3.0874
3.5728	3.0832
3.5704	3.0796
3.5679	3.0767
3.5654	3.0732
3.5630	3.0696
3.5605	3.0654
3.5581	3.0601
3.5557	3.0539
3.5532	3.0483
3.5508	3.0434
3.5484	3.0391
3.5459	3.0349
3.5435	3.0317
3.5411	3.0283
3.5387	3.0239
3.5363	3.0190
3.5338	3.0139
3.5314	3.0083
3.5290	3.0015
3.5266	2.9949
3.5242	2.9888
3.5218	2.9827
3.5195	2.9773
3.5171	2.9729
3.5147	2.9685
3.5123	2.9639
3.5099	2.9585
3.5075	2.9534
3.5052	2.9485
3.5028	2.9438
3.5004	2.9397
3.4981	2.9351
3.4957	2.9297
3.4934	2.9238
3.4910	2.9172
3.4887	2.9109
3.4863	2.9050
3.4840	2.8999
3.4816	2.8960
3.4793	2.8918
3.4770	2.8882
3.4746	2.8852
3.4723	2.8823
3.4700	2.8782
3.4677	2.8728
3.4653	2.8672
3.4630	2.8611
3.4607	2.8547
3.4584	2.8489
3.4561	2.8440
3.4538	2.8393
3.4515	2.8337
3.4492	2.8276
3.4469	2.8213
3.4446	2.8154
3.4423	2.8105
3.4400	2.8064
3.4378	2.8022
3.4355	2.7983
3.4332	2.7942
3.4309	2.7893
3.4287	2.7834
3.4264	2.7778
3.4241	2.7727
3.4219	2.7671
3.4196	2.7612
3.4174	2.7556
3.4151	2.7497
3.4129	2.7436
3.4106	2.7373
3.4084	2.7319
3.4061	2.7278
3.4039	2.7244
3.4017	2.7212
3.3994	2.7183
3.3972	2.7148
3.3950	2.7104
3.3928	2.7053
3.3906	2.6992
3.3883	2.6936
3.3861	2.6880
3.3839	2.6824
3.3817	2.6770
3.3795	2.6724
3.3773	2.6682
3.3751	2.6645
3.3729	2.6604
3.3707	2.6565
