Name:  ALHA 77216
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L3
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77216
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM 
 ALHA 77216.00.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

12.373	1.6189
12.343	1.6150
12.314	1.5903
12.285	1.5242
12.256	1.5173
12.227	1.4812
12.198	1.4231
12.169	1.3904
12.141	1.3584
12.113	1.3098
12.084	1.2332
12.056	1.1540
12.028	1.1235
12.000	1.0923
11.973	1.0229
11.945	0.99000
11.918	0.96090
11.890	0.95310
11.863	0.98190
11.836	0.99170
11.809	0.99100
11.782	1.0051
11.755	0.99830
11.729	0.98190
11.702	0.97830
11.676	0.98970
11.650	1.0046
11.624	1.0105
11.598	1.0207
11.572	1.0366
11.546	1.0496
11.520	1.0649
11.495	1.0923
11.469	1.1106
11.444	1.1094
11.419	1.1099
11.394	1.1230
11.369	1.1340
11.344	1.1350
11.319	1.1201
11.294	1.1008
11.270	1.1287
11.245	1.1326
11.221	1.0950
11.197	1.0623
11.173	1.0503
11.149	1.0666
11.125	1.0684
11.101	1.0637
11.077	1.0498
11.054	1.0405
11.030	1.0310
11.007	1.0259
10.983	1.0410
10.960	1.0491
10.937	1.0586
10.914	1.0647
10.891	1.0713
10.868	1.0837
10.846	1.0837
10.823	1.0915
10.800	1.1108
10.778	1.1057
10.755	1.1313
10.733	1.1562
10.711	1.1421
10.689	1.1260
10.667	1.1250
10.645	1.1111
10.623	1.0886
10.602	1.0832
10.580	1.0911
10.558	1.0806
10.537	1.0315
10.516	0.97630
10.494	0.94920
10.473	0.94460
10.452	0.94870
10.431	0.92990
10.410	0.90480
10.389	0.89140
10.368	0.88600
10.348	0.87550
10.327	0.85740
10.306	0.84990
10.286	0.84670
10.266	0.84790
10.245	0.85280
10.225	0.86010
10.205	0.85230
10.185	0.84280
10.165	0.82790
10.145	0.81840
10.125	0.81180
10.106	0.80320
10.086	0.79910
10.066	0.78470
10.047	0.77880
10.027	0.78440
10.008	0.77370
9.9887	0.76170
9.9695	0.76340
9.9504	0.76930
9.9313	0.76220
9.9123	0.74900
9.8934	0.74560
9.8746	0.74580
9.8558	0.73800
9.8371	0.73100
9.8185	0.73070
9.7999	0.71680
9.7814	0.70920
9.7630	0.72120
9.7447	0.72340
9.7264	0.72730
9.7082	0.73340
9.6900	0.74800
9.6719	0.76490
9.6539	0.77440
9.6360	0.78640
9.6181	0.78690
9.6003	0.80080
9.5825	0.82180
9.5649	0.83350
9.5472	0.82980
9.5297	0.83080
9.5122	0.82620
9.4948	0.84330
9.4774	0.86620
9.4601	0.85770
9.4429	0.84550
9.4257	0.84720
9.4086	0.84520
9.3916	0.83760
9.3746	0.84080
9.3577	0.82490
9.3408	0.81570
9.3240	0.81400
9.3073	0.80030
9.2906	0.77250
9.2740	0.77070
9.2574	0.77420
9.2409	0.75610
9.2245	0.76240
9.2081	0.76100
9.1918	0.73730
9.1755	0.74070
9.1593	0.75150
9.1431	0.76440
9.1270	0.76420
9.1110	0.75340
9.0950	0.75490
9.0791	0.75880
9.0632	0.76120
9.0474	0.75440
9.0316	0.76150
9.0159	0.77050
9.0003	0.76290
8.9847	0.76050
8.9691	0.75830
8.9536	0.74340
8.9382	0.72900
8.9228	0.71830
8.9075	0.71950
8.8922	0.72830
8.8770	0.72510
8.8618	0.71510
8.8467	0.70020
8.8316	0.69900
8.8166	0.69560
8.8016	0.68770
8.7867	0.66750
8.7718	0.66140
8.7570	0.66530
8.7422	0.67460
8.7275	0.67990
8.7129	0.68410
8.6982	0.67820
8.6837	0.67040
8.6692	0.67360
8.6547	0.66970
8.6403	0.67360
8.6259	0.68040
8.6116	0.68240
8.5973	0.68870
8.5830	0.69600
8.5688	0.72220
8.5547	0.73440
8.5406	0.72610
8.5266	0.73930
8.5126	0.76510
8.4986	0.78420
8.4847	0.81400
8.4708	0.84810
8.4570	0.86670
8.4432	0.90010
8.4295	0.92480
8.4158	0.95560
8.4022	0.99290
8.3886	1.0256
8.3750	1.0720
8.3615	1.1121
8.3481	1.1492
8.3347	1.1965
8.3213	1.2507
8.3079	1.3057
8.2946	1.3564
8.2814	1.4092
8.2682	1.4548
8.2550	1.5034
8.2419	1.5620
8.2288	1.6162
8.2158	1.6562
8.2028	1.6951
8.1898	1.7339
8.1769	1.7825
8.1640	1.8242
8.1512	1.8552
8.1384	1.8979
8.1256	1.9402
8.1129	1.9724
8.1002	2.0034
8.0876	2.0308
8.0750	2.0637
8.0624	2.1079
8.0499	2.1467
8.0374	2.1699
8.0250	2.2002
8.0126	2.2417
8.0002	2.2634
7.9879	2.2910
7.9756	2.3293
7.9634	2.3511
7.9512	2.3777
7.9390	2.4155
7.9268	2.4429
7.9147	2.4590
7.9027	2.4866
7.8906	2.5122
7.8786	2.5210
7.8667	2.5425
7.8548	2.5725
7.8429	2.5952
7.8310	2.6069
