Name:  Karoonda3
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  C4 (CV/CO)
Particle Size:  0-75 micrometers
Sample No.:  Karoonda3
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Australia in 1930.  Smithsonian sample No. 
USNM 5936 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

4.6915	1.9858
4.6873	1.9853
4.6831	1.9866
4.6788	1.9878
4.6746	1.9875
4.6704	1.9868
4.6662	1.9880
4.6620	1.9888
4.6578	1.9883
4.6536	1.9861
4.6495	1.9858
4.6453	1.9853
4.6411	1.9849
4.6370	1.9873
4.6328	1.9905
4.6287	1.9910
4.6246	1.9897
4.6205	1.9893
4.6163	1.9895
4.6122	1.9910
4.6081	1.9910
4.6040	1.9905
4.6000	1.9910
4.5959	1.9912
4.5918	1.9912
4.5877	1.9902
4.5837	1.9907
4.5796	1.9929
4.5756	1.9936
4.5716	1.9905
4.5675	1.9907
4.5635	1.9924
4.5595	1.9927
4.5555	1.9924
4.5515	1.9912
4.5475	1.9927
4.5435	1.9944
4.5395	1.9927
4.5356	1.9929
4.5316	1.9963
4.5276	1.9954
4.5237	1.9932
4.5197	1.9946
4.5158	1.9958
4.5119	1.9956
4.5080	1.9961
4.5040	1.9961
4.5001	1.9958
4.4962	1.9980
4.4923	1.9971
4.4884	1.9949
4.4846	1.9963
4.4807	1.9985
4.4768	1.9980
4.4730	1.9961
4.4691	1.9980
4.4652	2.0012
4.4614	1.9998
4.4576	1.9976
4.4537	1.9998
4.4499	2.0007
4.4461	1.9998
4.4423	2.0005
4.4385	2.0019
4.4347	2.0007
4.4309	1.9993
4.4271	2.0015
4.4233	2.0027
4.4196	2.0041
4.4158	2.0056
4.4120	2.0037
4.4083	2.0037
4.4045	2.0032
4.4008	2.0027
4.3971	2.0049
4.3934	2.0059
4.3896	2.0046
4.3859	2.0041
4.3822	2.0041
4.3785	2.0051
4.3748	2.0034
4.3711	2.0019
4.3674	2.0019
4.3638	2.0027
4.3601	2.0015
4.3564	2.0010
4.3528	2.0022
4.3491	2.0012
4.3455	1.9995
4.3418	2.0000
4.3382	1.9963
4.3346	1.9919
4.3310	1.9905
4.3273	1.9895
4.3237	1.9868
4.3201	1.9851
4.3165	1.9819
4.3129	1.9756
4.3094	1.9697
4.3058	1.9683
4.3022	1.9624
4.2986	1.9551
4.2951	1.9517
4.2915	1.9480
4.2880	1.9448
4.2844	1.9416
4.2809	1.9365
4.2774	1.9331
4.2738	1.9333
4.2703	1.9326
4.2668	1.9329
4.2633	1.9338
4.2598	1.9360
4.2563	1.9390
4.2528	1.9392
4.2493	1.9392
4.2458	1.9404
4.2424	1.9441
4.2389	1.9458
4.2354	1.9465
4.2320	1.9512
4.2285	1.9575
4.2251	1.9639
4.2216	1.9690
4.2182	1.9729
4.2148	1.9773
4.2113	1.9827
4.2079	1.9875
4.2045	1.9927
4.2011	1.9932
4.1977	1.9946
4.1943	1.9956
4.1909	1.9954
4.1875	1.9956
4.1841	1.9946
4.1808	1.9968
4.1774	1.9998
4.1740	2.0002
4.1707	1.9963
4.1673	1.9946
4.1640	1.9958
4.1606	1.9966
4.1573	1.9963
4.1540	1.9968
4.1506	1.9956
4.1473	1.9941
4.1440	1.9951
4.1407	1.9946
4.1374	1.9934
4.1341	1.9914
4.1308	1.9927
4.1275	1.9927
4.1242	1.9924
4.1209	1.9929
4.1177	1.9910
4.1144	1.9924
4.1111	1.9924
4.1079	1.9910
4.1046	1.9905
4.1014	1.9919
4.0981	1.9912
4.0949	1.9895
4.0917	1.9893
4.0884	1.9888
4.0852	1.9897
4.0820	1.9900
4.0788	1.9885
4.0756	1.9895
4.0724	1.9890
4.0692	1.9880
4.0660	1.9875
4.0628	1.9883
4.0596	1.9893
4.0565	1.9897
4.0533	1.9895
4.0501	1.9873
4.0470	1.9875
4.0438	1.9888
4.0406	1.9888
4.0375	1.9880
4.0344	1.9853
4.0312	1.9834
4.0281	1.9846
4.0250	1.9868
4.0218	1.9853
4.0187	1.9836
4.0156	1.9880
4.0125	1.9875
4.0094	1.9844
4.0063	1.9849
4.0032	1.9875
4.0001	1.9851
3.9970	1.9836
3.9940	1.9844
3.9909	1.9831
3.9878	1.9822
3.9847	1.9829
3.9817	1.9844
3.9786	1.9834
3.9756	1.9802
3.9725	1.9817
3.9695	1.9831
3.9665	1.9817
3.9634	1.9805
3.9604	1.9797
3.9574	1.9792
3.9544	1.9797
3.9513	1.9810
3.9483	1.9805
3.9453	1.9802
3.9423	1.9795
3.9393	1.9783
3.9363	1.9802
3.9333	1.9802
3.9304	1.9792
3.9274	1.9788
3.9244	1.9780
3.9214	1.9773
3.9185	1.9780
3.9155	1.9785
3.9126	1.9802
3.9096	1.9817
3.9067	1.9819
3.9037	1.9805
3.9008	1.9792
3.8979	1.9807
3.8949	1.9802
3.8920	1.9780
3.8891	1.9785
3.8862	1.9766
3.8833	1.9766
3.8804	1.9773
3.8775	1.9785
3.8746	1.9778
3.8717	1.9763
3.8688	1.9763
3.8659	1.9788
3.8630	1.9795
3.8601	1.9792
3.8573	1.9792
3.8544	1.9802
3.8515	1.9797
3.8487	1.9792
3.8458	1.9773
3.8430	1.9785
3.8401	1.9770
3.8373	1.9724
3.8344	1.9729
3.8316	1.9756
3.8288	1.9748
3.8259	1.9748
3.8231	1.9734
3.8203	1.9741
3.8175	1.9744
3.8147	1.9736
3.8119	1.9734
3.8091	1.9727
3.8063	1.9719
3.8035	1.9717
3.8007	1.9741
3.7979	1.9744
3.7951	1.9707
3.7924	1.9697
3.7896	1.9705
3.7868	1.9697
3.7841	1.9709
3.7813	1.9751
3.7785	1.9746
3.7758	1.9729
3.7730	1.9727
3.7703	1.9714
3.7676	1.9714
3.7648	1.9714
3.7621	1.9705
3.7594	1.9705
3.7566	1.9687
3.7539	1.9683
3.7512	1.9690
3.7485	1.9692
3.7458	1.9714
3.7431	1.9700
3.7404	1.9675
3.7377	1.9668
3.7350	1.9692
3.7323	1.9683
3.7296	1.9651
3.7269	1.9634
3.7242	1.9634
3.7216	1.9641
3.7189	1.9653
3.7162	1.9656
3.7136	1.9631
3.7109	1.9597
3.7083	1.9597
3.7056	1.9612
3.7030	1.9604
3.7003	1.9587
3.6977	1.9565
3.6950	1.9560
3.6924	1.9570
3.6898	1.9558
3.6872	1.9560
3.6845	1.9587
3.6819	1.9573
3.6793	1.9524
3.6767	1.9521
3.6741	1.9539
3.6715	1.9553
3.6689	1.9534
3.6663	1.9517
3.6637	1.9519
3.6611	1.9524
3.6585	1.9546
3.6560	1.9524
3.6534	1.9497
3.6508	1.9497
3.6482	1.9517
3.6457	1.9477
3.6431	1.9470
3.6406	1.9475
3.6380	1.9487
3.6355	1.9475
3.6329	1.9451
3.6304	1.9463
3.6278	1.9465
3.6253	1.9465
3.6227	1.9458
3.6202	1.9414
3.6177	1.9392
3.6152	1.9431
3.6127	1.9453
3.6101	1.9456
3.6076	1.9426
3.6051	1.9404
3.6026	1.9421
3.6001	1.9421
3.5976	1.9382
3.5951	1.9375
3.5926	1.9382
3.5901	1.9363
3.5876	1.9355
3.5852	1.9382
3.5827	1.9355
3.5802	1.9368
3.5777	1.9373
3.5753	1.9348
3.5728	1.9338
3.5704	1.9326
3.5679	1.9324
3.5654	1.9326
3.5630	1.9319
3.5605	1.9307
3.5581	1.9282
3.5557	1.9294
3.5532	1.9311
3.5508	1.9282
3.5484	1.9285
3.5459	1.9297
3.5435	1.9294
3.5411	1.9270
3.5387	1.9241
3.5363	1.9243
3.5338	1.9250
3.5314	1.9238
3.5290	1.9238
3.5266	1.9246
3.5242	1.9219
3.5218	1.9216
3.5195	1.9224
3.5171	1.9185
3.5147	1.9148
3.5123	1.9158
3.5099	1.9163
3.5075	1.9163
3.5052	1.9143
3.5028	1.9109
3.5004	1.9121
3.4981	1.9150
3.4957	1.9143
3.4934	1.9133
3.4910	1.9111
3.4887	1.9106
3.4863	1.9143
3.4840	1.9141
3.4816	1.9111
3.4793	1.9114
3.4770	1.9106
3.4746	1.9084
3.4723	1.9080
3.4700	1.9099
3.4677	1.9116
3.4653	1.9114
3.4630	1.9123
3.4607	1.9114
3.4584	1.9077
3.4561	1.9067
3.4538	1.9094
3.4515	1.9089
3.4492	1.9055
3.4469	1.9036
3.4446	1.9028
3.4423	1.9040
3.4400	1.9019
3.4378	1.9001
3.4355	1.8979
3.4332	1.8984
3.4309	1.8977
3.4287	1.8965
3.4264	1.8950
3.4241	1.8928
3.4219	1.8906
3.4196	1.8899
3.4174	1.8887
3.4151	1.8872
3.4129	1.8887
3.4106	1.8889
3.4084	1.8884
3.4061	1.8882
3.4039	1.8892
3.4017	1.8894
3.3994	1.8882
