Name:  Olivenza
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  Olivenza
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1924.  Smithsonian sample No. USNM 5955.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

3.9155	6.8342
3.9126	6.8354
3.9096	6.8359
3.9067	6.8362
3.9037	6.8364
3.9008	6.8364
3.8979	6.8367
3.8949	6.8371
3.8920	6.8379
3.8891	6.8388
3.8862	6.8398
3.8833	6.8406
3.8804	6.8410
3.8775	6.8410
3.8746	6.8410
3.8717	6.8408
3.8688	6.8410
3.8659	6.8418
3.8630	6.8425
3.8601	6.8437
3.8573	6.8447
3.8544	6.8457
3.8515	6.8462
3.8487	6.8464
3.8458	6.8467
3.8430	6.8464
3.8401	6.8464
3.8373	6.8462
3.8344	6.8462
3.8316	6.8462
3.8288	6.8462
3.8259	6.8462
3.8231	6.8462
3.8203	6.8462
3.8175	6.8459
3.8147	6.8459
3.8119	6.8454
3.8091	6.8450
3.8063	6.8442
3.8035	6.8432
3.8007	6.8428
3.7979	6.8425
3.7951	6.8432
3.7924	6.8445
3.7896	6.8459
3.7868	6.8476
3.7841	6.8489
3.7813	6.8491
3.7785	6.8486
3.7758	6.8476
3.7730	6.8462
3.7703	6.8450
3.7676	6.8442
3.7648	6.8437
3.7621	6.8440
3.7594	6.8440
3.7566	6.8442
3.7539	6.8437
3.7512	6.8430
3.7485	6.8418
3.7458	6.8403
3.7431	6.8388
3.7404	6.8376
3.7377	6.8371
3.7350	6.8369
3.7323	6.8374
3.7296	6.8376
3.7269	6.8379
3.7242	6.8374
3.7216	6.8362
3.7189	6.8342
3.7162	6.8318
3.7136	6.8291
3.7109	6.8269
3.7083	6.8249
3.7056	6.8237
3.7030	6.8230
3.7003	6.8220
3.6977	6.8205
3.6950	6.8188
3.6924	6.8164
3.6898	6.8137
3.6872	6.8110
3.6845	6.8086
3.6819	6.8066
3.6793	6.8047
3.6767	6.8030
3.6741	6.8013
3.6715	6.7998
3.6689	6.7981
3.6663	6.7969
3.6637	6.7954
3.6611	6.7944
3.6585	6.7937
3.6560	6.7927
3.6534	6.7920
3.6508	6.7910
3.6482	6.7900
3.6457	6.7890
3.6431	6.7883
3.6406	6.7876
3.6380	6.7871
3.6355	6.7866
3.6329	6.7859
3.6304	6.7842
3.6278	6.7817
3.6253	6.7785
3.6227	6.7744
3.6202	6.7702
3.6177	6.7663
3.6152	6.7629
3.6127	6.7605
3.6101	6.7588
3.6076	6.7576
3.6051	6.7563
3.6026	6.7554
3.6001	6.7541
3.5976	6.7524
3.5951	6.7507
3.5926	6.7488
3.5901	6.7463
3.5876	6.7436
3.5852	6.7407
3.5827	6.7375
3.5802	6.7341
3.5777	6.7307
3.5753	6.7273
3.5728	6.7239
3.5704	6.7207
3.5679	6.7175
3.5654	6.7143
3.5630	6.7112
3.5605	6.7077
3.5581	6.7043
3.5557	6.7007
3.5532	6.6970
3.5508	6.6933
3.5484	6.6899
3.5459	6.6863
3.5435	6.6826
3.5411	6.6792
3.5387	6.6755
3.5363	6.6719
3.5338	6.6680
3.5314	6.6631
3.5290	6.6570
3.5266	6.6494
3.5242	6.6396
3.5218	6.6274
3.5195	6.6128
3.5171	6.5957
3.5147	6.5766
3.5123	6.5564
3.5099	6.5366
3.5075	6.5180
3.5052	6.5029
3.5028	6.4919
3.5004	6.4856
3.4981	6.4841
3.4957	6.4868
3.4934	6.4919
3.4910	6.4985
3.4887	6.5049
3.4863	6.5102
3.4840	6.5139
3.4816	6.5161
3.4793	6.5168
3.4770	6.5163
3.4746	6.5149
3.4723	6.5129
3.4700	6.5105
3.4677	6.5073
3.4653	6.5039
3.4630	6.4997
3.4607	6.4951
3.4584	6.4900
3.4561	6.4839
3.4538	6.4770
3.4515	6.4687
3.4492	6.4592
3.4469	6.4487
3.4446	6.4377
3.4423	6.4263
3.4400	6.4150
3.4378	6.4038
3.4355	6.3916
3.4332	6.3777
3.4309	6.3616
3.4287	6.3428
3.4264	6.3222
3.4241	6.3008
3.4219	6.2807
3.4196	6.2641
3.4174	6.2524
3.4151	6.2471
3.4129	6.2478
3.4106	6.2546
3.4084	6.2661
3.4061	6.2815
3.4039	6.2988
3.4017	6.3169
3.3994	6.3345
3.3972	6.3496
3.3950	6.3613
3.3928	6.3689
3.3906	6.3718
3.3883	6.3706
3.3861	6.3657
3.3839	6.3589
3.3817	6.3515
3.3795	6.3457
3.3773	6.3423
3.3751	6.3428
