Name:  New Concord
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1960.  Smithsonian sample without a catalog 
number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

5.9383	4.2773
5.9315	4.3003
5.9247	4.3232
5.9180	4.3435
5.9112	4.3611
5.9045	4.3760
5.8978	4.3889
5.8911	4.4016
5.8844	4.4145
5.8777	4.4294
5.8711	4.4458
5.8644	4.4614
5.8578	4.4751
5.8512	4.4868
5.8446	4.4966
5.8380	4.5066
5.8314	4.5185
5.8249	4.5344
5.8184	4.5552
5.8118	4.5793
5.8053	4.6033
5.7988	4.6240
5.7923	4.6399
5.7859	4.6501
5.7794	4.6555
5.7730	4.6577
5.7666	4.6587
5.7602	4.6587
5.7538	4.6562
5.7474	4.6506
5.7410	4.6406
5.7347	4.6262
5.7283	4.6081
5.7220	4.5881
5.7157	4.5676
5.7094	4.5471
5.7031	4.5271
5.6969	4.5068
5.6906	4.4863
5.6844	4.4663
5.6782	4.4475
5.6719	4.4309
5.6657	4.4187
5.6596	4.4111
5.6534	4.4094
5.6472	4.4138
5.6411	4.4253
5.6349	4.4441
5.6288	4.4692
5.6227	4.5002
5.6166	4.5356
5.6106	4.5737
5.6045	4.6130
5.5984	4.6528
5.5924	4.6924
5.5864	4.7309
5.5804	4.7678
5.5744	4.8025
5.5684	4.8340
5.5624	4.8616
5.5564	4.8855
5.5505	4.9057
5.5445	4.9224
5.5386	4.9360
5.5327	4.9473
5.5268	4.9560
5.5209	4.9626
5.5151	4.9675
5.5092	4.9712
5.5033	4.9741
5.4975	4.9761
5.4917	4.9780
5.4859	4.9802
5.4801	4.9824
5.4743	4.9863
5.4685	4.9924
5.4628	5.0012
5.4570	5.0127
5.4513	5.0259
5.4455	5.0400
5.4398	5.0552
5.4341	5.0703
5.4284	5.0859
5.4228	5.1033
5.4171	5.1221
5.4114	5.1426
5.4058	5.1636
5.4002	5.1848
5.3945	5.2053
5.3889	5.2244
5.3833	5.2417
5.3778	5.2568
5.3722	5.2698
5.3666	5.2812
5.3611	5.2917
5.3555	5.3017
5.3500	5.3120
5.3445	5.3220
5.3390	5.3301
5.3335	5.3354
5.3280	5.3376
5.3225	5.3369
5.3171	5.3340
5.3116	5.3298
5.3062	5.3257
5.3008	5.3218
5.2954	5.3179
5.2900	5.3132
5.2846	5.3083
5.2792	5.3030
5.2738	5.2973
5.2684	5.2922
5.2631	5.2883
5.2578	5.2859
5.2524	5.2851
5.2471	5.2861
5.2418	5.2878
5.2365	5.2900
5.2312	5.2927
5.2260	5.2964
5.2207	5.3003
5.2154	5.3039
5.2102	5.3066
5.2050	5.3083
5.1998	5.3083
5.1945	5.3076
5.1893	5.3074
5.1842	5.3083
5.1790	5.3108
5.1738	5.3147
5.1686	5.3198
5.1635	5.3266
5.1584	5.3352
5.1532	5.3459
5.1481	5.3584
5.1430	5.3723
5.1379	5.3872
5.1328	5.4023
5.1277	5.4175
5.1227	5.4321
5.1176	5.4463
5.1126	5.4595
5.1075	5.4712
5.1025	5.4817
5.0975	5.4927
5.0925	5.5044
5.0875	5.5168
5.0825	5.5295
5.0775	5.5420
5.0726	5.5537
5.0676	5.5644
5.0627	5.5749
5.0577	5.5859
5.0528	5.5976
5.0479	5.6094
5.0430	5.6199
5.0380	5.6296
5.0332	5.6379
5.0283	5.6450
5.0234	5.6511
5.0185	5.6565
5.0137	5.6621
5.0088	5.6672
5.0040	5.6719
4.9992	5.6758
4.9944	5.6799
4.9896	5.6843
4.9848	5.6899
4.9800	5.6973
4.9752	5.7073
4.9704	5.7190
4.9657	5.7322
4.9609	5.7471
4.9562	5.7637
4.9514	5.7820
4.9467	5.8017
4.9420	5.8230
4.9373	5.8450
4.9326	5.8672
4.9279	5.8894
4.9232	5.9111
4.9186	5.9328
4.9139	5.9538
4.9092	5.9736
4.9046	5.9919
4.9000	6.0102
4.8953	6.0281
4.8907	6.0454
4.8861	6.0615
4.8815	6.0766
4.8769	6.0901
4.8723	6.1018
4.8678	6.1128
4.8632	6.1245
4.8586	6.1369
4.8541	6.1499
4.8495	6.1631
4.8450	6.1758
4.8405	6.1880
4.8360	6.1999
4.8315	6.2121
4.8270	6.2251
4.8225	6.2388
4.8180	6.2529
4.8135	6.2673
4.8090	6.2810
4.8046	6.2939
4.8001	6.3074
4.7957	6.3205
4.7913	6.3345
4.7868	6.3486
4.7824	6.3628
4.7780	6.3767
4.7736	6.3894
