Name:  TIL 82402
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  TIL 82402
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1982.  Smithsonian sample No. TIL 
82402.05.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

6.4399	4.6418
6.4320	4.6399
6.4240	4.6374
6.4160	4.6352
6.4081	4.6333
6.4002	4.6323
6.3923	4.6301
6.3844	4.6262
6.3766	4.6203
6.3687	4.6120
6.3609	4.6023
6.3531	4.5920
6.3454	4.5832
6.3376	4.5766
6.3299	4.5713
6.3221	4.5666
6.3144	4.5627
6.3068	4.5586
6.2991	4.5539
6.2914	4.5486
6.2838	4.5432
6.2762	4.5383
6.2686	4.5339
6.2611	4.5300
6.2535	4.5264
6.2460	4.5229
6.2385	4.5188
6.2310	4.5139
6.2235	4.5088
6.2160	4.5032
6.2086	4.4971
6.2011	4.4905
6.1937	4.4834
6.1863	4.4758
6.1790	4.4683
6.1716	4.4614
6.1643	4.4565
6.1570	4.4531
6.1496	4.4499
6.1424	4.4446
6.1351	4.4360
6.1278	4.4236
6.1206	4.4072
6.1134	4.3877
6.1062	4.3662
6.0990	4.3430
6.0918	4.3169
6.0847	4.2871
6.0776	4.2537
6.0704	4.2178
6.0633	4.1819
6.0563	4.1477
6.0492	4.1179
6.0421	4.0950
6.0351	4.0793
6.0281	4.0705
6.0211	4.0681
6.0141	4.0718
6.0071	4.0801
6.0002	4.0915
5.9932	4.1057
5.9863	4.1230
5.9794	4.1423
5.9725	4.1626
5.9657	4.1824
5.9588	4.2012
5.9520	4.2185
5.9451	4.2346
5.9383	4.2502
5.9315	4.2663
5.9247	4.2829
5.9180	4.2988
5.9112	4.3135
5.9045	4.3264
5.8978	4.3386
5.8911	4.3501
5.8844	4.3620
5.8777	4.3750
5.8711	4.3891
5.8644	4.4026
5.8578	4.4153
5.8512	4.4267
5.8446	4.4368
5.8380	4.4451
5.8314	4.4526
5.8249	4.4604
5.8184	4.4690
5.8118	4.4780
5.8053	4.4863
5.7988	4.4917
5.7923	4.4936
5.7859	4.4917
5.7794	4.4853
5.7730	4.4761
5.7666	4.4648
5.7602	4.4524
5.7538	4.4380
5.7474	4.4209
5.7410	4.4018
5.7347	4.3806
5.7283	4.3572
5.7220	4.3320
5.7157	4.3064
5.7094	4.2808
5.7031	4.2556
5.6969	4.2312
5.6906	4.2092
5.6844	4.1897
5.6782	4.1733
5.6719	4.1609
5.6657	4.1536
5.6596	4.1518
5.6534	4.1565
5.6472	4.1670
5.6411	4.1826
5.6349	4.2029
5.6288	4.2266
5.6227	4.2532
5.6166	4.2815
5.6106	4.3115
5.6045	4.3425
5.5984	4.3735
5.5924	4.4031
5.5864	4.4314
5.5804	4.4575
5.5744	4.4807
5.5684	4.5010
5.5624	4.5183
5.5564	4.5334
5.5505	4.5461
5.5445	4.5571
5.5386	4.5664
5.5327	4.5745
5.5268	4.5808
5.5209	4.5854
5.5151	4.5891
5.5092	4.5923
5.5033	4.5952
5.4975	4.5986
5.4917	4.6030
5.4859	4.6081
5.4801	4.6147
5.4743	4.6225
5.4685	4.6308
5.4628	4.6404
5.4570	4.6514
5.4513	4.6633
5.4455	4.6760
5.4398	4.6899
5.4341	4.7043
5.4284	4.7187
5.4228	4.7329
5.4171	4.7473
5.4114	4.7617
5.4058	4.7766
5.4002	4.7912
5.3945	4.8061
5.3889	4.8205
5.3833	4.8342
5.3778	4.8467
5.3722	4.8577
5.3666	4.8677
5.3611	4.8769
5.3555	4.8848
5.3500	4.8909
5.3445	4.8953
5.3390	4.8982
5.3335	4.9004
5.3280	4.9014
5.3225	4.9023
