Name:  Murray
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CM2
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Kentucky in 1950.  Arizona State University 
sample No. 635.2 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

3.9304	1.6919
3.9274	1.6916
3.9244	1.6914
3.9214	1.6909
3.9185	1.6907
3.9155	1.6902
3.9126	1.6899
3.9096	1.6892
3.9067	1.6885
3.9037	1.6875
3.9008	1.6863
3.8979	1.6848
3.8949	1.6833
3.8920	1.6821
3.8891	1.6809
3.8862	1.6802
3.8833	1.6794
3.8804	1.6790
3.8775	1.6785
3.8746	1.6777
3.8717	1.6765
3.8688	1.6753
3.8659	1.6741
3.8630	1.6726
3.8601	1.6714
3.8573	1.6702
3.8544	1.6692
3.8515	1.6682
3.8487	1.6672
3.8458	1.6665
3.8430	1.6655
3.8401	1.6648
3.8373	1.6643
3.8344	1.6636
3.8316	1.6631
3.8288	1.6623
3.8259	1.6614
3.8231	1.6602
3.8203	1.6587
3.8175	1.6575
3.8147	1.6562
3.8119	1.6553
3.8091	1.6550
3.8063	1.6550
3.8035	1.6553
3.8007	1.6553
3.7979	1.6553
3.7951	1.6545
3.7924	1.6536
3.7896	1.6521
3.7868	1.6504
3.7841	1.6487
3.7813	1.6470
3.7785	1.6455
3.7758	1.6440
3.7730	1.6431
3.7703	1.6421
3.7676	1.6411
3.7648	1.6399
3.7621	1.6389
3.7594	1.6377
3.7566	1.6365
3.7539	1.6352
3.7512	1.6338
3.7485	1.6321
3.7458	1.6304
3.7431	1.6287
3.7404	1.6269
3.7377	1.6252
3.7350	1.6238
3.7323	1.6226
3.7296	1.6216
3.7269	1.6208
3.7242	1.6201
3.7216	1.6194
3.7189	1.6186
3.7162	1.6179
3.7136	1.6167
3.7109	1.6152
3.7083	1.6138
3.7056	1.6121
3.7030	1.6101
3.7003	1.6082
3.6977	1.6062
3.6950	1.6045
3.6924	1.6028
3.6898	1.6011
3.6872	1.5994
3.6845	1.5979
3.6819	1.5962
3.6793	1.5947
3.6767	1.5933
3.6741	1.5918
3.6715	1.5903
3.6689	1.5889
3.6663	1.5874
3.6637	1.5859
3.6611	1.5847
3.6585	1.5835
3.6560	1.5823
3.6534	1.5815
3.6508	1.5808
3.6482	1.5798
3.6457	1.5791
3.6431	1.5779
3.6406	1.5767
3.6380	1.5749
3.6355	1.5735
3.6329	1.5718
3.6304	1.5701
3.6278	1.5684
3.6253	1.5664
3.6227	1.5647
3.6202	1.5630
3.6177	1.5613
3.6152	1.5596
3.6127	1.5579
3.6101	1.5566
3.6076	1.5554
3.6051	1.5542
3.6026	1.5532
3.6001	1.5522
3.5976	1.5513
3.5951	1.5505
3.5926	1.5493
3.5901	1.5481
3.5876	1.5464
3.5852	1.5444
3.5827	1.5422
3.5802	1.5400
3.5777	1.5381
3.5753	1.5364
3.5728	1.5347
3.5704	1.5332
3.5679	1.5317
3.5654	1.5300
3.5630	1.5283
3.5605	1.5266
3.5581	1.5249
3.5557	1.5232
3.5532	1.5217
3.5508	1.5205
3.5484	1.5195
3.5459	1.5183
3.5435	1.5168
3.5411	1.5154
3.5387	1.5134
3.5363	1.5112
3.5338	1.5088
3.5314	1.5059
3.5290	1.5029
3.5266	1.4998
3.5242	1.4963
3.5218	1.4927
3.5195	1.4890
3.5171	1.4851
3.5147	1.4814
3.5123	1.4778
3.5099	1.4741
3.5075	1.4712
3.5052	1.4683
3.5028	1.4658
3.5004	1.4636
3.4981	1.4614
3.4957	1.4595
3.4934	1.4570
3.4910	1.4543
3.4887	1.4514
3.4863	1.4480
3.4840	1.4443
3.4816	1.4412
3.4793	1.4387
3.4770	1.4370
3.4746	1.4363
3.4723	1.4363
3.4700	1.4365
3.4677	1.4368
3.4653	1.4368
3.4630	1.4358
3.4607	1.4343
3.4584	1.4324
3.4561	1.4302
3.4538	1.4280
3.4515	1.4258
3.4492	1.4233
3.4469	1.4207
3.4446	1.4177
3.4423	1.4145
3.4400	1.4106
3.4378	1.4062
3.4355	1.4019
3.4332	1.3975
3.4309	1.3933
3.4287	1.3896
3.4264	1.3867
3.4241	1.3843
3.4219	1.3818
3.4196	1.3799
3.4174	1.3777
3.4151	1.3757
3.4129	1.3735
3.4106	1.3718
3.4084	1.3701
3.4061	1.3689
3.4039	1.3674
3.4017	1.3662
3.3994	1.3650
3.3972	1.3635
3.3950	1.3618
3.3928	1.3603
3.3906	1.3584
3.3883	1.3567
