Name:  Fluorite CaF2
Type:  Mineral
Class:   Halides
Subclass:    
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  flourite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Donated by Norma Vergo; sample from Bingham, New Mexico.

Description: The sample was a large piece of a transparent single 
crystal and appeared to be pure fluorite.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: flouri1a.txt

5.462755479	7.9353
5.457005076	7.9372
5.451266765	7.9341
5.445540511	7.9326
5.439826274	7.9336
5.434124016	7.9399
5.428433701	7.9392
5.422755291	7.9338
5.417088748	7.935
5.411434035	7.9382
5.405791116	7.9477
5.400159953	7.9533
5.394540509	7.9509
5.388932749	7.9531
5.383336635	7.9609
5.377752132	7.9616
5.372179203	7.9663
5.366617813	7.9736
5.361067925	7.9729
5.355529504	7.9717
5.350002515	7.9717
5.344486921	7.9748
5.338982689	7.9841
5.333492627	7.9944
5.328011006	7.9944
5.32254064	7.9929
5.317081497	7.9958
5.31163354	7.999
5.306196736	7.9985
5.30077105	8.0034
5.295356449	8.009
5.289952898	8.0088
5.284560364	8.0107
5.279178813	8.0176
5.273808212	8.0183
5.268448526	8.0144
5.263099724	8.0193
5.257761771	8.0188
5.252434635	8.0163
5.247118283	8.0193
5.241812682	8.0217
5.236517799	8.02
5.231233603	8.0154
5.225960061	8.02
5.220697141	8.0212
5.21544481	8.0137
5.210203036	8.0137
5.204974498	8.02
5.19975374	8.0207
5.194543444	8.0224
5.189343579	8.0244
5.184154115	8.0202
5.178975019	8.0149
5.173806261	8.0178
5.168647809	8.0178
5.163499634	8.0161
5.158361704	8.0205
5.153233989	8.0234
5.148116459	8.0193
5.143009082	8.0212
5.137911829	8.0285
5.13282467	8.0305
5.127747575	8.029
5.122680514	8.0315
5.117623458	8.0354
5.112576376	8.0359
5.107539239	8.0412
5.102512018	8.042
5.097494683	8.0395
5.092487206	8.0403
5.087489558	8.0481
5.082504292	8.0512
5.077526209	8.0559
5.072557868	8.062
5.06759924	8.0617
5.062650297	8.0635
5.057711011	8.0693
5.052781354	8.0703
5.047861297	8.0688
5.042950812	8.0698
5.038049872	8.0764
5.033158448	8.0783
5.028276513	8.0808
5.023404039	8.0823
5.018541	8.0813
5.013687367	8.0818
5.008843113	8.0842
5.004010715	8.0805
4.999185133	8.0752
4.994368849	8.0735
4.989561837	8.0783
4.984764069	8.0781
4.979975518	8.0762
4.97519616	8.0764
4.970425966	8.0749
4.96566491	8.0708
4.960912967	8.0749
4.95617011	8.0752
4.951436313	8.0705
4.94671155	8.0703
4.941995795	8.0693
4.937289023	8.0632
4.932591209	8.0603
4.927902325	8.0639
4.923222347	8.0654
4.918551251	8.0593
4.913889009	8.0566
4.909235598	8.0566
4.904590991	8.05
4.899955165	8.0466
4.895328095	8.0512
4.890712146	8.053
4.886102507	8.05
4.88150155	8.0515
4.876909249	8.0515
4.87232558	8.0537
4.86775052	8.0566
4.863184043	8.0537
4.858626126	8.0539
4.854076745	8.0561
4.849535875	8.0595
4.845003493	8.0605
4.840479575	8.0593
4.835964098	8.06
4.831457037	8.06
4.826958369	8.0637
4.822468072	8.0683
4.81798612	8.0725
4.813512492	8.0766
4.809047164	8.0803
4.804590113	8.0791
4.800141316	8.0727
4.79570075	8.0749
4.791268392	8.0786
4.78684422	8.0805
4.782430498	8.0742
4.778022625	8.0754
4.773622869	8.081
4.769231209	8.0766
4.764847623	8.0708
4.760472086	8.0759
4.756104579	8.0762
4.751745078	8.0722
4.747393562	8.0776
4.743050009	8.0776
4.738714396	8.0744
4.734386703	8.074
4.730066907	8.0727
4.725754987	8.0666
4.721450921	8.0666
4.717154688	8.0657
4.712866266	8.0635
4.708585635	8.0608
4.704312773	8.0657
4.700047658	8.0613
4.695790271	8.0564
4.691540589	8.0627
4.687298593	8.0654
4.68306426	8.0603
4.67883976	8.0632
4.67462069	8.07
4.670409221	8.0715
4.666205334	8.0735
4.662009009	8.0735
4.657820224	8.0715
4.65363896	8.0732
4.649465195	8.0808
4.645298911	8.0825
4.641140087	8.0832
4.636988702	8.0893
4.632844738	8.0884
4.628708174	8.0908
4.62457899	8.0959
4.620457167	8.0969
4.616342684	8.094
4.612235523	8.0993
4.608135664	8.1047
4.604043086	8.1052
4.599957772	8.105
4.595879702	8.1074
4.591808856	8.1084
4.587745215	8.1072
4.58368876	8.1069
4.57964157	8.1067
4.575599426	8.1052
4.571564412	8.1059
4.567536508	8.1091
4.563515696	8.1084
4.559501956	8.104
4.555495271	8.102
4.551495621	8.1045
4.547502989	8.1076
4.543517355	8.1069
4.539538701	8.1074
4.535567009	8.1086
4.531602261	8.1069
4.527644439	8.1101
4.523693523	8.1072
4.519749497	8.1001
4.515814382	8.0986
4.511884077	8.1052
4.507960608	8.1028
4.504043956	8.1006
4.500134104	8.1052
4.496231034	8.1103
4.492334729	8.1086
4.488445171	8.1067
4.484562343	8.1108
4.480686226	8.113
4.476816804	8.1147
4.47295406	8.1167
4.469097975	8.1157
4.465248534	8.1167
4.461405718	8.1196
4.45756951	8.1216
4.453739894	8.1186
4.449916853	8.1228
4.44610037	8.1306
4.442290427	8.1308
4.438487009	8.1394
4.434690097	8.1494
4.430899676	8.1452
4.42711573	8.1423
4.423340197	8.1467
4.419569145	8.1509
4.415804518	8.1516
4.412046298	8.1518
4.408294471	8.1543
4.404549018	8.1577
4.400809925	8.1621
4.397077175	8.1665
4.393350752	8.164
4.389630639	8.1606
4.385916821	8.1658
4.382209282	8.1677
4.378508006	8.164
4.374812977	8.1633
4.371124179	8.1675
4.367441596	8.166
4.363765214	8.165
4.360095015	8.1692
4.356430985	8.1689
4.352773108	8.1679
4.349121369	8.1684
4.345475751	8.1697
4.341836241	8.1667
4.338202821	8.1687
4.334577357	8.1738
4.330956072	8.1706
4.327340832	8.1638
4.323731623	8.1604
4.320128429	8.1631
4.316531235	8.1633
4.312940028	8.1638
4.30935479	8.1662
4.305775509	8.164
4.302202168	8.1628
4.298634754	8.1606
4.29507325	8.1574
4.291517644	8.1596
4.287967919	8.1636
4.284424062	8.1623
4.280886058	8.1648
4.277353892	8.166
4.27382755	8.1626
4.270307018	8.1587
4.266792281	8.1589
4.263283325	8.164
4.259780136	8.167
4.256282699	8.1694
4.252791	8.178
4.249306832	8.1845
4.245826565	8.187
4.242351994	8.1855
4.238883105	8.1836
4.235419885	8.1845
4.231962319	8.1899
4.228510393	8.1938
4.225064094	8.1899
4.221623408	8.1929
4.218188322	8.2063
4.214758821	8.2082
4.211334892	8.2051
4.207916522	8.209
4.204503696	8.2138
4.201096402	8.2116
4.197694626	8.2099
4.194300114	8.2092
4.190909331	8.206
4.187524026	8.2097
4.184144186	8.2153
4.180769797	8.2121
4.177400846	8.2043
4.174037321	8.2021
4.170679208	8.2048
4.167326493	8.2046
4.163979165	8.2021
4.16063721	8.2009
4.157300615	8.2014
4.153969367	8.2014
4.150643454	8.1909
4.147322862	8.1811
4.144007579	8.1819
4.140697592	8.1875
4.137392888	8.1902
4.134093455	8.1926
4.130799281	8.1933
4.127510352	8.1919
4.124226656	8.1872
4.120948181	8.185
4.117674914	8.1875
4.114408535	8.1885
4.111145645	8.1907
4.107887925	8.1911
4.104635365	8.1943
4.101387951	8.1919
4.098145671	8.1919
4.094908514	8.1963
4.091676466	8.197
4.088449517	8.1982
4.085227653	8.1968
4.082010864	8.197
4.078799136	8.198
4.075592459	8.1999
4.072390819	8.2024
4.069194206	8.2077
4.066002607	8.2109
4.062816011	8.209
4.059634406	8.2041
4.056457779	8.2041
4.053286121	8.2051
4.050119418	8.2029
4.046957659	8.2016
4.043800833	8.2065
4.040648928	8.2046
4.037503563	8.2019
4.034361463	8.2051
4.031224251	8.2102
4.028091913	8.2053
4.024964439	8.1982
4.021841819	8.2002
4.018724039	8.2073
4.01561109	8.2026
4.012502959	8.1955
4.009399637	8.1987
4.00630111	8.197
4.00320737	8.1938
4.000118404	8.1946
3.997034201	8.1948
3.99395475	8.1931
3.990880041	8.1887
3.987810062	8.1845
3.984744803	8.1855
3.981684252	8.1853
3.9786284	8.1831
3.975577234	8.1806
3.972530744	8.1775
3.96948892	8.1809
3.966451751	8.1802
3.963420797	8.1753
3.960392903	8.1787
3.957369631	8.1767
3.954350972	8.175
3.951336915	8.1758
3.948327449	8.1787
3.945322564	8.1831
3.942322249	8.1819
