Name:  Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  beryl.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Maine via Hunt and Salisbury Collection sample 
#180B (purchased from Ward's Natural Science Establishment).
Description: The hand sample was cut and polished along an 
unknown axis.  It was pale green and appeared pure.  Microscopic 
examination showed a small amount (2% or less) of very fine, low 
birefringent material in the sample.  The contaminating grains 
occasionally have rhombic or cubic shape.  These grains were 
unidentifiable.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: beryl1a.txt

6.767823062	90.9148
6.7589991	91.0476
6.750198118	91.1895
6.741420026	91.2849
6.732664735	91.3621
6.723932156	91.4343
6.715226709	91.4678
6.706539278	91.5271
6.697874296	91.6316
6.689231675	91.6914
6.680611329	91.707
6.672013173	91.7988
6.663437121	91.8953
6.654883087	91.959
6.646350987	91.9316
6.637840737	91.8291
6.629352253	91.9404
6.620885451	92.1033
6.612440248	92.2119
6.604016563	92.2888
6.595614312	92.2998
6.587233415	92.3252
6.578873789	92.3152
6.570535354	92.3106
6.56221803	92.4639
6.553921736	92.583
6.545646392	92.6404
6.537391921	92.7537
6.529158241	92.7991
6.520945276	92.7783
6.512757189	92.8193
6.504585407	92.7195
6.496434107	92.4441
6.488303211	92.3838
6.480192643	92.4277
6.472102327	92.405
6.464032186	92.5039
6.455982145	92.6445
6.44795213	92.6931
6.439942066	92.7061
6.431951879	92.7312
6.423981494	92.7644
6.416030838	92.6641
6.408099838	92.7141
6.400188422	92.9578
6.392296516	93.074
6.384424048	93.1318
6.376570948	93.1716
6.368737143	93.1604
6.360922563	93.1973
6.353127136	93.2022
6.345350793	93.0945
6.337593464	93.1152
6.329855078	93.2022
6.322139564	93.2322
6.314438848	93.2371
6.30675687	93.2429
6.29909356	93.2112
6.291448851	93.1521
6.283822676	93.0847
6.276214965	92.9727
6.268625654	92.8447
6.261054675	92.6729
6.253501961	92.5342
6.245967447	92.4607
6.238451067	92.4587
6.230952756	92.4993
6.223472449	92.4802
6.21601008	92.4451
6.208565585	92.3826
6.201142747	92.2717
6.1937338	92.0918
6.186342535	91.8535
6.178968891	91.7051
6.171612803	91.5964
6.164274209	91.3572
6.156953047	91.0752
6.149649255	90.8203
6.14236277	90.4705
6.135093533	90.1179
6.12784148	89.9236
6.120606552	89.9978
6.113388688	90.2395
6.106187828	90.6289
6.099003911	90.9744
6.091836878	91.2207
6.084686669	91.416
6.077553226	91.4802
6.070436489	91.5615
6.063336399	91.7178
6.056252899	91.7608
6.049185931	91.6856
6.042135436	91.8938
6.035101357	92.2256
6.02808727	92.428
6.021085843	92.6201
6.01410066	92.7627
6.007131667	92.9607
6.000178805	93.1306
5.99324202	93.2363
5.986321256	93.3135
5.979416457	93.4434
5.972527568	93.5544
5.965654534	93.5969
5.9587973	93.6882
5.951955813	93.7588
5.945130017	93.7861
5.938319859	93.6921
5.931525286	93.739
5.924746243	93.9392
5.917982678	94.0369
5.911234538	94.1023
5.904501769	94.1082
5.89778432	94.0398
5.891082139	94.0437
5.884395172	94.0955
5.87772337	94.1172
5.871066679	94.2744
5.864428488	94.3709
5.85780186	94.4216
5.851190191	94.4968
5.84459343	94.5059
5.838011527	94.4941
5.831444431	94.4822
5.824892094	94.4363
5.818354465	94.4482
5.811831494	94.5479
5.805323133	94.6306
5.798829332	94.6689
5.792350043	94.707
5.785885217	94.679
5.779434806	94.6875
5.772998761	94.6501
5.766577035	94.6043
5.760169579	94.7009
5.753776347	94.823
5.747397291	94.8428
5.741032364	94.8796
5.734681519	94.905
5.728344709	94.9238
5.722021888	94.9756
5.715713009	94.9746
5.709421287	94.989
5.703140149	95.0671
5.696872816	95.1003
5.690619242	95.1309
5.684379382	95.1604
5.678153192	95.1592
5.671940626	95.1309
5.66574164	95.1816
5.659556189	95.168
5.653384229	95.1721
5.647225716	95.1765
5.641080605	95.125
5.634948854	95.1746
5.628830419	95.2168
5.622725256	95.25
5.616633323	95.2332
5.610557723	95.2568
5.604492113	95.2537
5.598439603	95.2556
5.592400152	95.2615
5.586373717	95.2207
5.580360257	95.1902
5.574359729	95.1667
5.568372092	95.2371
5.562397304	95.2588
5.556435324	95.2625
5.550486112	95.282
5.544549625	95.325
5.538625823	95.3728
5.532714665	95.3818
5.526816112	95.3887
5.520930122	95.3838
5.515056656	95.4216
5.509195674	95.4187
5.503347136	95.4304
5.497511002	95.4163
5.491687233	95.4121
5.48587579	95.4294
5.480076633	95.3984
5.474289725	95.447
5.468518015	95.4844
5.462755479	95.5508
5.457005076	95.6113
5.451266765	95.6375
5.445540511	95.6414
5.439826274	95.6355
5.434124016	95.6553
5.428433701	95.6328
5.422755291	95.6365
5.417088748	95.6377
5.411434035	95.6682
5.405791116	95.7058
5.400159953	95.7058
5.394540509	95.7292
5.388932749	95.6865
5.383336635	95.6865
5.377752132	95.6941
5.372179203	95.7285
5.366617813	95.7402
5.361067925	95.7363
5.355529504	95.7412
5.350002515	95.7283
5.344486921	95.7734
5.338982689	95.7881
5.333492627	95.8508
5.328011006	95.8787
5.32254064	95.865
5.317081497	95.8601
5.31163354	95.8279
5.306196736	95.8333
5.30077105	95.7795
5.295356449	95.7822
5.289952898	95.7732
5.284560364	95.8142
5.279178813	95.8376
5.273808212	95.8181
5.268448526	95.8203
5.263099724	95.8191
5.257761771	95.8369
5.252434635	95.7959
5.247118283	95.7852
5.241812682	95.7461
5.236517799	95.7585
5.231233603	95.7705
5.225960061	95.7458
5.220697141	95.7058
5.21544481	95.6277
5.210203036	95.5996
5.204974498	95.5732
5.19975374	95.572
5.194543444	95.5469
5.189343579	95.5564
5.184154115	95.5759
5.178975019	95.5486
5.173806261	95.572
5.168647809	95.572
5.163499634	95.5906
5.158361704	95.5791
5.153233989	95.5869
5.148116459	95.5867
5.143009082	95.5781
5.137911829	95.5947
5.13282467	95.5967
5.127747575	95.6016
5.122680514	95.5808
5.117623458	95.6211
5.112576376	95.6306
5.107539239	95.6211
5.102512018	95.6328
5.097494683	95.6443
5.092487206	95.6843
5.087489558	95.7107
5.082504292	95.7458
5.077526209	95.7754
5.072557868	95.7871
5.06759924	95.781
5.062650297	95.792
5.057711011	95.8186
5.052781354	95.8406
5.047861297	95.8601
5.042950812	95.8518
5.038049872	95.8728
5.033158448	95.8806
5.028276513	95.8948
5.023404039	95.886
5.018541	95.8865
5.013687367	95.8982
5.008843113	95.9182
5.004010715	95.9143
4.999185133	95.9275
4.994368849	95.9456
4.989561837	95.9641
4.984764069	96.0022
4.979975518	96.0178
4.97519616	96.0129
4.970425966	96.0457
4.96566491	96.0735
4.960912967	96.0901
4.95617011	96.0979
4.951436313	96.1321
4.94671155	96.1472
4.941995795	96.1262
4.937289023	96.1213
4.932591209	96.1155
4.927902325	96.1121
4.923222347	96.1374
4.918551251	96.1736
4.913889009	96.1799
4.909235598	96.1814
4.904590991	96.2126
4.899955165	96.178
4.895328095	96.1565
4.890712146	96.1633
4.886102507	96.1799
4.88150155	96.2131
4.876909249	96.2502
4.87232558	96.2678
4.86775052	96.2898
4.863184043	96.3069
4.858626126	96.2908
4.854076745	96.2712
4.849535875	96.2615
4.845003493	96.2673
4.840479575	96.3054
4.835964098	96.3186
4.831457037	96.3298
4.826958369	96.3347
4.822468072	96.3245
4.81798612	96.3323
4.813512492	96.3474
4.809047164	96.3372
4.804590113	96.3367
4.800141316	96.3528
4.79570075	96.4021
