Name:  Very pale brown to brownish yellow interior dry gravelly silt loam 
Type:  Soils
Class:  Aridisol
Subclass:  Gypsiorthid
Particle Size:  see additional information
Sample No.:  82P2695
Owner:  JHU
Wavelength range:  All
Origin:  Schuamri wildlife reserve on highway Azraq to Saudi Arabia via USDA 
Soil Conservation service.
Description:  from grazed rangeland.  Very pale brown interior dry gravelly silt 
loam to brownish yellow interior moist gravelly silt loam (typic gypsiorthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2695a.txt

5.3778	11.5020
5.3722	11.4090
5.3666	11.3330
5.3611	11.2870
5.3555	11.2810
5.3500	11.3210
5.3445	11.4020
5.3390	11.5120
5.3335	11.6370
5.3280	11.7600
5.3225	11.8680
5.3171	11.9570
5.3116	12.0290
5.3062	12.0940
5.3008	12.1660
5.2954	12.2560
5.2900	12.3730
5.2846	12.5180
5.2792	12.6880
5.2738	12.8730
5.2684	13.0670
5.2631	13.2620
5.2578	13.4550
5.2524	13.6460
5.2471	13.8340
5.2418	14.0210
5.2365	14.2040
5.2312	14.3800
5.2260	14.5450
5.2207	14.6990
5.2154	14.8420
5.2102	14.9740
5.2050	15.0980
5.1998	15.2110
5.1945	15.3110
5.1893	15.3930
5.1842	15.4550
5.1790	15.4940
5.1738	15.5140
5.1686	15.5190
5.1635	15.5160
5.1584	15.5140
5.1532	15.5190
5.1481	15.5360
5.1430	15.5660
5.1379	15.6070
5.1328	15.6520
5.1277	15.6940
5.1227	15.7230
5.1176	15.7380
5.1126	15.7360
5.1075	15.7220
5.1025	15.7020
5.0975	15.6830
5.0925	15.6700
5.0875	15.6660
5.0825	15.6720
5.0775	15.6880
5.0726	15.7100
5.0676	15.7370
5.0627	15.7670
5.0577	15.7940
5.0528	15.8190
5.0479	15.8380
5.0430	15.8500
5.0380	15.8570
5.0332	15.8590
5.0283	15.8620
5.0234	15.8670
5.0185	15.8790
5.0137	15.8990
5.0088	15.9260
5.0040	15.9590
4.9992	15.9970
4.9944	16.0410
4.9896	16.0910
4.9848	16.1540
4.9800	16.2350
4.9752	16.3380
4.9704	16.4630
4.9657	16.6070
4.9609	16.7620
4.9562	16.9170
4.9514	17.0600
4.9467	17.1860
4.9420	17.2930
4.9373	17.3850
4.9326	17.4740
4.9279	17.5680
4.9232	17.6780
4.9186	17.8090
4.9139	17.9610
4.9092	18.1310
4.9046	18.3120
4.9000	18.4960
4.8953	18.6770
4.8907	18.8510
4.8861	19.0110
4.8815	19.1570
4.8769	19.2840
4.8723	19.3910
4.8678	19.4780
4.8632	19.5450
4.8586	19.5940
4.8541	19.6310
4.8495	19.6570
4.8450	19.6770
4.8405	19.6910
4.8360	19.7010
4.8315	19.7020
4.8270	19.6900
4.8225	19.6610
4.8180	19.6120
4.8135	19.5420
4.8090	19.4530
4.8046	19.3500
