Name:  Brown to dark brown gravelly loam 
Type:  Soils
Class:  Alfisol
Subclass:  Haploxeralf
Particle Size:  see additional information
Sample No.:  87P313
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  Brown to dark brown gravelly loam (medial-skeletal, 
frigid ultic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P313a.txt

3.8775	13.3059
3.8746	13.2844
3.8717	13.2553
3.8688	13.2273
3.8659	13.2063
3.8630	13.1789
3.8601	13.1443
3.8573	13.1225
3.8544	13.1008
3.8515	13.0793
3.8487	13.0590
3.8458	13.0495
3.8430	13.0398
3.8401	13.0149
3.8373	12.9878
3.8344	12.9712
3.8316	12.9448
3.8288	12.9172
3.8259	12.8979
3.8231	12.8823
3.8203	12.8557
3.8175	12.8247
3.8147	12.7907
3.8119	12.7617
3.8091	12.7422
3.8063	12.7216
3.8035	12.7036
3.8007	12.6887
3.7979	12.6716
3.7951	12.6482
3.7924	12.6145
3.7896	12.5859
3.7868	12.5612
3.7841	12.5227
3.7813	12.4834
3.7785	12.4597
3.7758	12.4358
3.7730	12.4050
3.7703	12.3825
3.7676	12.3686
3.7648	12.3496
3.7621	12.3205
3.7594	12.2973
3.7566	12.2754
3.7539	12.2505
3.7512	12.2290
3.7485	12.2124
3.7458	12.1950
3.7431	12.1711
3.7404	12.1438
3.7377	12.1198
3.7350	12.0962
3.7323	12.0717
3.7296	12.0405
3.7269	12.0034
3.7242	11.9741
3.7216	11.9480
3.7189	11.9133
3.7162	11.8850
3.7136	11.8691
3.7109	11.8442
3.7083	11.8056
3.7056	11.7585
3.7030	11.7187
3.7003	11.6867
3.6977	11.6469
3.6950	11.6174
3.6924	11.5996
3.6898	11.5739
3.6872	11.5437
3.6845	11.5022
3.6819	11.4602
3.6793	11.4253
3.6767	11.3872
3.6741	11.3493
3.6715	11.3213
3.6689	11.2912
3.6663	11.2566
3.6637	11.2207
3.6611	11.1897
3.6585	11.1587
3.6560	11.1281
3.6534	11.0986
3.6508	11.0800
3.6482	11.0576
3.6457	11.0239
3.6431	10.9883
3.6406	10.9597
3.6380	10.9314
3.6355	10.9048
3.6329	10.8786
3.6304	10.8496
3.6278	10.8186
3.6253	10.7839
3.6227	10.7578
3.6202	10.7343
3.6177	10.7077
3.6152	10.6867
3.6127	10.6606
3.6101	10.6252
3.6076	10.5910
3.6051	10.5556
3.6026	10.5171
3.6001	10.4743
3.5976	10.4336
3.5951	10.4030
3.5926	10.3664
3.5901	10.3308
3.5876	10.2947
3.5852	10.2458
3.5827	10.1921
3.5802	10.1469
3.5777	10.1084
3.5753	10.0803
3.5728	10.0537
3.5704	10.0295
3.5679	9.9948
3.5654	9.9392
3.5630	9.8777
3.5605	9.8181
3.5581	9.7607
3.5557	9.7097
3.5532	9.6582
3.5508	9.6115
3.5484	9.5586
3.5459	9.4968
3.5435	9.4282
3.5411	9.3481
3.5387	9.2619
3.5363	9.1775
3.5338	9.0832
3.5314	8.9900
3.5290	8.8960
3.5266	8.8042
3.5242	8.7114
3.5218	8.5986
3.5195	8.4758
3.5171	8.3498
3.5147	8.2073
3.5123	8.0669
3.5099	7.9416
3.5075	7.8420
3.5052	7.7756
3.5028	7.7295
3.5004	7.7092
3.4981	7.7102
3.4957	7.7119
3.4934	7.7107
3.4910	7.7087
3.4887	7.6990
3.4863	7.6775
3.4840	7.6487
3.4816	7.6228
3.4793	7.5996
3.4770	7.5713
3.4746	7.5383
3.4723	7.5185
3.4700	7.5044
3.4677	7.4743
3.4653	7.4292
3.4630	7.3828
