Name:  Brown sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2410
Owner:  JHU
Wavelength range:  All
Origin:  Llano Co., Tx. via USDA Soil Conservation service.

Description:  The parent material is granitic rock from level or 
undulating plains.  Brown sandy loam (fine, mixed, thermic udic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2410a.txt

3.4723	14.7165
3.4700	14.6540
3.4677	14.5627
3.4653	14.5131
3.4630	14.4629
3.4607	14.3884
3.4584	14.2927
3.4561	14.1894
3.4538	14.0735
3.4515	13.9824
3.4492	13.9038
3.4469	13.8144
3.4446	13.7417
3.4423	13.6469
3.4400	13.5332
3.4378	13.4445
3.4355	13.3261
3.4332	13.1938
3.4309	13.0151
3.4287	12.8344
3.4264	12.6596
3.4241	12.5600
3.4219	12.5075
3.4196	12.4199
3.4174	12.3603
3.4151	12.3105
3.4129	12.3134
3.4106	12.2988
3.4084	12.2622
3.4061	12.2321
3.4039	12.2339
3.4017	12.2197
3.3994	12.1899
3.3972	12.1792
3.3950	12.2058
3.3928	12.2031
3.3906	12.1648
3.3883	12.1418
3.3861	12.0715
3.3839	12.0207
3.3817	12.0346
3.3795	11.9983
3.3773	11.9463
3.3751	11.8977
3.3729	11.8506
3.3707	11.8718
3.3685	11.8718
3.3663	11.8056
3.3641	11.7758
3.3620	11.7500
3.3598	11.7138
3.3576	11.6838
3.3554	11.6609
3.3533	11.6394
3.3511	11.6024
3.3489	11.5664
3.3468	11.5337
3.3446	11.5134
3.3425	11.4533
3.3403	11.4131
3.3382	11.3845
3.3360	11.3174
3.3339	11.2563
3.3317	11.2136
3.3296	11.1482
3.3274	11.0656
3.3253	11.0009
3.3232	10.9455
3.3210	10.8838
3.3189	10.8303
3.3168	10.7712
3.3147	10.7168
3.3126	10.6599
3.3104	10.5864
3.3083	10.5224
3.3062	10.4487
3.3041	10.3598
3.3020	10.3152
3.2999	10.2829
3.2978	10.1980
3.2957	10.1267
3.2936	10.0737
