Name:  Very dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  87P4453
Owner:  JHU
Wavelength range:  All
Origin:  Wayne Co., Utah, via USDA Soil Conservation service.

Description:  Very dark grayish brown loam, (loamy-skeletal, mixed, typic).  
Physiography: plateaus or tablelands.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4453a.txt

4.6122	13.6921
4.6081	13.7312
4.6040	13.7683
4.6000	13.8081
4.5959	13.8476
4.5918	13.8860
4.5877	13.9243
4.5837	13.9609
4.5796	13.9943
4.5756	14.0258
4.5716	14.0603
4.5675	14.1008
4.5635	14.1408
4.5595	14.1797
4.5555	14.2212
4.5515	14.2551
4.5475	14.2778
4.5435	14.2964
4.5395	14.3151
4.5356	14.3420
4.5316	14.3693
4.5276	14.3964
4.5237	14.4248
4.5197	14.4394
4.5158	14.4465
4.5119	14.4536
4.5080	14.4636
4.5040	14.4751
4.5001	14.4870
4.4962	14.5075
4.4923	14.5263
4.4884	14.5407
4.4846	14.5637
4.4807	14.5864
4.4768	14.6079
4.4730	14.6318
4.4691	14.6599
4.4652	14.6967
4.4614	14.7309
4.4576	14.7644
4.4537	14.8010
4.4499	14.8371
4.4461	14.8725
4.4423	14.9055
4.4385	14.9392
4.4347	14.9746
4.4309	15.0044
4.4271	15.0305
4.4233	15.0637
4.4196	15.0964
4.4158	15.1252
4.4120	15.1611
4.4083	15.2024
4.4045	15.2412
4.4008	15.2763
4.3971	15.3127
4.3934	15.3449
4.3896	15.3623
4.3859	15.3835
4.3822	15.4204
4.3785	15.4577
4.3748	15.4936
4.3711	15.5300
4.3674	15.5698
4.3638	15.6020
4.3601	15.6259
4.3564	15.6555
4.3528	15.6867
4.3491	15.7155
4.3455	15.7429
4.3418	15.7695
4.3382	15.7973
4.3346	15.8122
4.3310	15.8139
4.3273	15.8178
4.3237	15.8244
4.3201	15.8359
4.3165	15.8569
4.3129	15.8791
4.3094	15.8942
4.3058	15.9008
4.3022	15.9087
4.2986	15.9228
4.2951	15.9294
4.2915	15.9296
4.2880	15.9392
4.2844	15.9511
4.2809	15.9582
4.2774	15.9692
4.2738	15.9921
4.2703	16.0200
4.2668	16.0376
4.2633	16.0517
4.2598	16.0752
4.2563	16.0979
4.2528	16.1091
4.2493	16.1135
4.2458	16.1086
4.2424	16.1003
4.2389	16.0971
4.2354	16.1020
4.2320	16.1135
4.2285	16.1311
4.2251	16.1489
4.2216	16.1657
4.2182	16.1740
4.2148	16.1860
4.2113	16.2033
4.2079	16.2150
4.2045	16.2309
4.2011	16.2470
4.1977	16.2546
4.1943	16.2617
4.1909	16.2651
4.1875	16.2670
4.1841	16.2710
4.1808	16.2700
4.1774	16.2768
4.1740	16.2844
4.1707	16.2866
4.1673	16.2912
4.1640	16.2856
4.1606	16.2702
4.1573	16.2590
4.1540	16.2456
4.1506	16.2331
4.1473	16.2275
4.1440	16.2258
4.1407	16.2326
4.1374	16.2365
4.1341	16.2302
4.1308	16.2199
4.1275	16.2148
4.1242	16.2133
4.1209	16.2128
4.1177	16.2104
4.1144	16.2063
4.1111	16.1955
4.1079	16.1728
4.1046	16.1442
4.1014	16.1237
4.0981	16.1115
4.0949	16.1047
4.0917	16.0998
4.0884	16.0925
4.0852	16.0830
4.0820	16.0727
4.0788	16.0605
4.0756	16.0490
4.0724	16.0358
4.0692	16.0239
4.0660	16.0136
4.0628	15.9980
4.0596	15.9773
4.0565	15.9594
4.0533	15.9499
4.0501	15.9401
4.0470	15.9165
4.0438	15.8940
4.0406	15.8742
4.0375	15.8535
4.0344	15.8357
4.0312	15.8252
4.0281	15.8225
4.0250	15.8125
4.0218	15.7922
4.0187	15.7707
4.0156	15.7468
4.0125	15.7258
4.0094	15.7070
4.0063	15.6887
4.0032	15.6726
4.0001	15.6557
3.9970	15.6325
3.9940	15.6074
3.9909	15.5842
3.9878	15.5634
3.9847	15.5500
3.9817	15.5388
3.9786	15.5244
3.9756	15.5031
3.9725	15.4729
3.9695	15.4462
3.9665	15.4245
3.9634	15.4113
3.9604	15.4091
3.9574	15.4055
3.9544	15.3967
3.9513	15.3820
3.9483	15.3652
3.9453	15.3454
3.9423	15.3237
3.9393	15.3049
3.9363	15.2795
3.9333	15.2412
3.9304	15.2016
3.9274	15.1648
3.9244	15.1281
3.9214	15.0893
3.9185	15.0610
3.9155	15.0446
3.9126	15.0317
3.9096	15.0139
3.9067	14.9948
3.9037	14.9760
3.9008	14.9448
3.8979	14.9069
3.8949	14.8762
3.8920	14.8488
3.8891	14.8213
3.8862	14.7959
3.8833	14.7758
3.8804	14.7570
3.8775	14.7282
3.8746	14.6980
3.8717	14.6638
3.8688	14.6259
3.8659	14.5859
3.8630	14.5517
3.8601	14.5224
3.8573	14.4909
3.8544	14.4607
3.8515	14.4248
3.8487	14.3833
3.8458	14.3452
3.8430	14.3093
3.8401	14.2744
3.8373	14.2395
3.8344	14.2014
3.8316	14.1618
3.8288	14.1145
3.8259	14.0715
3.8231	14.0332
3.8203	13.9924
3.8175	13.9497
3.8147	13.9123
3.8119	13.8720
3.8091	13.8283
3.8063	13.7924
3.8035	13.7636
3.8007	13.7280
3.7979	13.6845
3.7951	13.6411
3.7924	13.5969
3.7896	13.5412
3.7868	13.4860
3.7841	13.4392
3.7813	13.3974
3.7785	13.3525
3.7758	13.3069
3.7730	13.2651
3.7703	13.2151
3.7676	13.1591
3.7648	13.1074
3.7621	13.0612
3.7594	13.0229
3.7566	12.9826
3.7539	12.9406
3.7512	12.9062
3.7485	12.8679
3.7458	12.8210
3.7431	12.7678
3.7404	12.7192
3.7377	12.6694
3.7350	12.6157
3.7323	12.5727
3.7296	12.5412
3.7269	12.5005
3.7242	12.4511
3.7216	12.3969
3.7189	12.3357
3.7162	12.2773
3.7136	12.2346
3.7109	12.2019
3.7083	12.1667
3.7056	12.1233
3.7030	12.0749
3.7003	12.0193
3.6977	11.9585
3.6950	11.9087
3.6924	11.8703
3.6898	11.8362
3.6872	11.8005
3.6845	11.7595
3.6819	11.7041
3.6793	11.6382
3.6767	11.5771
3.6741	11.5217
3.6715	11.4721
3.6689	11.4297
3.6663	11.3943
3.6637	11.3596
3.6611	11.3166
3.6585	11.2705
3.6560	11.2295
3.6534	11.1877
3.6508	11.1430
3.6482	11.0962
3.6457	11.0559
3.6431	11.0144
3.6406	10.9675
3.6380	10.9211
3.6355	10.8728
3.6329	10.8186
3.6304	10.7693
3.6278	10.7260
3.6253	10.6816
3.6227	10.6333
3.6202	10.5903
3.6177	10.5517
3.6152	10.5071
3.6127	10.4592
3.6101	10.4197
3.6076	10.3774
3.6051	10.3254
3.6026	10.2646
3.6001	10.2082
3.5976	10.1496
3.5951	10.0840
3.5926	10.0251
3.5901	9.9826
3.5876	9.9438
3.5852	9.9057
3.5827	9.8667
3.5802	9.8183
3.5777	9.7480
3.5753	9.6684
3.5728	9.5993
3.5704	9.5405
3.5679	9.4819
3.5654	9.4287
3.5630	9.3799
3.5605	9.3237
3.5581	9.2561
3.5557	9.1897
3.5532	9.1279
3.5508	9.0674
3.5484	9.0010
3.5459	8.9304
3.5435	8.8620
3.5411	8.7947
3.5387	8.7329
3.5363	8.6728
3.5338	8.6125
3.5314	8.5488
3.5290	8.4680
3.5266	8.3699
3.5242	8.2583
3.5218	8.1306
3.5195	7.9961
3.5171	7.8457
3.5147	7.6814
3.5123	7.5110
3.5099	7.3554
3.5075	7.2383
3.5052	7.1636
3.5028	7.1335
3.5004	7.1443
3.4981	7.1706
3.4957	7.1929
3.4934	7.1968
3.4910	7.1824
3.4887	7.1589
3.4863	7.1301
3.4840	7.0993
3.4816	7.0654
3.4793	7.0283
3.4770	6.9922
3.4746	6.9521
3.4723	6.9075
3.4700	6.8725
3.4677	6.8454
3.4653	6.8164
3.4630	6.7822
3.4607	6.7370
3.4584	6.6885
3.4561	6.6438
3.4538	6.5930
3.4515	6.5408
3.4492	6.4817
3.4469	6.4126
3.4446	6.3457
3.4423	6.2773
3.4400	6.2075
3.4378	6.1394
3.4355	6.0637
3.4332	5.9795
3.4309	5.8786
3.4287	5.7666
3.4264	5.6753
3.4241	5.6101
3.4219	5.5657
3.4196	5.5390
3.4174	5.5351
3.4151	5.5412
3.4129	5.5378
3.4106	5.5373
3.4084	5.5495
3.4061	5.5581
3.4039	5.5625
3.4017	5.5666
3.3994	5.5754
3.3972	5.5884
3.3950	5.6074
3.3928	5.6304
3.3906	5.6484
3.3883	5.6584
3.3861	5.6619
3.3839	5.6670
3.3817	5.6714
3.3795	5.6709
3.3773	5.6714
3.3751	5.6653
3.3729	5.6575
3.3707	5.6633
3.3685	5.6765
3.3663	5.6960
3.3641	5.7185
3.3620	5.7322
3.3598	5.7366
3.3576	5.7363
3.3554	5.7419
