Name:  Dark brown fine sandy loam 
Type:  Soils
Class:  Inceptisol
Subclass:  Haplumbrept
Particle Size:  see additional information
Sample No.:  86P4561
Owner:  JHU
Wavelength range:  All
Origin:  Haywood Co. NC. via USDA Soil Conservation service.

Description:  Dark brown fine sandy loam (sandy-skeletal, mixed, 
mesic Fluventic haplumbrept).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4561a.txt

6.3068	1.7910
6.2991	1.7793
6.2914	1.7595
6.2838	1.7358
6.2762	1.7153
6.2686	1.6985
6.2611	1.6816
6.2535	1.6682
6.2460	1.6597
6.2385	1.6553
6.2310	1.6545
6.2235	1.6536
6.2160	1.6504
6.2086	1.6431
6.2011	1.6289
6.1937	1.6121
6.1863	1.5908
6.1790	1.5713
6.1716	1.5596
6.1643	1.5513
6.1570	1.5444
6.1496	1.5400
6.1424	1.5364
6.1351	1.5325
6.1278	1.5276
6.1206	1.5227
6.1134	1.5222
6.1062	1.5249
6.0990	1.5249
6.0918	1.5251
6.0847	1.5234
6.0776	1.5161
6.0704	1.4971
6.0633	1.4763
6.0563	1.4639
6.0492	1.4641
6.0421	1.4763
6.0351	1.4954
6.0281	1.5212
6.0211	1.5491
6.0141	1.5635
6.0071	1.5701
6.0002	1.5730
5.9932	1.5796
5.9863	1.5974
5.9794	1.6191
5.9725	1.6438
5.9657	1.6704
5.9588	1.6914
5.9520	1.7065
5.9451	1.7214
5.9383	1.7427
5.9315	1.7759
5.9247	1.8201
5.9180	1.8613
5.9112	1.8962
5.9045	1.9211
5.8978	1.9397
5.8911	1.9653
5.8844	1.9985
5.8777	2.0444
5.8711	2.1079
5.8644	2.1768
5.8578	2.2380
5.8512	2.2861
5.8446	2.3218
5.8380	2.3472
5.8314	2.3684
5.8249	2.3979
5.8184	2.4468
5.8118	2.5095
5.8053	2.5762
5.7988	2.6414
5.7923	2.6968
5.7859	2.7322
5.7794	2.7632
5.7730	2.8030
5.7666	2.8581
5.7602	2.9309
5.7538	3.0200
5.7474	3.1133
5.7410	3.2036
5.7347	3.2832
5.7283	3.3581
5.7220	3.4370
5.7157	3.5225
5.7094	3.6164
5.7031	3.7202
5.6969	3.8223
5.6906	3.9160
5.6844	4.0061
5.6782	4.0871
