Name:  Dark grayish brown silty loam
Type:  Soils
Class:  Mollisol
Subclass:  Agialboll
Particle Size:  see additional information
Sample No.:  85P5339
Owner:  JHU
Wavelength range:  All
Origin:  Nez Perce Co., Id. via USDA Soil Conservation service.

Description: Parent material is loess from mixed material.  Dark 
grayish brown silty loam, (fine, montmorillonitic, mesic xeric).  
Physiography:  upland slope in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P5339a.txt

4.7258	18.6474
4.7215	18.6669
4.7172	18.6833
4.7129	18.6965
4.7086	18.7055
4.7043	18.7102
4.7000	18.7102
4.6958	18.7102
4.6915	18.7124
4.6873	18.7202
4.6831	18.7365
4.6788	18.7629
4.6746	18.7988
4.6704	18.8432
4.6662	18.8928
4.6620	18.9436
4.6578	18.9929
4.6536	19.0407
4.6495	19.0864
4.6453	19.1296
4.6411	19.1708
4.6370	19.2128
4.6328	19.2553
4.6287	19.2985
4.6246	19.3447
4.6205	19.3913
4.6163	19.4353
4.6122	19.4758
4.6081	19.5122
4.6040	19.5444
4.6000	19.5754
4.5959	19.6113
4.5918	19.6538
4.5877	19.6979
4.5837	19.7395
4.5796	19.7773
4.5756	19.8095
4.5716	19.8344
4.5675	19.8569
4.5635	19.8801
4.5595	19.9067
4.5555	19.9335
4.5515	19.9592
4.5475	19.9846
4.5435	20.0090
4.5395	20.0307
4.5356	20.0498
4.5316	20.0654
4.5276	20.0803
4.5237	20.0930
4.5197	20.1018
4.5158	20.1079
4.5119	20.1098
4.5080	20.1071
4.5040	20.1022
4.5001	20.0986
4.4962	20.1000
4.4923	20.1081
4.4884	20.1223
4.4846	20.1420
4.4807	20.1655
4.4768	20.1904
4.4730	20.2180
4.4691	20.2475
4.4652	20.2792
4.4614	20.3146
4.4576	20.3547
4.4537	20.3991
4.4499	20.4467
4.4461	20.4958
4.4423	20.5427
4.4385	20.5844
4.4347	20.6196
4.4309	20.6503
4.4271	20.6789
4.4233	20.7094
4.4196	20.7451
4.4158	20.7875
4.4120	20.8339
4.4083	20.8801
4.4045	20.9218
4.4008	20.9602
4.3971	20.9985
4.3934	21.0402
4.3896	21.0883
4.3859	21.1435
4.3822	21.2019
4.3785	21.2568
4.3748	21.3044
4.3711	21.3461
4.3674	21.3857
4.3638	21.4245
4.3601	21.4650
4.3564	21.5085
4.3528	21.5515
4.3491	21.5903
4.3455	21.6237
4.3418	21.6520
4.3382	21.6774
4.3346	21.7023
4.3310	21.7289
4.3273	21.7582
4.3237	21.7875
