Name:  Brown gravelly sandy loam
Type:  Soils
Class:  Aridisol
Subclass:  Haplargid
Particle Size:  see additional information
Sample No.:  89P1793
Owner:  JHU
Wavelength range:  All
Origin:  Inyo Co., Ca., (Wild Horse Mesa) via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from fan terrace.  Brown 
gravelly sandy loam, (fine-loamy, mixed, mesic Xerollic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1793a.txt

4.8815	12.0511
4.8769	12.1880
4.8723	12.3175
4.8678	12.4399
4.8632	12.5538
4.8586	12.6599
4.8541	12.7592
4.8495	12.8518
4.8450	12.9394
4.8405	13.0232
4.8360	13.1042
4.8315	13.1821
4.8270	13.2562
4.8225	13.3259
4.8180	13.3903
4.8135	13.4492
4.8090	13.5035
4.8046	13.5542
4.8001	13.6025
4.7957	13.6501
4.7913	13.6986
4.7868	13.7491
4.7824	13.8030
4.7780	13.8613
4.7736	13.9257
4.7692	13.9970
4.7648	14.0747
4.7605	14.1573
4.7561	14.2423
4.7517	14.3259
4.7474	14.4050
4.7431	14.4773
4.7387	14.5424
4.7344	14.6011
4.7301	14.6537
4.7258	14.7006
4.7215	14.7404
4.7172	14.7714
4.7129	14.7915
4.7086	14.7993
4.7043	14.7944
4.7000	14.7799
4.6958	14.7617
4.6915	14.7468
4.6873	14.7434
4.6831	14.7588
4.6788	14.7981
4.6746	14.8618
4.6704	14.9464
4.6662	15.0470
4.6620	15.1572
4.6578	15.2711
4.6536	15.3859
4.6495	15.5010
4.6453	15.6175
4.6411	15.7362
4.6370	15.8574
4.6328	15.9794
4.6287	16.0999
4.6246	16.2162
4.6205	16.3270
4.6163	16.4324
4.6122	16.5342
4.6081	16.6344
4.6040	16.7348
4.6000	16.8362
4.5959	16.9387
4.5918	17.0420
4.5877	17.1452
4.5837	17.2478
4.5796	17.3484
4.5756	17.4465
4.5716	17.5412
4.5675	17.6312
4.5635	17.7141
4.5595	17.7870
4.5555	17.8471
4.5515	17.8929
4.5475	17.9246
4.5435	17.9445
4.5395	17.9570
4.5356	17.9653
4.5316	17.9710
4.5276	17.9729
4.5237	17.9679
4.5197	17.9532
4.5158	17.9286
4.5119	17.8974
4.5080	17.8666
4.5040	17.8438
4.5001	17.8360
4.4962	17.8462
4.4923	17.8734
4.4884	17.9142
4.4846	17.9632
4.4807	18.0172
4.4768	18.0757
4.4730	18.1403
4.4691	18.2156
4.4652	18.3047
4.4614	18.4084
4.4576	18.5247
4.4537	18.6488
4.4499	18.7745
4.4461	18.8970
4.4423	19.0132
4.4385	19.1229
4.4347	19.2280
4.4309	19.3317
4.4271	19.4374
4.4233	19.5468
4.4196	19.6614
4.4158	19.7815
4.4120	19.9067
4.4083	20.0360
4.4045	20.1696
4.4008	20.3074
4.3971	20.4502
4.3934	20.5978
4.3896	20.7505
4.3859	20.9075
4.3822	21.0669
4.3785	21.2275
4.3748	21.3883
4.3711	21.5488
4.3674	21.7089
4.3638	21.8683
4.3601	22.0255
4.3564	22.1787
4.3528	22.3253
4.3491	22.4639
4.3455	22.5944
4.3418	22.7175
4.3382	22.8345
4.3346	22.9460
4.3310	23.0509
4.3273	23.1476
4.3237	23.2333
4.3201	23.3076
4.3165	23.3711
4.3129	23.4261
4.3094	23.4763
4.3058	23.5260
4.3022	23.5788
4.2986	23.6363
4.2951	23.6974
4.2915	23.7597
4.2880	23.8196
4.2844	23.8746
4.2809	23.9250
4.2774	23.9757
4.2738	24.0347
4.2703	24.1109
4.2668	24.2092
4.2633	24.3271
4.2598	24.4569
4.2563	24.5865
4.2528	24.7034
4.2493	24.8001
4.2458	24.8758
4.2424	24.9365
4.2389	24.9900
4.2354	25.0445
4.2320	25.1063
4.2285	25.1775
4.2251	25.2571
4.2216	25.3412
4.2182	25.4257
4.2148	25.5060
4.2113	25.5785
4.2079	25.6422
4.2045	25.6981
4.2011	25.7506
4.1977	25.8037
4.1943	25.8624
4.1909	25.9294
4.1875	26.0045
4.1841	26.0850
4.1808	26.1667
4.1774	26.2465
4.1740	26.3223
4.1707	26.3934
4.1673	26.4609
4.1640	26.5272
4.1606	26.5937
4.1573	26.6612
4.1540	26.7294
4.1506	26.7969
4.1473	26.8632
4.1440	26.9279
4.1407	26.9913
4.1374	27.0543
4.1341	27.1190
4.1308	27.1855
4.1275	27.2537
4.1242	27.3226
4.1209	27.3908
4.1177	27.4567
4.1144	27.5201
4.1111	27.5826
4.1079	27.6459
4.1046	27.7112
4.1014	27.7799
4.0981	27.8502
4.0949	27.9203
4.0917	27.9862
4.0884	28.0461
4.0852	28.0994
4.0820	28.1463
4.0788	28.1879
4.0756	28.2261
4.0724	28.2621
4.0692	28.2957
4.0660	28.3260
4.0628	28.3523
4.0596	28.3746
4.0565	28.3921
4.0533	28.4053
4.0501	28.4151
4.0470	28.4226
4.0438	28.4288
4.0406	28.4338
4.0375	28.4378
4.0344	28.4411
4.0312	28.4435
4.0281	28.4451
4.0250	28.4468
4.0218	28.4499
4.0187	28.4553
4.0156	28.4634
4.0125	28.4733
4.0094	28.4844
4.0063	28.4960
4.0032	28.5081
4.0001	28.5211
3.9970	28.5361
3.9940	28.5543
3.9909	28.5768
3.9878	28.6033
3.9847	28.6346
3.9817	28.6703
3.9786	28.7092
3.9756	28.7497
3.9725	28.7902
3.9695	28.8297
3.9665	28.8678
3.9634	28.9046
