Name:  Brown to dark brown gravelly fine sandy loam
Type:  Soils
Class:  Inceptisol
Subclass:  Xerumbrept
Particle Size:  see additional information
Sample No.:  87P325
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  The parent material is volcanic ash from ejecta-ash 
material over local colluvium from cinders material from hillside or 
mountainside in mountains or deeply dissected plateaus.  Brown to dark 
brown gravelly fine sandy loam (medial-skeletal, frigid andic).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P325a.txt

5.5505	6.8318
5.5445	6.9756
5.5386	7.1057
5.5327	7.2065
5.5268	7.2837
5.5209	7.3757
5.5151	7.4924
5.5092	7.6138
5.5033	7.6916
5.4975	7.7732
5.4917	7.8447
5.4859	7.8777
5.4801	7.8816
5.4743	7.9629
5.4685	8.0034
5.4628	8.0166
5.4570	8.1594
5.4513	8.2507
5.4455	8.2920
5.4398	8.3230
5.4341	8.3362
5.4284	8.2785
5.4228	8.1760
5.4171	8.2461
5.4114	8.3594
5.4058	8.3413
5.4002	8.3191
5.3945	8.3266
5.3889	8.3415
5.3833	8.2993
5.3778	8.2788
5.3722	8.2690
5.3666	8.2483
5.3611	8.2214
5.3555	8.1736
5.3500	8.1296
5.3445	8.2031
5.3390	8.2715
5.3335	8.2910
5.3280	8.3408
5.3225	8.3925
5.3171	8.4309
5.3116	8.4836
5.3062	8.5324
5.3008	8.5515
5.2954	8.5473
5.2900	8.6116
5.2846	8.7065
5.2792	8.7781
5.2738	8.8467
5.2684	8.9072
5.2631	8.9941
5.2578	9.0962
5.2524	9.1648
5.2471	9.2246
5.2418	9.2900
5.2365	9.3681
5.2312	9.4499
5.2260	9.5119
5.2207	9.5603
5.2154	9.5703
5.2102	9.6462
5.2050	9.7688
5.1998	9.7998
5.1945	9.8523
5.1893	9.9011
5.1842	9.9328
5.1790	9.9668
5.1738	9.9963
5.1686	10.0100
5.1635	10.0449
5.1584	10.0405
5.1532	10.0395
5.1481	10.0346
5.1430	10.0737
5.1379	10.1421
5.1328	10.1733
5.1277	10.2031
5.1227	10.2246
5.1176	10.2470
5.1126	10.2680
5.1075	10.2964
5.1025	10.3154
5.0975	10.3327
5.0925	10.3425
5.0875	10.3313
5.0825	10.3196
5.0775	10.3628
5.0726	10.3796
5.0676	10.3799
5.0627	10.3962
5.0577	10.4099
5.0528	10.4177
5.0479	10.4421
5.0430	10.4685
5.0380	10.4988
5.0332	10.5197
5.0283	10.5168
5.0234	10.4973
5.0185	10.5056
5.0137	10.5625
5.0088	10.6020
5.0040	10.6206
4.9992	10.6465
4.9944	10.6589
4.9896	10.6804
4.9848	10.7325
4.9800	10.8020
4.9752	10.8283
4.9704	10.8645
4.9657	10.9033
4.9609	10.9377
4.9562	10.9743
4.9514	11.0173
4.9467	11.0664
4.9420	11.1152
4.9373	11.1638
4.9326	11.1994
4.9279	11.2434
4.9232	11.2934
4.9186	11.3449
4.9139	11.3886
4.9092	11.4546
4.9046	11.5224
4.9000	11.5678
4.8953	11.5937
4.8907	11.6242
4.8861	11.6789
4.8815	11.7329
4.8769	11.7617
4.8723	11.8005
4.8678	11.8462
4.8632	11.8781
4.8586	11.9030
4.8541	11.9150
4.8495	11.9336
4.8450	11.9695
4.8405	11.9912
4.8360	12.0149
4.8315	12.0222
4.8270	12.0410
4.8225	12.0805
4.8180	12.1024
4.8135	12.1123
4.8090	12.1352
4.8046	12.1648
4.8001	12.1648
4.7957	12.1508
4.7913	12.1787
4.7868	12.2119
4.7824	12.2295
4.7780	12.2339
4.7736	12.2536
4.7692	12.2514
4.7648	12.2414
4.7605	12.2668
4.7561	12.2871
4.7517	12.3049
4.7474	12.3283
4.7431	12.3359
4.7387	12.3545
4.7344	12.3669
4.7301	12.3759
4.7258	12.4065
4.7215	12.4050
4.7172	12.4023
4.7129	12.4192
4.7086	12.4489
4.7043	12.4574
4.7000	12.4648
4.6958	12.4975
4.6915	12.5070
4.6873	12.5153
4.6831	12.5498
4.6788	12.5400
4.6746	12.5415
4.6704	12.5710
4.6662	12.6037
4.6620	12.6428
4.6578	12.6670
4.6536	12.6892
4.6495	12.7119
4.6453	12.7236
4.6411	12.7436
4.6370	12.7412
4.6328	12.7534
4.6287	12.7758
4.6246	12.8105
4.6205	12.8608
4.6163	12.8994
4.6122	12.9167
4.6081	12.9425
4.6040	12.9621
4.6000	12.9741
4.5959	12.9912
4.5918	13.0251
4.5877	13.0273
4.5837	13.0224
4.5796	13.0481
4.5756	13.0710
4.5716	13.1128
4.5675	13.1308
4.5635	13.1203
4.5595	13.1396
4.5555	13.1897
4.5515	13.2141
4.5475	13.2470
4.5435	13.2602
4.5395	13.2558
4.5356	13.2612
4.5316	13.2898
4.5276	13.3152
4.5237	13.2995
4.5197	13.3181
4.5158	13.3564
4.5119	13.3654
4.5080	13.3466
4.5040	13.3720
4.5001	13.4104
4.4962	13.4079
4.4923	13.4138
4.4884	13.4243
4.4846	13.4118
4.4807	13.4148
4.4768	13.4162
4.4730	13.4284
4.4691	13.4389
4.4652	13.4577
4.4614	13.5074
4.4576	13.5074
4.4537	13.4934
4.4499	13.5241
4.4461	13.5617
4.4423	13.5683
4.4385	13.5471
4.4347	13.5539
4.4309	13.5923
4.4271	13.5903
4.4233	13.5893
4.4196	13.6057
4.4158	13.6286
4.4120	13.6291
4.4083	13.5842
4.4045	13.5771
4.4008	13.6081
4.3971	13.6360
4.3934	13.6569
4.3896	13.6545
4.3859	13.6345
4.3822	13.6838
4.3785	13.7155
4.3748	13.7080
4.3711	13.6909
4.3674	13.7080
4.3638	13.7212
4.3601	13.7089
4.3564	13.7209
4.3528	13.7025
4.3491	13.6823
4.3455	13.7146
4.3418	13.7251
4.3382	13.7102
4.3346	13.7031
4.3310	13.7194
4.3273	13.7277
4.3237	13.7125
4.3201	13.7055
4.3165	13.6909
4.3129	13.6779
4.3094	13.6440
4.3058	13.5991
4.3022	13.6067
4.2986	13.5852
4.2951	13.5727
4.2915	13.5517
4.2880	13.5351
4.2844	13.5141
4.2809	13.4839
4.2774	13.4550
4.2738	13.4355
4.2703	13.4546
4.2668	13.4851
4.2633	13.5275
4.2598	13.5642
4.2563	13.6006
4.2528	13.6130
4.2493	13.5617
4.2458	13.4629
4.2424	13.3960
4.2389	13.3742
4.2354	13.3725
4.2320	13.3624
4.2285	13.3918
4.2251	13.3969
4.2216	13.3938
4.2182	13.4409
4.2148	13.4616
4.2113	13.4729
4.2079	13.4687
4.2045	13.4648
4.2011	13.4621
4.1977	13.4536
4.1943	13.4450
4.1909	13.4487
4.1875	13.4531
4.1841	13.4834
4.1808	13.4565
4.1774	13.3965
4.1740	13.3852
4.1707	13.3874
4.1673	13.3391
4.1640	13.3313
4.1606	13.3330
4.1573	13.3147
4.1540	13.3000
4.1506	13.2817
4.1473	13.2685
4.1440	13.2644
4.1407	13.2453
4.1374	13.2025
4.1341	13.1831
4.1308	13.1914
4.1275	13.2129
4.1242	13.1882
4.1209	13.1347
4.1177	13.1162
4.1144	13.1037
4.1111	13.0869
4.1079	13.0849
4.1046	13.0569
4.1014	13.0261
4.0981	13.0371
4.0949	13.0293
4.0917	13.0163
4.0884	12.9825
4.0852	12.9641
4.0820	12.9658
4.0788	12.9104
4.0756	12.8989
4.0724	12.9106
4.0692	12.8801
4.0660	12.8664
4.0628	12.8547
4.0596	12.8078
4.0565	12.8010
4.0533	12.8322
4.0501	12.8237
4.0470	12.7802
4.0438	12.7238
4.0406	12.7104
4.0375	12.7065
4.0344	12.6596
4.0312	12.6416
4.0281	12.7087
4.0250	12.7114
4.0218	12.6438
4.0187	12.6001
4.0156	12.6015
4.0125	12.6240
4.0094	12.6098
4.0063	12.5988
4.0032	12.5749
4.0001	12.5317
3.9970	12.5158
3.9940	12.5151
3.9909	12.5341
3.9878	12.5085
3.9847	12.4875
3.9817	12.4668
3.9786	12.4572
3.9756	12.4638
3.9725	12.4725
3.9695	12.4304
3.9665	12.3860
3.9634	12.3930
3.9604	12.4470
3.9574	12.4218
3.9544	12.3757
3.9513	12.3786
3.9483	12.3938
3.9453	12.4025
3.9423	12.3808
3.9393	12.3491
3.9363	12.3257
3.9333	12.3175
3.9304	12.3105
3.9274	12.3042
3.9244	12.2610
3.9214	12.2361
3.9185	12.2495
3.9155	12.2509
3.9126	12.2174
3.9096	12.2170
3.9067	12.1982
3.9037	12.1704
3.9008	12.1689
3.8979	12.1548
3.8949	12.1574
3.8920	12.1413
3.8891	12.1059
3.8862	12.0854
3.8833	12.1191
3.8804	12.0996
3.8775	12.0569
3.8746	12.0368
3.8717	12.0424
3.8688	12.0156
3.8659	11.9929
3.8630	11.9646
3.8601	11.9680
3.8573	11.9590
3.8544	11.9043
3.8515	11.8796
3.8487	11.8999
3.8458	11.8657
3.8430	11.8466
3.8401	11.8427
3.8373	11.7988
3.8344	11.7341
3.8316	11.7265
3.8288	11.7395
3.8259	11.6843
3.8231	11.6623
3.8203	11.6606
3.8175	11.6152
3.8147	11.5854
3.8119	11.5581
3.8091	11.5415
3.8063	11.5302
3.8035	11.5149
3.8007	11.4792
3.7979	11.4421
3.7951	11.4011
3.7924	11.3652
3.7896	11.3552
3.7868	11.3308
3.7841	11.2678
3.7813	11.2563
3.7785	11.2251
3.7758	11.1877
3.7730	11.1924
3.7703	11.1904
3.7676	11.1289
3.7648	11.0759
3.7621	11.0603
3.7594	11.0320
3.7566	10.9878
3.7539	10.9336
3.7512	10.9167
3.7485	10.8901
3.7458	10.8528
3.7431	10.8288
3.7404	10.7556
3.7377	10.7060
3.7350	10.6738
3.7323	10.6428
3.7296	10.6308
3.7269	10.5930
3.7242	10.5613
3.7216	10.5420
3.7189	10.4743
3.7162	10.4280
3.7136	10.3762
3.7109	10.3586
3.7083	10.3562
3.7056	10.3098
3.7030	10.2380
3.7003	10.1877
3.6977	10.1875
3.6950	10.1172
3.6924	10.0666
3.6898	10.0254
3.6872	9.9836
3.6845	9.9555
3.6819	9.9299
3.6793	9.8994
3.6767	9.8681
3.6741	9.8235
3.6715	9.7829
3.6689	9.7270
3.6663	9.6789
3.6637	9.6487
3.6611	9.5979
3.6585	9.5493
3.6560	9.5000
3.6534	9.4790
3.6508	9.4424
3.6482	9.3723
3.6457	9.3440
3.6431	9.3308
3.6406	9.2751
3.6380	9.2274
3.6355	9.1848
3.6329	9.1369
3.6304	9.1128
3.6278	9.0827
3.6253	9.0510
3.6227	9.0375
3.6202	9.0156
3.6177	8.9607
3.6152	8.8845
3.6127	8.7929
3.6101	8.7585
3.6076	8.7612
3.6051	8.7068
3.6026	8.6511
3.6001	8.6413
3.5976	8.6177
3.5951	8.5500
3.5926	8.5239
3.5901	8.4565
3.5876	8.3818
3.5852	8.3445
3.5827	8.2883
3.5802	8.2495
3.5777	8.2317
3.5753	8.1804
3.5728	8.1489
3.5704	8.1047
3.5679	8.0390
3.5654	8.0061
3.5630	7.9634
3.5605	7.9297
3.5581	7.9055
3.5557	7.8562
3.5532	7.7829
3.5508	7.7138
3.5484	7.6714
3.5459	7.6257
3.5435	7.5875
3.5411	7.5383
3.5387	7.4812
3.5363	7.4099
3.5338	7.3442
3.5314	7.3042
3.5290	7.2883
3.5266	7.1963
3.5242	7.0908
3.5218	7.0200
3.5195	6.9065
3.5171	6.7605
3.5147	6.6191
3.5123	6.4774
3.5099	6.3347
3.5075	6.2200
3.5052	6.1974
3.5028	6.2053
3.5004	6.2168
3.4981	6.2307
3.4957	6.2461
3.4934	6.2668
3.4910	6.2734
3.4887	6.2341
3.4863	6.2134
3.4840	6.2243
3.4816	6.1846
3.4793	6.1028
3.4770	6.0681
3.4746	6.0676
3.4723	6.0598
3.4700	6.0251
3.4677	5.9956
3.4653	5.9560
3.4630	5.9187
3.4607	5.8906
3.4584	5.8371
3.4561	5.7720
3.4538	5.7500
3.4515	5.6907
3.4492	5.6194
3.4469	5.5862
3.4446	5.5622
3.4423	5.4997
3.4400	5.4358
3.4378	5.3901
3.4355	5.2900
3.4332	5.1619
3.4309	5.0708
3.4287	5.0132
3.4264	4.9812
3.4241	4.9470
3.4219	4.8955
3.4196	4.8528
3.4174	4.8257
3.4151	4.8174
3.4129	4.8581
3.4106	4.8972
3.4084	4.8530
3.4061	4.8240
3.4039	4.8174
3.4017	4.8423
3.3994	4.8769
3.3972	4.8640
3.3950	4.8713
3.3928	4.8740
3.3906	4.8696
3.3883	4.8811
3.3861	4.8979
3.3839	4.8799
3.3817	4.8447
3.3795	4.8357
3.3773	4.8535
3.3751	4.8711
3.3729	4.8738
3.3707	4.8716
3.3685	4.8769
3.3663	4.8745
3.3641	4.8601
3.3620	4.8452
3.3598	4.8252
3.3576	4.8391
3.3554	4.8247
3.3533	4.7810
3.3511	4.7956
3.3489	4.8306
3.3468	4.8201
3.3446	4.7673
3.3425	4.7527
3.3403	4.7773
3.3382	4.7749
3.3360	4.7258
3.3339	4.7043
3.3317	4.6767
3.3296	4.6614
3.3274	4.6760
3.3253	4.7051
3.3232	4.6890
3.3210	4.6096
3.3189	4.5906
3.3168	4.6260
3.3147	4.5994
3.3126	4.5603
3.3104	4.5293
3.3083	4.5415
3.3062	4.5246
3.3041	4.5073
3.3020	4.4895
3.2999	4.4700
3.2978	4.4265
3.2957	4.4067
3.2936	4.3896
3.2915	4.3901
3.2894	4.3777
3.2874	4.3276
3.2853	4.2734
3.2832	4.2617
3.2811	4.2712
3.2790	4.2571
3.2770	4.1819
3.2749	4.1692
3.2728	4.1738
3.2708	4.1653
3.2687	4.1357
3.2666	4.1040
3.2646	4.0998
3.2625	4.0779
3.2605	4.0452
3.2584	4.0386
3.2564	4.0198
3.2543	4.0373
3.2523	4.0354
3.2503	4.0044
3.2482	3.9648
3.2462	3.9206
3.2442	3.9079
3.2421	3.9126
3.2401	3.8950
3.2381	3.8638
3.2361	3.8130
3.2340	3.8042
3.2320	3.8245
3.2300	3.8288
3.2280	3.8096
3.2260	3.7851
3.2240	3.7424
3.2220	3.7185
3.2200	3.7224
3.2180	3.7268
3.2160	3.6921
3.2140	3.6836
3.2120	3.6765
3.2100	3.6470
3.2080	3.6208
3.2060	3.6047
3.2040	3.5664
3.2021	3.5464
3.2001	3.5481
3.1981	3.5818
3.1961	3.5610
3.1942	3.5234
3.1922	3.4919
3.1902	3.4890
3.1883	3.4912
3.1863	3.4700
