Name:  Brown to dark brown sand
Type:  Soils
Class:  Entisol
Subclass:  Quartzipsamment
Particle Size:  see additional information
Sample No.:  87P706
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  The parent material is alluvium from mixed material from 
upland slope in coastal plains.  Brown to dark brown sand (coated, mesic 
typic).  



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P706a.txt

4.8360	9.1946
4.8315	9.4634
4.8270	9.6965
4.8225	9.9277
4.8180	10.1472
4.8135	10.3684
4.8090	10.5884
4.8046	10.7646
4.8001	10.9397
4.7957	11.1525
4.7913	11.3403
4.7868	11.5063
4.7824	11.6967
4.7780	11.8684
4.7736	12.0344
4.7692	12.1665
4.7648	12.2885
4.7605	12.4504
4.7561	12.5901
4.7517	12.6911
4.7474	12.8173
4.7431	12.9325
4.7387	13.0127
4.7344	13.0671
4.7301	13.1115
4.7258	13.1433
4.7215	13.1284
4.7172	13.0652
4.7129	12.9350
4.7086	12.7561
4.7043	12.5378
4.7000	12.2705
4.6958	11.9162
4.6915	11.5598
4.6873	11.3274
4.6831	11.2068
4.6788	11.2358
4.6746	11.4182
4.6704	11.7197
4.6662	12.0627
4.6620	12.4255
4.6578	12.7983
4.6536	13.1289
4.6495	13.4380
4.6453	13.7705
4.6411	14.1032
4.6370	14.4174
4.6328	14.7170
4.6287	14.9812
4.6246	15.1980
4.6205	15.4008
4.6163	15.6196
4.6122	15.8125
4.6081	15.9248
4.6040	16.0095
4.6000	16.1130
4.5959	16.2338
4.5918	16.3010
4.5877	16.3398
4.5837	16.3679
4.5796	16.3747
4.5756	16.3889
4.5716	16.4111
4.5675	16.3674
4.5635	16.2866
4.5595	16.1833
4.5555	16.0249
4.5515	15.8608
4.5475	15.6699
4.5435	15.3984
4.5395	15.0654
4.5356	14.7133
4.5316	14.3664
4.5276	14.0002
4.5237	13.5805
4.5197	13.1369
4.5158	12.6709
4.5119	12.2158
4.5080	11.7551
4.5040	11.3254
4.5001	10.9875
4.4962	10.7383
4.4923	10.5066
4.4884	10.3449
4.4846	10.2158
4.4807	10.1242
4.4768	10.0524
4.4730	9.9497
4.4691	9.8769
4.4652	9.9138
4.4614	10.0095
4.4576	10.1352
4.4537	10.3291
4.4499	10.5483
4.4461	10.7448
4.4423	10.8879
4.4385	10.9836
4.4347	11.0803
4.4309	11.2182
4.4271	11.3828
4.4233	11.5652
4.4196	11.7497
4.4158	11.9441
4.4120	12.1245
4.4083	12.3120
4.4045	12.5053
4.4008	12.7182
4.3971	12.9680
4.3934	13.2614
4.3896	13.5174
4.3859	13.7902
4.3822	14.0749
4.3785	14.3549
4.3748	14.6333
4.3711	14.9084
4.3674	15.1567
4.3638	15.4157
4.3601	15.6482
4.3564	15.8803
4.3528	16.0712
4.3491	16.2451
4.3455	16.3852
4.3418	16.5039
4.3382	16.6030
4.3346	16.6809
4.3310	16.7221
4.3273	16.7497
4.3237	16.7482
4.3201	16.7425
4.3165	16.6914
4.3129	16.5681
4.3094	16.4550
4.3058	16.3784
4.3022	16.2790
4.2986	16.1948
4.2951	16.1157
4.2915	16.0434
4.2880	16.0278
4.2844	16.0344
4.2809	16.0527
4.2774	16.0783
4.2738	16.1569
4.2703	16.2822
4.2668	16.3823
4.2633	16.5383
4.2598	16.7421
4.2563	16.8737
4.2528	16.8982
4.2493	16.8459
4.2458	16.7631
4.2424	16.7119
4.2389	16.6569
4.2354	16.6145
4.2320	16.6091
4.2285	16.7043
4.2251	16.7956
4.2216	16.8374
4.2182	16.8881
4.2148	16.9260
4.2113	16.9890
4.2079	17.0875
4.2045	17.1075
4.2011	17.0756
4.1977	17.0935
4.1943	17.1662
4.1909	17.2143
4.1875	17.2595
4.1841	17.3273
4.1808	17.4062
4.1774	17.4628
4.1740	17.5422
4.1707	17.6250
4.1673	17.6828
4.1640	17.7460
4.1606	17.7863
4.1573	17.8064
4.1540	17.8481
4.1506	17.8901
4.1473	17.9499
4.1440	18.0141
4.1407	18.0475
4.1374	18.0805
4.1341	18.1333
4.1308	18.1950
4.1275	18.2705
4.1242	18.3361
4.1209	18.3886
4.1177	18.4384
4.1144	18.4787
4.1111	18.5534
4.1079	18.6528
4.1046	18.7060
4.1014	18.7792
4.0981	18.8530
4.0949	18.9113
4.0917	18.9519
4.0884	19.0002
4.0852	19.0280
4.0820	19.0700
4.0788	19.1467
4.0756	19.1811
4.0724	19.1486
4.0692	19.1552
4.0660	19.2104
4.0628	19.2089
4.0596	19.1481
4.0565	19.1281
4.0533	19.1342
4.0501	19.1237
4.0470	19.1018
4.0438	19.0954
4.0406	19.0686
4.0375	19.0566
4.0344	19.0161
4.0312	18.9428
4.0281	18.9223
4.0250	18.9343
4.0218	18.8974
4.0187	18.8303
4.0156	18.7749
4.0125	18.7749
4.0094	18.7812
4.0063	18.7792
4.0032	18.7729
4.0001	18.7939
3.9970	18.8122
3.9940	18.8156
3.9909	18.7939
3.9878	18.7714
3.9847	18.7954
3.9817	18.8212
3.9786	18.8332
3.9756	18.9016
3.9725	18.9792
3.9695	18.9877
3.9665	18.9836
3.9634	19.0290
3.9604	19.0544
3.9574	19.0534
3.9544	19.0913
3.9513	19.1596
3.9483	19.1825
3.9453	19.1965
3.9423	19.2319
3.9393	19.2744
3.9363	19.3232
3.9333	19.3088
3.9304	19.2778
3.9274	19.2988
3.9244	19.3203
3.9214	19.2958
3.9185	19.2587
3.9155	19.2185
3.9126	19.2109
3.9096	19.2194
3.9067	19.2104
3.9037	19.1467
3.9008	19.0778
3.8979	19.0461
3.8949	19.0075
3.8920	18.9494
3.8891	18.8786
3.8862	18.8437
3.8833	18.8022
3.8804	18.7573
3.8775	18.7094
3.8746	18.6721
3.8717	18.6342
3.8688	18.5849
3.8659	18.5007
3.8630	18.4255
3.8601	18.4519
3.8573	18.4687
3.8544	18.4225
3.8515	18.3872
3.8487	18.3342
3.8458	18.3059
3.8430	18.2883
3.8401	18.2474
3.8373	18.2385
3.8344	18.3054
3.8316	18.3610
3.8288	18.3986
3.8259	18.3720
3.8231	18.3117
3.8203	18.2849
3.8175	18.2663
3.8147	18.2404
3.8119	18.2609
3.8091	18.2321
3.8063	18.1872
