Name:  Dark yellowish brown micaceous loam
Type:  Soils
Class:  Inceptisol
Subclass:  Dystrochrept
Particle Size:  see additional information
Sample No.:  88P2535
Owner:  JHU
Wavelength range:  All
Origin: Howard Co., Md. via USDA Soil Conservation service.

Description:  The parent material is schist and phyllite.  Dark 
yellowish brown micaceous loam (coarse-loamy, micaceous, mesic typic), 
from piedmonts.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P2535a.txt

4.8046	15.5542
4.8001	15.6316
4.7957	15.7060
4.7913	15.7744
4.7868	15.8400
4.7824	15.9043
4.7780	15.9707
4.7736	16.0429
4.7692	16.1081
4.7648	16.1628
4.7605	16.2180
4.7561	16.2766
4.7517	16.3293
4.7474	16.3772
4.7431	16.4253
4.7387	16.4724
4.7344	16.5092
4.7301	16.5341
4.7258	16.5590
4.7215	16.5961
4.7172	16.6337
4.7129	16.6508
4.7086	16.6511
4.7043	16.6469
4.7000	16.6267
4.6958	16.5900
4.6915	16.5581
4.6873	16.5463
4.6831	16.5610
4.6788	16.5986
4.6746	16.6638
4.6704	16.7553
4.6662	16.8562
4.6620	16.9604
4.6578	17.0705
4.6536	17.1767
4.6495	17.2844
4.6453	17.3945
4.6411	17.5046
4.6370	17.6120
4.6328	17.7116
4.6287	17.8066
4.6246	17.8960
4.6205	17.9785
4.6163	18.0647
4.6122	18.1408
4.6081	18.2063
4.6040	18.2719
4.6000	18.3317
4.5959	18.3864
4.5918	18.4348
4.5877	18.4887
4.5837	18.5517
4.5796	18.6025
4.5756	18.6450
4.5716	18.6940
4.5675	18.7343
4.5635	18.7653
4.5595	18.7883
4.5555	18.8078
4.5515	18.8212
4.5475	18.8210
4.5435	18.8117
4.5395	18.8032
4.5356	18.7893
4.5316	18.7648
4.5276	18.7275
4.5237	18.6835
4.5197	18.6352
4.5158	18.5688
4.5119	18.4946
4.5080	18.4218
4.5040	18.3532
4.5001	18.2978
4.4962	18.2634
4.4923	18.2500
4.4884	18.2463
