Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic 
Particle Size:  Whole rock chips
Sample No.:  ba9c2f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9c2fa.txt

1.76	0.084
1.764	0.084
1.768	0.084
1.772	0.084
1.776	0.084
1.78	0.084
1.784	0.084
1.788	0.084
1.792	0.084
1.796	0.084
1.8	0.084
1.804	0.084
1.808	0.084
1.812	0.084
1.816	0.084
1.82	0.084
1.824	0.084
1.828	0.084
1.832	0.083
1.836	0.083
1.84	0.083
1.844	0.083
1.848	0.083
1.852	0.084
1.856	0.082
1.86	0.083
1.864	0.083
1.868	0.083
1.872	0.083
1.876	0.083
1.88	0.081
1.884	0.081
1.888	0.079
1.892	0.078
1.896	0.077
1.9	0.077
1.904	0.077
1.908	0.077
1.912	0.076
1.916	0.076
1.92	0.077
1.924	0.076
1.928	0.076
1.932	0.076
1.936	0.077
1.94	0.077
1.944	0.077
1.948	0.076
1.952	0.076
1.956	0.077
1.96	0.077
1.964	0.078
1.968	0.077
1.972	0.078
1.976	0.078
1.98	0.078
1.984	0.078
1.988	0.078
1.992	0.078
1.996	0.079
2	0.079
2.004	0.079
2.008	0.079
2.012	0.079
2.016	0.079
2.02	0.079
2.024	0.079
2.028	0.081
2.032	0.081
2.036	0.081
2.04	0.079
2.044	0.081
2.048	0.081
2.052	0.081
2.056	0.081
2.06	0.081
2.064	0.081
2.068	0.081
2.072	0.079
2.076	0.079
2.08	0.081
2.084	0.081
2.088	0.081
2.092	0.081
2.096	0.081
2.1	0.081
2.10043	0.0826
2.10128	0.0828
2.10213	0.0836
2.10298	0.0835
2.10383	0.0807
2.10469	0.0795
2.10554	0.081
2.1064	0.0816
2.10725	0.0815
2.10811	0.0835
2.10897	0.0831
2.10983	0.0814
2.11068	0.0809
2.11154	0.0817
2.1124	0.0829
2.11327	0.0818
2.11413	0.0794
2.11499	0.0803
2.11585	0.0817
2.11672	0.0808
2.11758	0.0806
2.11844	0.0818
2.11931	0.0809
2.12018	0.08
2.12104	0.0818
2.12191	0.0845
2.12278	0.0833
2.12365	0.0826
2.12452	0.0843
2.12539	0.084
2.12626	0.0815
2.12713	0.0807
2.12801	0.0801
2.12888	0.0805
2.12975	0.0815
2.13063	0.0807
2.1315	0.0802
2.13238	0.0809
2.13326	0.0802
2.13414	0.079
2.13501	0.0794
2.13589	0.0814
2.13677	0.0825
2.13765	0.0814
2.13854	0.0814
2.13942	0.082
2.1403	0.0815
2.14118	0.0816
2.14207	0.0818
2.14295	0.0819
2.14384	0.0809
2.14473	0.0805
2.14561	0.0805
2.1465	0.0802
2.14739	0.0801
2.14828	0.0817
2.14917	0.083
2.15006	0.081
2.15095	0.0795
2.15185	0.0812
2.15274	0.0809
2.15363	0.0809
2.15453	0.0829
2.15542	0.0829
2.15632	0.0818
2.15722	0.0807
2.15811	0.0813
2.15901	0.0821
2.15991	0.0817
2.16081	0.0817
2.16171	0.0792
2.16261	0.0782
2.16352	0.0784
2.16442	0.0802
2.16532	0.0818
2.16623	0.0812
2.16713	0.0802
2.16804	0.0812
2.16894	0.0807
2.16985	0.079
2.17076	0.0782
2.17167	0.0809
2.17258	0.082
2.17349	0.0804
2.1744	0.08
2.17531	0.0795
2.17623	0.0799
2.17714	0.0814
2.17805	0.0815
2.17897	0.0817
2.17989	0.0808
2.1808	0.0786
2.18172	0.0786
2.18264	0.0793
2.18356	0.0775
2.18448	0.076
2.1854	0.0781
2.18632	0.0807
2.18724	0.082
2.18816	0.0818
2.18909	0.0783
2.19001	0.0778
2.19094	0.0785
2.19186	0.0793
2.19279	0.0786
2.19372	0.0787
2.19464	0.0803
2.19557	0.081
2.1965	0.0791
2.19743	0.0786
2.19837	0.0792
2.1993	0.0786
2.20023	0.0786
2.20116	0.0787
2.2021	0.078
2.20303	0.0778
2.20397	0.077
2.20491	0.0776
2.20585	0.0794
2.20678	0.0805
2.20772	0.0808
2.20866	0.0787
2.20961	0.0781
2.21055	0.0795
2.21149	0.0797
2.21243	0.079
2.21338	0.0783
2.21432	0.0792
2.21527	0.0787
2.21621	0.0779
2.21716	0.0768
2.21811	0.0776
2.21906	0.0778
2.22001	0.0785
2.22096	0.0786
2.22191	0.08
2.22286	0.0797
2.22382	0.0783
2.22477	0.0782
2.22573	0.0779
2.22668	0.0785
