Name:  Basalt
Type:  Rock
Class: Igneous   
Subclass: Mafic  
Particle Size:  Whole rock chips
Sample No.:  ba9a1f
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Wadi Salima, Jordan

Description:  dark gray vesicular basalt 





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309
Number of X Values:  2826
Additional Information:  ba9a1fa.txt

2.72083	0.0212
2.72225	0.0226
2.72368	0.0213
2.72512	0.0213
2.72655	0.0238
2.72798	0.0248
2.72942	0.0251
2.73086	0.0243
2.73229	0.0233
2.73373	0.0215
2.73518	0.0226
2.73662	0.0234
2.73806	0.0212
2.73951	0.0189
2.74096	0.02
2.74241	0.0208
2.74386	0.02
2.74531	0.0198
2.74677	0.0212
2.74822	0.0217
2.74968	0.0218
2.75114	0.0212
2.7526	0.0212
2.75406	0.0204
2.75552	0.0204
2.75699	0.0206
2.75845	0.0206
2.75992	0.0207
2.76139	0.0192
2.76286	0.019
2.76433	0.0194
2.76581	0.0192
2.76728	0.0198
2.76876	0.0196
2.77024	0.0211
2.77172	0.0209
2.7732	0.0211
2.77469	0.0214
2.77617	0.0212
2.77766	0.0206
2.77915	0.0208
2.78064	0.0206
2.78213	0.0218
2.78362	0.0216
2.78512	0.0207
2.78661	0.0201
2.78811	0.0206
2.78961	0.02
2.79111	0.021
2.79262	0.022
2.79412	0.0215
2.79563	0.0209
2.79714	0.0207
2.79864	0.0216
2.80016	0.0221
2.80167	0.0202
2.80318	0.0193
2.8047	0.0195
2.80622	0.0211
2.80774	0.0222
2.80926	0.0217
2.81078	0.0204
2.8123	0.0213
2.81383	0.0221
2.81536	0.0217
2.81689	0.0208
2.81842	0.0207
2.81995	0.0212
2.82148	0.0218
2.82302	0.0215
2.82456	0.0205
2.8261	0.0201
2.82764	0.0204
2.82918	0.0213
2.83072	0.0229
2.83227	0.0227
2.83382	0.0226
2.83537	0.0223
2.83692	0.0217
2.83847	0.0204
2.84002	0.02
2.84158	0.0204
2.84314	0.0208
2.8447	0.0203
2.84626	0.0209
2.84782	0.0199
2.84939	0.02
2.85095	0.0207
2.85252	0.0209
2.85409	0.0216
2.85566	0.0216
2.85724	0.0194
2.85881	0.0196
2.86039	0.0199
2.86197	0.0214
2.86355	0.0218
2.86513	0.0215
2.86671	0.0205
2.8683	0.0218
2.86988	0.0225
2.87147	0.0218
2.87306	0.021
2.87466	0.0217
2.87625	0.0221
2.87785	0.0216
2.87945	0.0224
2.88104	0.0232
2.88265	0.0224
2.88425	0.0212
2.88585	0.0205
2.88746	0.0208
2.88907	0.0201
2.89068	0.0197
2.89229	0.0208
2.89391	0.0219
2.89552	0.0217
2.89714	0.0221
2.89876	0.0217
2.90038	0.0208
2.902	0.0198
2.90363	0.0209
2.90525	0.0212
2.90688	0.0212
2.90851	0.0209
2.91014	0.021
2.91178	0.0218
2.91341	0.0219
2.91505	0.0221
2.91669	0.0225
2.91833	0.0205
2.91998	0.0194
2.92162	0.02
2.92327	0.0214
2.92492	0.0226
2.92657	0.0229
2.92822	0.0225
2.92987	0.0216
2.93153	0.0209
2.93319	0.0219
2.93485	0.023
2.93651	0.0232
2.93817	0.0221
2.93984	0.0217
2.94151	0.0223
2.94318	0.0226
2.94485	0.0218
2.94652	0.0208
2.94819	0.0218
2.94987	0.0228
2.95155	0.0229
2.95323	0.0221
2.95491	0.0204
2.9566	0.0204
2.95828	0.0206
2.95997	0.0205
2.96166	0.0211
2.96336	0.0217
2.96505	0.0215
2.96675	0.0209
2.96844	0.0217
2.97014	0.0228
2.97185	0.022
2.97355	0.0214
2.97526	0.021
