Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: Solid
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: A fine-grained to medium-grained leucocratic rock composed 
of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	aplite1a.doc
3.9274	14.3407
3.9244	14.3509
3.9214	14.3824
3.9185	14.4412
3.9155	14.4654
3.9126	14.4792
3.9096	14.5291
3.9067	14.5846
3.9037	14.5926
3.9008	14.6147
3.8979	14.6116
3.8949	14.5947
3.8920	14.6025
3.8891	14.5922
3.8862	14.5896
3.8833	14.6114
3.8804	14.6036
3.8775	14.6217
3.8746	14.6540
3.8717	14.6324
3.8688	14.6194
3.8659	14.6641
3.8630	14.6984
3.8601	14.6974
3.8573	14.7330
3.8544	14.7743
3.8515	14.8169
3.8487	14.8303
3.8458	14.8802
3.8430	14.9456
3.8401	15.0009
3.8373	15.0930
3.8344	15.1816
3.8316	15.1797
3.8288	15.2140
3.8259	15.3428
3.8231	15.4284
3.8203	15.4984
3.8175	15.5442
3.8147	15.6054
3.8119	15.6794
3.8091	15.7690
3.8063	15.8252
3.8035	15.8512
3.8007	15.9199
3.7979	15.9852
3.7951	16.0002
3.7924	16.0096
3.7896	16.0666
3.7868	16.1132
3.7841	16.0924
3.7813	16.0994
3.7785	16.1360
3.7758	16.1345
3.7730	16.0739
3.7703	16.0436
3.7676	16.0786
3.7648	16.0877
3.7621	16.0926
3.7594	16.0947
3.7566	16.0952
3.7539	16.1031
3.7512	16.1327
3.7485	16.1292
3.7458	16.0980
3.7431	16.1100
3.7404	16.1605
3.7377	16.2155
3.7350	16.2309
3.7323	16.2492
3.7296	16.2719
3.7269	16.3223
3.7242	16.3978
3.7216	16.4444
3.7189	16.5353
3.7162	16.6106
3.7136	16.6501
3.7109	16.7465
3.7083	16.8574
3.7056	16.9094
3.7030	16.9807
3.7003	17.0913
3.6977	17.1972
3.6950	17.2792
3.6924	17.3615
3.6898	17.4475
3.6872	17.5041
3.6845	17.5971
3.6819	17.7205
3.6793	17.8162
3.6767	17.8809
3.6741	17.9716
3.6715	18.0616
3.6689	18.1342
3.6663	18.1926
3.6637	18.2610
3.6611	18.2939
3.6585	18.3433
3.6560	18.3937
3.6534	18.4207
3.6508	18.4982
3.6482	18.5555
3.6457	18.5636
3.6431	18.5774
3.6406	18.6075
3.6380	18.6543
3.6355	18.6780
3.6329	18.6703
3.6304	18.6524
3.6278	18.6698
3.6253	18.7382
3.6227	18.7591
