Name:  Prehnite Ca2Al2Si3O10(OH)2
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Chlorite Group)
Particle Size:  Solid
Sample No.:  prehnite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Paterson, New Jersey, USA via Norma Vergo

Description: The sample consisted of a cluster of light green, 
translucent crystals weighing about 14 g. Purity appeared high in 
hand sample and under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  prehni1a.txt

7.448495516	1.3616
7.437808762	1.3682
7.42715263	1.375
7.416526989	1.3865
7.405931707	1.396
7.395366655	1.4053
7.384831703	1.4131
7.374326724	1.4224
7.363851589	1.426
7.353406171	1.4314
7.342990345	1.4392
7.332603984	1.4441
7.322252325	1.4521
7.311924506	1.4612
7.30162578	1.4687
7.291356025	1.4746
7.281115117	1.4836
7.270902937	1.4917
7.260719363	1.499
7.250564275	1.5081
7.240437554	1.5137
7.230339081	1.5164
7.220268738	1.521
7.210226408	1.5308
7.200211974	1.54
7.19022532	1.5435
7.18026633	1.5461
7.17033489	1.5522
7.160436013	1.5579
7.150559317	1.5603
7.140709829	1.5686
7.130887439	1.5762
7.121092034	1.5764
7.111323503	1.5808
7.101581735	1.5864
7.091866622	1.5906
7.082178053	1.5962
7.07251592	1.5994
7.062880115	1.6047
7.053270531	1.6094
7.04368706	1.614
7.034129597	1.6186
7.024598035	1.6255
7.01509227	1.6333
7.005612196	1.634
6.99615771	1.6331
6.986728709	1.6426
6.977325089	1.6528
6.967946748	1.6545
6.958593585	1.6543
6.949265497	1.6619
6.939962385	1.6663
6.930688952	1.668
6.921435478	1.6694
6.912206681	1.6699
6.903002461	1.6743
6.893822721	1.6831
6.884667364	1.6885
6.875536292	1.6843
6.866429409	1.6824
6.857346618	1.6868
6.848287825	1.6934
6.839252935	1.7034
6.830241852	1.7092
6.821254483	1.7141
6.812290735	1.7195
6.803350514	1.7231
6.794433728	1.7239
6.785540285	1.7312
6.776670093	1.7405
6.767823062	1.7458
6.7589991	1.7478
6.750198118	1.7529
6.741420026	1.7637
6.732664735	1.7673
6.723932156	1.769
6.715226709	1.7732
6.706539278	1.7754
6.697874296	1.7795
6.689231675	1.783
6.680611329	1.7852
6.672013173	1.792
6.663437121	1.7996
6.654883087	1.801
6.646350987	1.7947
6.637840737	1.7927
6.629352253	1.8008
6.620885451	1.8098
6.612440248	1.814
6.604016563	1.8125
6.595614312	1.8113
6.587233415	1.8152
6.578873789	1.8127
6.570535354	1.8113
6.56221803	1.8171
6.553921736	1.8184
6.545646392	1.822
6.537391921	1.8313
6.529158241	1.8345
6.520945276	1.8308
6.512757189	1.8276
6.504585407	1.8215
6.496434107	1.8181
6.488303211	1.8227
6.480192643	1.8257
6.472102327	1.8303
6.464032186	1.8367
6.455982145	1.8379
6.44795213	1.8374
6.439942066	1.8389
6.431951879	1.8433
6.423981494	1.8469
6.416030838	1.8459
6.408099838	1.8547
6.400188422	1.866
6.392296516	1.8706
6.384424048	1.876
6.376570948	1.8828
6.368737143	1.8896
6.360922563	1.8999
6.353127136	1.9116
6.345350793	1.9136
6.337593464	1.9206
6.329855078	1.9402
6.322139564	1.9524
6.314438848	1.959
6.30675687	1.9656
6.29909356	1.9707
6.291448851	1.9763
6.283822676	1.9866
6.276214965	1.9941
6.268625654	1.9993
6.261054675	2.0007
6.253501961	2.0022
6.245967447	2.0095
6.238451067	2.0142
6.230952756	2.0151
6.223472449	2.0176
6.21601008	2.0215
6.208565585	2.0269
6.201142747	2.0315
6.1937338	2.0342
6.186342535	2.033
6.178968891	2.0364
6.171612803	2.0452
6.164274209	2.0508
6.156953047	2.0574
6.149649255	2.0591
6.14236277	2.0637
6.135093533	2.0666
6.12784148	2.0686
6.120606552	2.0681
6.113388688	2.0649
6.106187828	2.0703
6.099003911	2.0808
6.091836878	2.0835
6.084686669	2.0854
6.077553226	2.0832
6.070436489	2.083
6.063336399	2.0876
6.056252899	2.0852
6.049185931	2.0789
6.042135436	2.0874
6.035101357	2.0981
6.02808727	2.0964
6.021085843	2.0947
6.01410066	2.094
6.007131667	2.092
6.000178805	2.0911
5.99324202	2.0891
5.986321256	2.0933
5.979416457	2.0945
5.972527568	2.0889
5.965654534	2.0876
5.9587973	2.0896
5.951955813	2.0903
5.945130017	2.0933
5.938319859	2.0862
5.931525286	2.0854
5.924746243	2.0945
5.917982678	2.0989
5.911234538	2.0967
5.904501769	2.0957
5.89778432	2.0898
5.891082139	2.0879
5.884395172	2.0879
5.87772337	2.0886
5.871066679	2.0933
5.864428488	2.0886
5.85780186	2.0862
5.851190191	2.0845
5.84459343	2.0872
5.838011527	2.0889
5.831444431	2.0881
5.824892094	2.0867
5.818354465	2.0891
5.811831494	2.0969
5.805323133	2.1055
5.798829332	2.1103
5.792350043	2.1138
5.785885217	2.1179
5.779434806	2.1201
5.772998761	2.1184
5.766577035	2.1155
5.760169579	2.124
5.753776347	2.1309
5.747397291	2.1326
5.741032364	2.1367
5.734681519	2.144
5.728344709	2.1484
5.722021888	2.1455
5.715713009	2.147
5.709421287	2.1536
5.703140149	2.1602
5.696872816	2.1636
5.690619242	2.1614
5.684379382	2.1606
5.678153192	2.1641
5.671940626	2.1677
5.66574164	2.1702
5.659556189	2.1716
5.653384229	2.1768
5.647225716	2.1763
