Name:  Chrysotile Mg3Si2O5(OH)4
Type:  Mineral
Class:   Silicates 
Subclass:   Phyllosilicates (sheet silicates) (Serpentine/Kaplin Group)
Particle Size: Coarse  (74-250 Micrometer) - fiber bundle
Sample No.:  chrysotile.1
Owner:  JHU
Wavelength Range:  IR
Origin: Smithsonian NMNH 91197; Sample from Kaapsche Hoop, 
Barberton, Transvaal (E), South Africa.
Description:  The hand sample was fibrous, asbestiform. The sample 
was relatively clean and sample portions with dust adhering were 
discarded.  The remainder was a fibrous white mass weighing 
approximately 2.35 g.  Aside from adhering dust, the sample showed 
no contamination.  The sample appears to be pure chrysotile under 
the microscope.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: chryso1a.txt

8.281395183	2.5762
8.268186911	2.6406
8.255020704	2.7124
8.241896361	2.7776
8.228813685	2.8433
8.215772476	2.9123
8.202772537	2.9802
8.189813674	3.0413
8.176895691	3.1062
8.164018395	3.1684
8.151188239	3.2224
8.138391724	3.2727
8.125635323	3.3245
8.11291885	3.3743
8.100242116	3.4265
8.087604937	3.4809
8.075007126	3.5332
8.062448501	3.5803
8.049928879	3.6384
8.037448078	3.696
8.025005918	3.7366
8.012602221	3.7744
8.000236807	3.8281
7.9879095	3.8794
7.975620124	3.9182
7.963368505	3.9575
7.951154468	4.0005
7.938977841	4.0366
7.926838452	4.0825
7.914736131	4.1238
7.902670708	4.1555
7.890642014	4.198
7.878649883	4.2488
7.866694148	4.2812
7.854780812	4.3113
7.842897355	4.3652
7.831049799	4.4116
7.819237984	4.4443
7.807461747	4.4853
7.795720929	4.5361
7.784015369	4.5735
7.772344909	4.6191
7.760709391	4.6643
7.749108659	4.6968
7.737542556	4.73
7.726010929	4.772
7.714513623	4.8086
7.703050485	4.8303
7.691621363	4.8552
7.680226106	4.8904
7.668864563	4.9136
7.657536586	4.9277
7.646242025	4.956
7.634980733	4.9836
7.623752563	5.0046
7.61255737	5.0295
7.601395008	5.0474
7.590265333	5.0576
7.579173946	5.0857
7.568109199	5.1152
7.557076711	5.123
7.546076342	5.1396
7.535107952	5.1555
7.524171401	5.154
7.51326655	5.1533
7.502393263	5.1621
7.491551403	5.168
7.480740833	5.165
7.469961418	5.164
7.459213023	5.1804
7.448495516	5.2041
7.437808762	5.2287
7.42715263	5.2668
7.416526989	5.3076
7.405931707	5.3567
7.395366655	5.4326
7.384831703	5.5017
7.374326724	5.5425
7.363851589	5.5835
7.353406171	5.6135
7.342990345	5.6094
7.332603984	5.5891
7.322252325	5.5791
7.311924506	5.5749
7.30162578	5.5906
7.291356025	5.6255
7.281115117	5.6326
7.270902937	5.6162
7.260719363	5.625
7.250564275	5.6543
7.240437554	5.6848
7.230339081	5.7251
7.220268738	5.7734
7.210226408	5.8017
7.200211974	5.8345
7.19022532	5.8764
7.18026633	5.9116
7.17033489	5.9304
7.160436013	5.9678
7.150559317	6.0036
7.140709829	6.029
7.130887439	6.0664
7.121092034	6.1164
7.111323503	6.1636
7.101581735	6.2077
7.091866622	6.2539
7.082178053	6.3035
7.07251592	6.3503
7.062880115	6.3984
7.053270531	6.436
7.04368706	6.4692
7.034129597	6.5332
7.024598035	6.594
7.01509227	6.6291
7.005612196	6.6555
6.99615771	6.6887
6.986728709	6.7246
6.977325089	6.7351
6.967946748	6.7263
6.958593585	6.7212
6.949265497	6.7453
6.939962385	6.7588
6.930688952	6.7749
6.921435478	6.7715
6.912206681	6.7554
6.903002461	6.7583
6.893822721	6.7497
6.884667364	6.7178
6.875536292	6.6921
6.866429409	6.6352
6.857346618	6.626
6.848287825	6.6758
6.839252935	6.7019
6.830241852	6.6814
6.821254483	6.6802
6.812290735	6.739
6.803350514	6.8191
6.794433728	6.9167
6.785540285	7.0554
6.776670093	7.175
6.767823062	7.2346
6.7589991	7.2903
6.750198118	7.3403
6.741420026	7.3645
6.732664735	7.3818
6.723932156	7.4138
6.715226709	7.4358
6.706539278	7.4599
6.697874296	7.5122
6.689231675	7.5288
6.680611329	7.52
6.672013173	7.551
6.663437121	7.595
6.654883087	7.6076
6.646350987	7.5715
6.637840737	7.5522
6.629352253	7.6006
6.620885451	7.636
6.612440248	7.6467
6.604016563	7.6618
6.595614312	7.6609
6.587233415	7.654
6.578873789	7.6308
6.570535354	7.6084
6.56221803	7.6194
6.553921736	7.615
6.545646392	7.604
6.537391921	7.5732
6.529158241	7.5266
6.520945276	7.4675
6.512757189	7.4155
6.504585407	7.3413
6.496434107	7.2331
6.488303211	7.1609
6.480192643	7.1199
6.472102327	7.0686
6.464032186	7.0085
6.455982145	6.9319
6.44795213	6.8691
6.439942066	6.7942
6.431951879	6.7082
6.423981494	6.6247
6.416030838	6.5217
6.408099838	6.4717
6.400188422	6.468
6.392296516	6.435
6.384424048	6.3913
6.376570948	6.3384
6.368737143	6.2983
6.360922563	6.2829
6.353127136	6.248
6.345350793	6.2002
6.337593464	6.1997
6.329855078	6.2041
6.322139564	6.1909
6.314438848	6.1846
6.30675687	6.188
6.29909356	6.1921
6.291448851	6.2195
6.283822676	6.2566
6.276214965	6.3
6.268625654	6.3572
6.261054675	6.428
6.253501961	6.491
6.245967447	6.5554
6.238451067	6.6245
6.230952756	6.687
6.223472449	6.7363
6.21601008	6.782
6.208565585	6.8252
6.201142747	6.8515
6.1937338	6.8625
6.186342535	6.8518
6.178968891	6.8762
6.171612803	6.895
6.164274209	6.8826
6.156953047	6.8738
6.149649255	6.8745
6.14236277	6.8745
6.135093533	6.8879
6.12784148	6.905
6.120606552	6.9165
6.113388688	6.9397
6.106187828	7.0095
6.099003911	7.0842
6.091836878	7.1487
6.084686669	7.1963
6.077553226	7.2243
6.070436489	7.2861
6.063336399	7.3706
6.056252899	7.3872
6.049185931	7.3845
6.042135436	7.4919
6.035101357	7.5779
6.02808727	7.6133
6.021085843	7.6455
6.01410066	7.6567
6.007131667	7.6875
6.000178805	7.7397
5.99324202	7.7707
5.986321256	7.8152
5.979416457	7.8913
5.972527568	7.9431
5.965654534	7.9968
5.9587973	8.0842
5.951955813	8.156
5.945130017	8.1941
5.938319859	8.1943
5.931525286	8.2795
5.924746243	8.4006
5.917982678	8.4614
5.911234538	8.5156
5.904501769	8.5493
5.89778432	8.5378
5.891082139	8.5974
5.884395172	8.6428
5.87772337	8.6833
5.871066679	8.7815
5.864428488	8.8381
5.85780186	8.8987
5.851190191	8.9692
5.84459343	9.0354
5.838011527	9.083
5.831444431	9.1303
5.824892094	9.154
5.818354465	9.2292
5.811831494	9.3427
5.805323133	9.4096
5.798829332	9.4648
5.792350043	9.5281
5.785885217	9.5754
5.779434806	9.622
5.772998761	9.6396
5.766577035	9.6274
5.760169579	9.6899
5.753776347	9.7451
5.747397291	9.748
5.741032364	9.7671
5.734681519	9.8034
5.728344709	9.8354
5.722021888	9.8518
5.715713009	9.8799
5.709421287	9.9338
5.703140149	10.0105
5.696872816	10.0671
5.690619242	10.1269
5.684379382	10.1801
5.678153192	10.2143
5.671940626	10.2778
5.66574164	10.3547
5.659556189	10.3899
5.653384229	10.4367
5.647225716	10.487
5.641080605	10.5202
5.634948854	10.6035
5.628830419	10.6963
5.622725256	10.7502
5.616633323	10.7966
5.610557723	10.8669
5.604492113	10.9233
5.598439603	10.9765
5.592400152	11.049
5.586373717	11.1023
5.580360257	11.1311
5.574359729	11.1992
5.568372092	11.29
5.562397304	11.3445
5.556435324	11.3838
5.550486112	11.4341
5.544549625	11.4926
5.538625823	11.5344
5.532714665	11.5739
5.526816112	11.6096
5.520930122	11.6279
5.515056656	11.6557
5.509195674	11.7065
5.503347136	11.7424
5.497511002	11.7693
5.491687233	11.8115
5.48587579	11.8547
5.480076633	11.8872
5.474289725	11.9448
5.468518015	11.9912
5.462755479	12.0234
5.457005076	12.0808
5.451266765	12.1301
5.445540511	12.1535
5.439826274	12.1653
5.434124016	12.2019
5.428433701	12.2075
5.422755291	12.177
5.417088748	12.1926
5.411434035	12.2165
5.405791116	12.2138
5.400159953	12.2038
5.394540509	12.207
5.388932749	12.207
5.383336635	12.2024
5.377752132	12.2119
5.372179203	12.2307
5.366617813	12.2436
5.361067925	12.2595
5.355529504	12.2807
5.350002515	12.3015
5.344486921	12.3567
5.338982689	12.4236
5.333492627	12.4756
5.328011006	12.5263
5.32254064	12.5927
5.317081497	12.6689
5.31163354	12.74
5.306196736	12.8227
5.30077105	12.9216
5.295356449	12.9951
5.289952898	13.0791
5.284560364	13.1958
5.279178813	13.2973
5.273808212	13.3755
5.268448526	13.4797
5.263099724	13.5839
5.257761771	13.676
5.252434635	13.7834
5.247118283	13.8962
5.241812682	13.9853
5.236517799	14.0769
5.231233603	14.187
5.225960061	14.2834
5.220697141	14.3679
5.21544481	14.4536
5.210203036	14.5478
5.204974498	14.6272
5.19975374	14.6916
5.194543444	14.7741
5.189343579	14.8315
5.184154115	14.8674
5.178975019	14.9028
5.173806261	14.9116
5.168647809	14.9065
5.163499634	14.9118
5.158361704	14.9174
5.153233989	14.9038
5.148116459	14.8955
5.143009082	14.8938
5.137911829	14.883
5.13282467	14.8733
5.127747575	14.8696
5.122680514	14.8608
5.117623458	14.8352
5.112576376	14.8252
5.107539239	14.809
5.102512018	14.7776
5.097494683	14.76
5.092487206	14.7478
5.087489558	14.7109
5.082504292	14.6745
5.077526209	14.6528
5.072557868	14.6174
5.06759924	14.58
5.062650297	14.5576
5.057711011	14.5319
5.052781354	14.498
5.047861297	14.4848
5.042950812	14.4824
5.038049872	14.478
5.033158448	14.4814
5.028276513	14.489
5.023404039	14.4946
5.018541	14.5105
5.013687367	14.5503
5.008843113	14.5849
5.004010715	14.624
4.999185133	14.6889
4.994368849	14.7595
4.989561837	14.8117
4.984764069	14.8776
4.979975518	14.968
4.97519616	15.0493
4.970425966	15.1179
4.96566491	15.1882
4.960912967	15.2426
4.95617011	15.2768
4.951436313	15.3005
4.94671155	15.3042
4.941995795	15.2844
4.937289023	15.2458
4.932591209	15.2009
4.927902325	15.1403
4.923222347	15.0752
4.918551251	15.0324
4.913889009	14.9948
4.909235598	14.9716
4.904590991	14.9743
4.899955165	15.0024
4.895328095	15.0359
4.890712146	15.094
4.886102507	15.1818
4.88150155	15.2583
4.876909249	15.34
4.87232558	15.4548
4.86775052	15.5661
4.863184043	15.6525
4.858626126	15.7509
4.854076745	15.8588
4.849535875	15.9465
4.845003493	16.0127
4.840479575	16.0747
4.835964098	16.1276
4.831457037	16.1579
4.826958369	16.1799
4.822468072	16.2009
4.81798612	16.2045
4.813512492	16.1984
4.809047164	16.1816
4.804590113	16.135
4.800141316	16.0783
4.79570075	16.0239
4.791268392	15.9526
4.78684422	15.8855
4.782430498	15.8291
4.778022625	15.7756
4.773622869	15.7365
4.769231209	15.7268
4.764847623	15.7429
4.760472086	15.7739
4.756104579	15.8225
4.751745078	15.9099
4.747393562	16.0134
4.743050009	16.112
4.738714396	16.2407
4.734386703	16.3637
4.730066907	16.4887
4.725754987	16.6228
4.721450921	16.7658
4.717154688	16.8837
4.712866266	16.9992
4.708585635	17.1096
4.704312773	17.2182
4.700047658	17.3071
4.695790271	17.3894
4.691540589	17.4663
4.687298593	17.5124
4.68306426	17.5615
4.67883976	17.6174
4.67462069	17.6428
4.670409221	17.6699
4.666205334	17.6999
4.662009009	17.7092
4.657820224	17.7187
4.65363896	17.7419
4.649465195	17.7443
4.645298911	17.7439
4.641140087	17.7597
4.636988702	17.7832
4.632844738	17.7917
4.628708174	17.7888
4.62457899	17.812
4.620457167	17.8239
4.616342684	17.8376
4.612235523	17.8649
4.608135664	17.8901
4.604043086	17.9047
4.599957772	17.9238
4.595879702	17.9514
4.591808856	17.9714
4.587745215	17.9939
4.58368876	18.0224
4.57964157	18.0537
4.575599426	18.0722
4.571564412	18.0976
4.567536508	18.1189
4.563515696	18.1418
4.559501956	18.1684
4.555495271	18.2006
4.551495621	18.2226
4.547502989	18.2456
4.543517355	18.2797
4.539538701	18.2988
4.535567009	18.3122
4.531602261	18.351
4.527644439	18.3867
4.523693523	18.3945
4.519749497	18.423
4.515814382	18.4687
4.511884077	18.4956
4.507960608	18.5246
4.504043956	18.5715
4.500134104	18.5886
4.496231034	18.5986
4.492334729	18.634
4.488445171	18.666
4.484562343	18.6645
4.480686226	18.6831
4.476816804	18.715
4.47295406	18.7163
4.469097975	18.7226
4.465248534	18.7536
4.461405718	18.7705
4.45756951	18.77
4.453739894	18.7856
4.449916853	18.8002
4.44610037	18.8122
4.442290427	18.8344
4.438487009	18.851
4.434690097	18.8515
4.430899676	18.8596
4.42711573	18.8793
4.423340197	18.8972
4.419569145	18.9077
4.415804518	18.9169
4.412046298	18.9311
4.408294471	18.9416
4.404549018	18.9479
4.400809925	18.957
4.397077175	18.9597
4.393350752	18.9719
4.389630639	18.9941
4.385916821	19.0021
4.382209282	19.0126
4.378508006	19.0358
4.374812977	19.04
4.371124179	19.0397
4.367441596	19.0571
4.363765214	19.0659
4.360095015	19.0634
4.356430985	19.0712
4.352773108	19.0898
4.349121369	19.0971
4.345475751	19.1032
4.341836241	19.1279
4.338202821	19.1369
4.334577357	19.1428
4.330956072	19.1555
4.327340832	19.1713
4.323731623	19.1818
4.320128429	19.1862
4.316531235	19.1967
4.312940028	19.2094
4.30935479	19.2136
4.305775509	19.2263
4.302202168	19.246
4.298634754	19.2521
4.29507325	19.2695
4.291517644	19.2905
4.287967919	19.3056
