Name:  Vermiculite (Mg,Fe+2,Al)3(Al,Si)4O10(OH)2.4H2O 
Type:  Mineral
Class:  Silicates 
Subclass:   Phyllosilicates (Sheet Silicates); (Vermiculite Group)
Particle Size:  Fine  (0-2 Micrometers)
Sample No.:  vermicul.1
Owner:  JHU
Wavelength Range:  IR
Origin: Llano, Texas via Norma Vergo #VTx-1 (CMS) (purchased from 
Clay Mineral Society Repository)
Description: White, earthy clay.  XRD analysis indicates pure vermiculite for the 
less than 2 micrometer size range.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

4.476816804	6.1789
4.47295406	6.178
4.469097975	6.1684
4.465248534	6.1604
4.461405718	6.1504
4.45756951	6.1374
4.453739894	6.1262
4.449916853	6.1177
4.44610037	6.1101
4.442290427	6.0986
4.438487009	6.0986
4.434690097	6.0898
4.430899676	6.0732
4.42711573	6.0649
4.423340197	6.0544
4.419569145	6.0471
4.415804518	6.0439
4.412046298	6.0366
4.408294471	6.0305
4.404549018	6.0254
4.400809925	6.0146
4.397077175	6.0061
4.393350752	6.009
4.389630639	6.0054
4.385916821	5.9978
4.382209282	5.9902
4.378508006	5.9846
4.374812977	5.9834
4.371124179	5.9768
4.367441596	5.9729
4.363765214	5.9709
4.360095015	5.9639
4.356430985	5.9551
4.352773108	5.9629
4.349121369	5.966
4.345475751	5.9621
4.341836241	5.9538
4.338202821	5.9458
4.334577357	5.9448
4.330956072	5.9487
4.327340832	5.9485
4.323731623	5.9392
4.320128429	5.9372
4.316531235	5.9426
4.312940028	5.938
4.30935479	5.9343
4.305775509	5.9421
4.302202168	5.9411
4.298634754	5.9321
4.29507325	5.9319
4.291517644	5.9353
4.287967919	5.9431
4.284424062	5.9529
4.280886058	5.9507
4.277353892	5.9446
4.27382755	5.9453
4.270307018	5.9617
4.266792281	5.9722
4.263283325	5.9585
4.259780136	5.948
4.256282699	5.9551
4.252791	5.9592
4.249306832	5.966
4.245826565	5.9734
4.242351994	5.9734
4.238883105	5.977
4.235419885	5.9844
4.231962319	5.9848
4.228510393	5.9848
4.225064094	6.001
4.221623408	6.0132
4.218188322	6.011
4.214758821	6.0141
4.211334892	6.0256
4.207916522	6.0315
4.204503696	6.0307
4.201096402	6.0364
4.197694626	6.0469
4.194300114	6.0591
