Name:  Nontronite Na0.33Fe2+3(Si,Al)4O10.3H2O
Type:  Mineral
Class:  Silicates
Subclass:  Phyllosilicates (Sheet Silicates); (Smectite Group)
Particle Size:  0-2 micrometers.  (Packed powder simulates coarse.)
Sample No.:  nontron.1
Owner: JHU
Wavelength Range:  IR
Origin:  Holen Hagen, Germany via the Hunt and Salisbury Collection 
#CMS Ng-1 (purchased from the Clay Mineral Society Repository)
Description: Brown, earthy clay. Less than 2 µm fraction is nontronite, plus a faint 
trace of quartz.  Larger size fraction has abundant quartz.  (Note: Quartz features 
do not show up in spectra of the <2 µm size fraction, either sifted or packed.)



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  none

6.149649255	6.1843
6.14236277	6.1697
6.135093533	6.1562
6.12784148	6.1504
6.120606552	6.1279
6.113388688	6.1094
6.106187828	6.1274
6.099003911	6.1365
6.091836878	6.1411
6.084686669	6.1357
6.077553226	6.1152
6.070436489	6.1308
6.063336399	6.1567
6.056252899	6.1277
6.049185931	6.0974
6.042135436	6.1455
6.035101357	6.1853
6.02808727	6.1894
6.021085843	6.1992
6.01410066	6.2077
6.007131667	6.2253
6.000178805	6.2478
5.99324202	6.2629
5.986321256	6.2805
5.979416457	6.3074
5.972527568	6.3384
5.965654534	6.3769
5.9587973	6.4211
5.951955813	6.4643
5.945130017	6.4929
5.938319859	6.5044
5.931525286	6.5632
5.924746243	6.6365
5.917982678	6.6833
5.911234538	6.7344
5.904501769	6.7732
5.89778432	6.7866
5.891082139	6.8349
5.884395172	6.8733
5.87772337	6.917
5.871066679	6.99
5.864428488	7.029
5.85780186	7.074
5.851190191	7.1184
5.84459343	7.1594
5.838011527	7.1892
5.831444431	7.2082
5.824892094	7.2121
5.818354465	7.2549
5.811831494	7.32
5.805323133	7.3591
5.798829332	7.3996
5.792350043	7.4492
5.785885217	7.4804
5.779434806	7.5139
5.772998761	7.5393
5.766577035	7.5617
5.760169579	7.6221
5.753776347	7.6797
5.747397291	7.7097
5.741032364	7.7409
5.734681519	7.7722
5.728344709	7.7998
5.722021888	7.8181
5.715713009	7.8296
5.709421287	7.842
5.703140149	7.863
5.696872816	7.875
5.690619242	7.8865
5.684379382	7.9009
5.678153192	7.9035
5.671940626	7.917
5.66574164	7.9365
5.659556189	7.9297
5.653384229	7.9333
5.647225716	7.935
5.641080605	7.9238
5.634948854	7.9411
5.628830419	7.9536
5.622725256	7.9573
5.616633323	7.9533
5.610557723	7.9553
5.604492113	7.9568
5.598439603	7.9546
5.592400152	7.9585
5.586373717	7.9536
5.580360257	7.9375
5.574359729	7.9365
5.568372092	7.9531
5.562397304	7.9563
5.556435324	7.9463
5.550486112	7.9441
5.544549625	7.9548
5.538625823	7.9536
5.532714665	7.9468
5.526816112	7.9524
5.520930122	7.9536
5.515056656	7.9533
5.509195674	7.9624
5.503347136	7.9602
5.497511002	7.9678
5.491687233	7.9802
5.48587579	7.9883
5.480076633	7.9868
5.474289725	7.9863
5.468518015	7.9892
5.462755479	7.9968
5.457005076	8.0151
5.451266765	8.0295
5.445540511	8.0329
5.439826274	8.0425
5.434124016	8.0639
5.428433701	8.0657
5.422755291	8.0598
5.417088748	8.0776
5.411434035	8.0986
5.405791116	8.1118
5.400159953	8.1233
5.394540509	8.1333
5.388932749	8.1369
5.383336635	8.1452
5.377752132	8.1494
5.372179203	8.1636
5.366617813	8.1765
5.361067925	8.1904
5.355529504	8.2024
5.350002515	8.2065
5.344486921	8.23
5.338982689	8.2566
5.333492627	8.2702
5.328011006	8.28
5.32254064	8.2908
5.317081497	8.3061
5.31163354	8.3166
5.306196736	8.3303
5.30077105	8.3432
5.295356449	8.344
5.289952898	8.353
5.284560364	8.3782
5.279178813	8.3943
5.273808212	8.4089
5.268448526	8.4209
5.263099724	8.4324
5.257761771	8.4385
5.252434635	8.4475
5.247118283	8.4619
5.241812682	8.4697
5.236517799	8.4739
